,customer_id,user_name,ratings,review_head,review_body
0,review-6b01cd40-0297-4e3f-ae6d-5bdf1abfd6fb,Naveen Yogi,5,Highly recommended,updated 1 november 2018okay using product 11 monthsi bought 40khere conclusions tellthe sound hard disk display fluctuating boot too1 drivers touchpad fixed external mouse2 screen much bright bright enough3 play games ps played cs go pubg sniper ghost warrior 3 titanfall 2 crysis 3 fallout 44 thermals good play read
1,review-b331db00-894d-420d-b3c0-d1494029aea8,Flipkart Customer,5,Classy product,awesome laptop gaming rangeyou change nvidia settings get youtube play games life csgo easily 150 fpsbattery life upto 4 hrs 2 hrs play gameslooks goodyou also get 1 year antivirus
2,review-66d3b3c4-838e-452e-8d19-119cda1090fb,Flipkart Customer,4,Nice product,laptop awesomebut getting extended warranty offer website anyone help
3,review-78d99c87-6910-4e9d-8e6f-466aa0a6d9e0,Sandip Chaudhari,5,Super!,best programming perfect programming android studio works smooth fast
4,review-f68b12df-03c5-41e9-a9b5-ac9022f18a2c,Sagar Prasad,5,Perfect product!,good product
5,review-ed8a36be-5bb9-484d-b665-e47b3851641a,Flipkart Customer,1,Not recommended at all,laptop trackpad workingi installed driversand installed windows 10 proshould return solution
6,review-e10320b6-2017-459f-9011-5470aee61268,RAKESH KUMAR,3,Not very good,laptop making sound krr krrr although problem occurring laptop sounds laptop unpleasant
7,review-1def0aa8-69b3-4dc8-984b-24792561b301,seshu manyam,5,Best in the market!,1year usage 1the laptop works like charm happy play games previously could not2its best budget laptop gamesthe speaker bad low sound output couldnt care less use headphones3only 2 usb ports bit problem use one mouse cooler pad unplug mouse everytime want use controller bit annoying4there side vents cant use avaccume cooler yes gets really hot whileread
8,review-56c23968-20ed-4bad-b0d0-86c4a8670e08,Jithin Shaji,5,Super!,laptop attractive design give much performance hoped moneyworth product go thanks flipkart
9,review-bc34047d-4b18-4126-8092-b8f2f0430bf5,Divyesh Solanki,3,A good laptop with some problems,firstly would say good laptop price rangeworking decently 20 days purchasebut lets talk problems1 less usb ports compactly placed pendrives touches eachother sometimes cannot insert pendrive time2 poor battery backup last 115 hours playing games3 sound like krrr krrr coming harddisk problem started recently annoyingupdate 7 montread
10,review-42e1a6f6-3057-457a-8b3e-8351962a4b94,rajendra singh,1,Don't waste your money,good touchpad shake press good
11,review-672b8f93-8fbe-49ba-8fea-0244e35aac42,Anjali Gupta,4,Nice product,laptop awesome speed good good performance little heating problem chargers wire small length touchpads button worst
12,review-e2e73a3d-1eb0-4e0a-ac09-63413cd87972,SAUMYARANJAN BIHARI,5,Simply awesome,laptop good every thing okbut mcafee livesafe 1 year subscription active please help
