,customer_id,user_name,ratings,review_head,review_body
0,review-c852953e-d11e-49d2-8f9c-8e06da719867,Ezzazuddin Huseni,5,Must buy!,last 5 years younger brother using iphone 4s bought iphone 7 birthday gift gave gift packet thinking bro bought watchpenor something else didnt expected iphone 7 opened found tear eye hug methis possible flipkart sale coz r middle class family cant afford mobile actual price flipkart makes us happythanks flipkart
1,review-c1dc83bc-18e6-460a-b382-23470773f2eb,Flipkart Customer,4,Pretty good,using earlier versions iphones therefore great change ui personal front purchased rose gold phone realised gone black colour camera iphones superior sense phone sleek light weight slippery delivery promised another thing note henceforth phone made india products
2,review-b86655f3-2858-4138-83d9-9b17d3edd0c5,Pramod Pansare,5,Brilliant,first iphone iphone 7 really love phone battery life better think buying great camera good battery life beautiful design great performance paisawasoolphone myfirstiphone7 instapramodpansare26
3,review-8047a237-34d5-44e4-a742-42d47e140106,suresh b,4,Pretty good,excellent phone camera nice stereo speakers fantastic gives cinematic experience cool retaina display blindly go value money
4,review-6740dc8e-8a61-44e1-9cbf-e4c6137d0276,Sangeeth Kichu,5,Great product,phone really fentasticafter 1st day use processor fast camera good clarity 35000 valuable
5,review-b213f6fa-a830-4a0f-8ceb-7676bfb28cd2,Mayank Chaube,5,Perfect product!,important noticeif buy apple device online specifically phones 99 get original phones whenever findp best deals ensure imei numbersecondly probably getting duplicate accessories increases increasing discount must verify themrest phone superb especially shift first time android windowsfingerprint display attracted
6,review-523aa01a-5efb-4019-9bc8-8ffc9f77b5a5,Ramachandra B S,5,Iphone the beast,iphone beast flipkart rocks delivered time promisedvery good performancehighly fastsuper cameratoo good batteryexcellent display
7,review-9332bbcd-5a33-4fb9-ad6c-55524b7705dc,AKASHPURI DATTATRAYPURI GOSAVI,5,Awesome,expecticular product everything phone would good good handaling slim pice
8,review-0e68441f-5eb2-4633-a96b-8d1076b3cd1d,Shariq Ahmad Beigh,5,Awesome,well say iphone awesome expected added prompt delivery flipkart great packaging truly satisfiedthe lightening connector air pods amazing huge upgrade voice quality compared old iphone earphoneonly con con really would liked wireless air pods phone seeing performance lightening connector air pods regrets
9,review-da950112-4f5d-4aea-8cb4-d6ec1b4406f5,ANJAN KUMAR PRADHAN,5,Perfect product!,one word awesome
10,review-d3f82d7e-dc36-4d5b-95b2-7b88b928788f,Flipkart Customer,5,Mind-blowing purchase,first iphonei love
11,review-cf049f68-1cfd-42d9-891c-cfe68969862b,Anushree Adhikari,4,Value-for-money,satisfied product received 2days
12,review-52b20213-54d6-4c49-8513-fd71cecdd7e3,Narayana Nagavarapu,5,Best smart mobile,iphone 7 legitimately among interesting powerful phone apple ever shipped ios 10 excellent cameras better performance phenomenal batteries last longer
13,review-ba6f550e-d62e-4da2-924e-ff905e88ae87,Saket,5,Iphone 7 and Flipkart experience,received iphone 7 day launchedthank flipkart super super fast delivery excellent packing iphone 7recently switched android ios review based thatpros performance really amazing makes worth compared phones apart looks light weight etcwhile playing high end graphics game phone get little bit heat however compared android observeread
14,review-08c0f13d-75d9-4002-a82b-03ce8224e08a,Papu Sarma,5,Fabulous!,awesome phone delivery late
15,review-ab74d37c-e8d4-4bf8-aba3-07cebe5c0fcd,Priyanka Parkar,5,"Sexy got black, really black!",first flipkart delivery service thanks lot received earlier promised also received chocolate guys felt really nice multiplied joys receiving new phonenow iphonepackaging always neat superiorthe phone feels great personally chose iphone 7 7 size moving iphone 5 7 absolutely downer terms size size suited well specifications wise still exploring whats eviread
16,review-f801e8d5-5b6c-4351-af25-6d051195f0b8,Ranjit Pattanaik,5,Perfect product!,phone awesome
17,review-03377074-d14d-4013-be7c-71052bf4cb39,ayan vishal,5,Excellent,iphone million heart
18,review-b1462a88-763a-4d1e-b732-5f3d7dedb9f1,CMR Mohan,5,Wonderful,excellent camera
19,review-d0ae22df-ad24-4612-a775-1b02714cda72,NIRMOL SINGH,5,Great experience great phone and priority shipping,great experience buying iphone 7 flipkart fast shipping package arrived early 2 days despite shipment rural areaiphone 7 awesome someone looking upgrade new phone go bought silver color looks simple elegant classic premium alive
20,review-61036f4f-a3ac-4b6b-8dea-76263ac801fb,Flipkart Customer,5,Great experience,got phone yesterday upgraded iphone 5c really happy made choice iphone 7 really need introduction review lets talk flipkart experiencedelivery got delivered within 2 days delivery executive also took time frame mind making delivery since exchanged old phone waited patiently open phone check leaving phone packaged really well genuine documentsread
21,review-b197fbca-8a5b-489c-adfb-c08729cb53df,Mudit Taneja,4,It was best decision to buy it from Flipkart !,flipkart delivery amazing apple genuine profuct
22,review-e6449743-7f11-44a0-aab3-1de0c1c857f0,Satheesh Vella,5,Worth every penny,iphone working niceand flipkart delivered two days
23,review-973ef2ea-3fc4-4a64-8ef6-121a4bdb744b,Arun Kumar,5,Awesome but don’t buy Matt black,prossleek handy chunks heavy metalpremium stylish matt black looks royalcamera stunning cant believe nurtured hidden photographer extent bought dslr pics clicked camera comparable point shoot standalonesbattery life sufficientios secure reliablesound louder crisper 6 th generationaluminium 7000 series sturdyconsno 35 mm read
24,review-fe6e926a-cf8c-4e3e-8068-7b12b10e64c0,Gautam Choudhary,5,Worth every penny,awesome smartphone iphone loveri got big billion day salecamera quality awesomeperformance superbgood displaybeautiful lookingbattery performs minus point per trend much sufficient badreally love thank flipkart
25,review-05490162-4910-4e4a-8c26-491285e05d10,Vaibhav Bhosale,5,Just wow!,nice iphone like iphone sync mac book
26,review-52980941-bf04-4ba7-a749-1fddae6f0814,Ankit Chauhan,5,iPhone@nice phone,nice product perfect phone
27,review-3d64ea3b-9cd4-44ba-b589-d1dea7393154,Ajay Raul,5,Great product,nice product
28,review-0866cf57-dfb2-4882-b2a4-7c99028d0a9a,KAPIL GOYAL,4,Awesome phone.. Worst delivery Service by Flip,awesome phone love wid iphone really happy finally got long wait worst delivery service flipkart worst experience ever
29,review-939b60e1-2f45-471d-89af-b06190faa210,Rohit Tewatia,5,Flipkart jindabaad,excellent issuse thanxu flipkart
30,review-3ec368ac-5639-4a3d-9e31-6e2a113a2ba2,Akash D,5,iphone 7 gold,good product
31,review-e036c9a8-02b4-4da6-9dff-09dcd1166acc,Mohit Jain,5,Highly recommended,100 genuine product fully satisfied flipkarts service go guys
32,review-f560e0cd-44c2-4713-87ed-07b1f690cad7,vinu,1,Defect Product selling on the Mask of Low cost Offers,brought product speaker functionality allwhen ask replacement flipkart rejected physical damageis speakers major part phone didnt consider damagei wont buy anything flipkart nowthanks everything
33,review-5c691bc6-a0c5-4342-ac4e-708c587f582d,Akshat Gupta,5,Terrific purchase,ordered phone 19th december got delivery 22nd december afternoon ie 2 days expected delivery packing good product also proper condition found related accesories mentioned specificationsabout phonejet black colour awesome apple logo properly visible due colour back side phone scratch prone better back cover also time camera usual awesomeread
34,review-3efac8e3-61c0-44b5-b61b-edeefcfce687,SHAHUL P T,5,Brilliant,excellent product apple
35,review-433f53f8-49fb-4e47-a39a-eae90a242806,Ajay Pratap,5,Super!,simply outstanding compare
36,review-524d93ee-e92b-4177-a659-80d2171efa57,Flipkart Customer,5,Best in the market!,good product thanks flipkart
37,review-1f3757d2-b9a9-40c0-b4ad-536fd068aa76,sravanam suresh,5,Simply awesome,good camera front back
38,review-923be245-18be-4b61-a9d5-c800087ef242,Kani Bala,1,Plz don't buy,worst product everflipkart selling refurbished apple productsplz dont buy apple products flipkart
39,review-3c9505bb-b4fe-4606-b322-17b787d60eeb,Flipkart Customer,5,Must go for it,amazing product red beauti
40,review-0e81f72e-7967-4e4c-b71e-619df4bc0b70,Flipkart Customer,4,Pretty good,good
41,review-9b47e4f0-997a-4d09-83ac-1f6428a6550d,Anindya Chakraborty,5,Wonderful,first big thank flipkart apple india making great product available online amazing deal bought big billion days sale product absolutely genuine flipkart delivery system even better got phone house three days promised far good product thanks flipkart writing whole year using product still absolutely issues phone read
42,review-1ef5232f-2614-4148-a0ad-b57a1b939b06,Flipkart Customer,5,Brilliant,awesome phone love
43,review-d4fd383a-d42e-4c9a-8b13-6479163fbe71,Preeti Kureel,4,Pretty good,good phone 7 rose gold best camerabest display best qualityvery good product
44,review-0298275e-c910-4a5e-838a-9379e60995e4,Nikhil Agrawal,1,Device issue,facing issues device im unable initiate return replace
45,review-c12246df-d75e-4f70-b110-855e8192b864,ankit kapoor,5,Classy product,delivery expected time product also 100 geniun fourth phone flipkart
46,review-463b3e9d-145c-4d54-aae8-20952dc86601,Sangeeta Banka,5,Makes a Compelling Upgrade from the iPhone 6,writing review upgrading iphone 6the increased speed camera great 3d touch feels little incomplete convenient nonetheless design 6 black really makes stand stunning finish matte blackwill update review upon usage
47,review-9ddddd9c-dea8-48ab-b9ed-69ca08c4e829,Musarraf Jamil,5,Fabulous!,woow
48,review-d77848e7-fb55-40fd-b5b5-440381c54f5b,Bhavesh Kothari,5,Flipkart Rocks!!!!!!!!!!!!!!!,buying awaited phone year flipkart amazingreally thankful flipkart understanding customers egarnessflipkart delivered product 71016 710 pm apple conducted india launchthis kind commitment flipkart towards customers highly appreciableflipkart another word geniune productsiphone 7 first looks awesome phone gr8 camera altogether new home button faster previread
