,customer_id,user_name,ratings,review_head,review_body
0,review-c77f5aa9-9bb0-47bc-bc0b-b17cdf53a591,Salik Khan,5,Brilliant,beautiful phone price segmentpros design 1010notch display 1010glass back 1010compact mobile easy handle one handemui 80 amazing featuresperformance 910 laggingfast face fingerprint unlock 1010consbattery backup 1 day could better 810camera good still could better 810overall must buy productvalue money 1010hit like button u liked review
1,review-ee2a1f29-1dfb-4e74-ab19-25941153e72e,Kumar Saurabh,5,Mind-blowing purchase,exceptional phone price detailed review update later poutn time worth camera see details clearly well attached pic shallow depth field gives clear view subject pops clearly sound quality good without earphone plugged could given better sound driver earphones plugged doesnt give rich bass still descent rear view phone looks stunning premium finread
2,review-6c1501c0-faa9-4e6f-bcbd-53c63ff0b52c,Amit Khoje Patil,4,Wonderful,superb mobile thanks honor massive product made againmobile heating essue lagging essue hanging essue happy notch interesting glossive looky price display amazing camera fantasticthe mobile comes kirin 659 one faster processor chipset cortex a53 octa core 23 ghz makes mobile run faster back side mobileblue model attractiveprosread
3,review-6bbdf808-2aed-4bcc-af43-de223850a742,Shah Faisal Khan,5,Simply awesome,one best smartphone price range also consider redmi note 5 pro want better battery performance camera redmi note 5 pro also good esi specially portrait mode like professional photography like honor 9n best segment gives manual control shutter speed exposure value white balance 3 types focuses ive clicked awesome photos ill share amazing phone looks gorgeousread
4,review-fb095cb3-92da-44b8-bc06-f353483761e8,Naveen Kumar Tulluru,5,Must buy!,awesome budget mobile notch unbelievable performancehonour rocked
5,review-61a9a505-dab3-4674-90ff-afca3fe6c7f1,Milind Parab,5,Wonderful,one word absolute beauty worth every penny
6,review-57116c11-4e55-44bc-8bd9-24e9ba66b8e9,Jeet Seikh,5,Highly recommended,awsm
7,review-6867ba90-aeb5-4d40-8fe6-6b5ebd8d502e,Ashish Choudhary,5,Best in the market!,surprisingly fast delivery one day amazing phone mad gun
8,review-288d5748-afbb-42c8-ae96-df708590ed4d,Vishnu Nair,5,Super!,want phone looks goodperforms well enough money costs good battery back upthere phone better honor 9n ryt
9,review-4fba8b2d-838f-4683-922d-f6ee80f4c252,Himanshu Gupta,5,Fabulous!,good budget phonewith nice camera awesome display
10,review-499be295-0a28-4a86-ab58-3b3e9df61bdb,Sravan Kumar Ammula,5,Super!,best phone honor im happy mobile
11,review-27ab1572-e5c5-4bc5-a8c6-626be01cd137,Arshad Ali,5,Wonderful,good thank flipkart
12,review-4aedb3c9-77a8-47c7-acd6-b2da6ae54631,Bharat Kumar,5,Best in the market!,beatiful phone best looking phone ever price range display also beautiful camera also super crispy bit saturate bokeh mode overall full paisa wasoool phone
13,review-54f84f96-97e3-4b91-be65-0aac9a96a5e9,Flipkart Customer,5,Best in the market!,look mobile awesomecamera also quite goodits compact mobile u easily operate one hand
