,customer_id,user_name,ratings,review_head,review_body
0,review-66bf3511-7dc6-44b1-a021-8c9f9c208334,Ritu Biswas,5,Perfect product!,best phone 7ki really satisfied battery performance bestthis phone camera also good budget
1,review-644cc25f-0945-4bdf-aac1-83c5ba533e52,mohd zubed,5,Perfect product!,product quite stunning terms display battery storage aspects left everybodys mind phones camera speed user experience want clear doubt things starti ready give 55 display battery storage smartphone company except infinix provided features 10k segmentnow talking camera showing practically attaching images want toread
2,review-f5c3b1cf-f026-4b2c-aceb-1fc62be0dd43,Flipkart Customer,5,Fabulous!,wonderful smartphone ever 7000 rupees1 display quality awesome like full hd2 battery works 2 days easily3 camera super day light condition low light performance average4 ram management amazing5 x os like redmi miui
3,review-aff21e38-721f-4b96-9ba3-75183640aa50,Sunil kumar.R,4,Value-for-money,super phone good camera battery super value money im happy phone
4,review-adc4dc22-522c-4998-a043-675f121fe566,Kumaresan,5,Terrific purchase,first hats infinix bought good specifications phones at7k 5 day use really good baterry regular user redmi upgrade redmi phones tried new one infinix first thought whether infinix quality localized proved good worth hard earn penny pls blindly buy dont go
5,review-528c8cf9-e1e2-4031-827a-155313c223a6,Sandeep Mandloi,5,Wonderful,posted negative feedback think still exploring mobile definitely say mobile easily competes well 15k mobiles samsung moto redmi 2 days use found amazing aspects eg camera battery performance display call quality etc call budget phone price tag really good even compared many high end samsung mobile would recommend buy mobile blind folded feature rich mread
6,review-b581c04f-6e17-41cd-9627-60c2e6beae87,Ankit Yadav,4,Really Nice,happy flipkart infinix
7,review-d45ccd57-e416-4085-843b-f474f17495cf,Dharam raj Raj,5,Terrific purchase,excellent camera
8,review-e09f1ae6-c8e1-4331-bb21-844248d4d8a5,Flipkart Customer,4,Wonderful,awesome mobile price range grate camra setup front flash best thing cam good performance lastly waiting battery performance update use atleast 7 days
9,review-2c3ae72f-fd9c-469a-ad6f-f1efa9fac419,Mostafa,5,Simply awesome,value money nice mobile
10,review-ce029307-d2fe-4fa4-ac0a-c446d174f4d0,Flipkart Customer,5,Worth every penny,infinix hot 8 awesome thanks flipkart
11,review-393a9bcb-8c07-400f-9406-400f981393f1,Sagadevan Mathiyazhagan,5,Terrific purchase,got 2days good conditions battery backup superb charging time long 3hrs 30mints plz improve itcameraaveragebattery backup awesome charging time 330hrsdisplay lagging time double touch workingsound superboverall mobile goodminus1batteey charging time2display lagg issuemy rating 45thank
12,review-19b33667-03bd-4ebe-bcab-bb8fcd04c8a8,shubham Bhagat,5,Brilliant,value money glad say phones performance good
13,review-887ab654-0660-4d39-9dbc-e64974a5088d,Kishan Bagada,5,Must buy!,mind blowing camerahuge displaylovely water drop selfie cameraboth camera performance goodface finger unlock fast5000mh battery used 2 daysspeaker music performance goodare bhai aur kya chahiye 7000 rs memy rating 1010 pricethank u infinix
14,review-97fcd977-8e27-485f-b1a4-4469ccf19234,siddhant Chauhan,5,Awesome,best phone price
15,review-1ef46bdf-6edf-4bd7-83e7-564e43a63351,Flipkart Customer,5,Fabulous!,nice infinix 7000
16,review-7673d986-4c3a-4a83-9012-c834f594bdfa,Sanjay Kumar Mahto,5,Simply awesome,best mobile 7000 infinixbest camerabig displayand big batterythanks infinixfastest delevery flipkart
17,review-07941dd7-11b9-401d-914c-a884dfc26753,Aman Raj,3,Good,overall good productwhat expect 7k
18,review-3679dbd3-03d1-48d9-85c5-d52de496d298,Rajat Kapoor,5,Awesome,infinix really tried give best best price rangekey features are1 amazing user interfaceno phone compare interface2ultimate screen size 65 inch3 camera best according price rangea normal mobile user surely satisfied4 performance damn goodno lag medium games dont take decision basis gaming reviews youtube5 buy blindlyif u want perform day day activitieread
19,review-bbc3db91-3935-49fc-8ffd-5edd09b724a7,Rahul Bodo,5,Simply awesome,awesome phone totally paisa vasul im happy try itu love
20,review-c867c606-7ed3-413b-8f3d-40dc109edad9,Amit Kumar,4,Good choice,best smartphone pricereason buy it1 5000amh battery really good backup2 65inch big hd display3 464gb memory4 triple rear camera n 8mp front camera5 price 69996 super design colourallover good build quality good
21,review-ed8a8833-b8c3-4a30-b5eb-fc5246e37df3,Jeeva,5,Wonderful,superb onei loved itvalue money
