,customer_id,user_name,ratings,review_head,review_body
0,review-bef618ae-b9af-4587-bacb-fd16cb6b3bba,Ratnesh Mishra,5,Perfect product!,buy phone for1 excellent rear front camera2 super battery backup3 sound quality4 good display5 overall good performance6 value money
1,review-f331e7ca-1dec-4d33-b2ef-58dd08b6dcee,Dheerendra Kumar Gupta,5,Great product,love phone design battery awesome impressed camera good detail perfect normal photography
2,review-591c896f-acb6-45ce-becd-84fd5128becb,Swati Chinnu,5,Great product,awesome phone love large display camera superb overall superb dont think much go im really happy
3,review-7a935c66-37e8-425a-a013-c9bb2c63fa60,Girish Kumar,5,Mind-blowing purchase,good setgood ekart delivery man give 5star
4,review-d1441564-40af-4ee0-9dab-7361796f1379,Flipkart Customer,5,Excellent,awesome camera voice n battery capacity nice products
5,review-fd4ee677-c1dd-431d-bfce-0b0aa5cc9d94,arun yadav,5,Must buy!,awosem phone guys dont worry purchase without hesitationi using device go
6,review-2b915237-88f8-4f58-80f9-1d006d35c988,Vinay Thakur,5,Brilliant,really superb product oppo every sense value moneylove
7,review-9dbf5ef0-f513-45b6-9b7a-e467219d40c0,Tukaram Bandi,5,Excellent,mind blowing recommend buy flipkart
8,review-6087a3fd-6b37-4681-ba4c-c6a96f9e0e29,Rahul Gupta,4,Very Good,one best phone love really
9,review-8daa8f59-cd22-40a3-919b-85ed7f726e55,Flipkart Customer,4,Nice product,good phone superb
10,review-2cc90153-b66b-4830-a4d0-097c004ad041,Zeeshan Ahmad,5,Terrific purchase,osm phone value money camera good performance also osm
11,review-79fffc15-8288-4b1f-b962-020e4a9dd171,BHABANI SANKAR PRUSTY,5,Classy product,camera amazing processor fast one thing oppo give extra slot memory card phone
12,review-aff7ed87-b02b-45bd-90a7-cd6a82c89aa4,Harshit Yaduvanshi,5,Terrific purchase,best processorcamerapremium lookno lagging gamevalue money
13,review-0eae2d3b-1d2b-4361-a522-375efe90800d,Geethamrutha K,5,Simply awesome,edi super phone bossflipkart lo big billion days lo purchase chesina phoneim happy mobile flipkart thank youu much
14,review-fde89344-e6fb-446e-8618-501fc65a780c,Yatin Khairnar,5,Great product,value money oppo mobile good performance besr camera display mobile design goodbut flipkart good packing box mobile poor packing highvy price mobile lower packingekart courier fast good service flipkart bad packing
15,review-e75b9180-2a6c-426d-8800-61dcbf8bd328,Gaurav Chauhan,5,Super!,excellent lv u oppo lv u flipkark
16,review-c4b41141-9c61-4176-805a-835ec35de25e,Arun N,5,Perfect product!,excellentone best mobile oppo100 times better redmi note 7 projust buy oppo always best
17,review-7c620664-8fd6-45e2-944d-5f3805240506,Sudheesh Sj,5,Best in the market!,luv oppo really fantastic one
18,review-bf54845e-6429-4887-9c6c-47bbb70a3c6f,Ankit Singh,5,Must buy!,got 12k range best phone
19,review-d33f18a5-63e2-43e3-b2ba-7ad8d7b56c9a,Shambaditya Das,5,Awesome,product good know specification saying thatcamera 810performance 910battery 810screen ontime 7 hours medium usageback almost 1 half daysdisplay 810ram management 810security 810fast charger 1010speker sound810headphone soud 910
20,review-c49ec210-02cc-43a6-9a63-6ee2f81ff684,shantanu das,5,Awesome,superb quality camera purchased marble green colour good
21,review-42bf7fe1-0edf-4507-a4fd-19d1ddb38ecb,Navneet kumar,4,Wonderful,awesome
22,review-e574e3ce-3d22-4a6b-a9bb-edbd76ba1c97,Surender Singh,1,Worst experience ever!,flipkart product exchange police veery poorvry vry bad
23,review-f210f35a-9239-4326-bab4-870b6d6c6ea3,Arasu Fernando,5,Awesome,please read buy earlier samsung s6 edge time went oppo really happy phone detailed review covers important fetaures display comes massive 65 inches lcd panel offers good picture resolution clarity phone ltps lcd panel offers even good resolution compared normal lcd panels rating 45performance lags performancemulti tasking greatread
24,review-bb0d7311-c630-43ba-b032-26605d1a8edd,Rakesh Prasad,4,Very Good,phone gud green colour looks like black colour camera okok mobile bit weighing dispaley ok sound gud battery gudoverall gud product
25,review-bb9c42b9-2538-4202-ae60-f8e1ed457e21,Flipkart Customer,5,Mind-blowing purchase,love phoneits camera super amazingcut clarity good configuration price affordable
26,review-78ab33bd-c888-4cdd-9d21-4fb475e0c148,Devang Solanki,5,Must buy!,best phone camera blindly buy definitely know need check brands
27,review-27c2dfdc-e56a-43a5-ae63-8c9da18ec1e4,Debasis Sahoo,5,Super!,f11 super phone
28,review-469f6a81-28e2-4774-b278-01dd3a1115aa,Sandip Chavan,5,Best in the market!,recommendedawesome shiny mobilecamera makes happy everyonesuperb battery backupoverall great mobile
29,review-48008f8d-1e57-4bfa-b0d0-20408030e3c6,sougata ghosh,5,Just wow!,thank flipkart delivery guy good happy mobile good product oppo
30,review-7a02ffc7-c72a-438e-9a92-f8cfedade97b,Flipkart Customer,5,Fabulous!,wowits really nice phonethe camera awesomescrew tooi satisfied buy one
31,review-38a9b8f2-db68-4cc4-9503-e6c06c0cedf3,Amir irfan,4,Delightful,redmi note 5 pro userwhich highest selling smartphone indiai got oppo f11 yesterdayi give review based usagei pro photographer gamer video enthusiasti make videos youtube channel record singing performance tooso lets talk detail serial wisethe look n designits phenomenalthe attractive unique designthe camera must say rear camera better note 5 probutthe selfie camera mread
32,review-1dcdb3cd-e780-475b-a801-3388dad0c9d6,Shiju Siva,5,Terrific purchase,really good productits camera really super battery life good
33,review-2627222b-a5bc-4917-bb36-22155ae2613b,MD YASIN Sk,5,Excellent,awesome thanks oppo thanks flipkart
34,review-351af21e-4800-4eb5-9985-c99ecec09847,D_A N.k,5,Super!,thanks flipkart prompt deliverywithout reviews sites online still bought got hands sure shot surprise attractive phone look indeedall basic features range phoneall pros cons asidebuy phone bugged app adds xiaomi phones dont like miuithis coming avid mi user 5 yearssome shortcomings though ir blaster nfc gyro gorillread
35,review-3b0f57f7-648d-4019-a270-eefb77f14fe2,vishal malhotra,5,Classy product,value money
36,review-d478ba69-5555-48f2-9cde-8fe364fe18fb,sonu khan,5,Must buy!,osm camera pricebattry life camera quality good
37,review-b360db09-3835-45ec-8308-9dbc1eaba5b8,Arindam Karmakar,5,Brilliant,wonderful device great camera super fast gamingawesome experiencethank oppo
38,review-e5b0b246-15d4-4a60-970f-231f6b0e011e,Mohammad Parwez,5,Brilliant,one finest mobile competitive marketplace
39,review-8017a13d-3b53-4943-ae4f-7b1cd36874aa,Vijay Kamal Meena,5,Wonderful,excellent phone pricehappy f11
40,review-e91dd7d1-053e-42f8-93df-d0436a017c8d,Rakesh Prasad,5,Classy product,great phone battery backup good camera quality also nice 45
41,review-2bccc291-f9a2-4f1d-be51-15231f4f5606,Vipin Kumar,5,Mind-blowing purchase,vooc charger fast chargingselfi camera low quality good
42,review-ec9e543e-47bb-4062-ac5b-80615533e545,Subhankar De,4,Very Good,performance butter smooth camera average dont expect muchsupports camera2api didnt find gcam mod yetram management fantasticbattery backup insanely goodsound quality pathetic media lovers go one
43,review-65bf0a13-387d-482d-ab29-dadedc3afdc5,Flipkart Customer,5,Must buy!,nice
44,review-462fc4ef-f792-4891-b404-ec753329c39a,Flipkart Customer,5,Terrific,excellent mobile camera quality mobile good value
45,review-efe15238-a91a-4c83-9cb2-dfd0c18206b8,Lt Col D Bhatt,5,Best in the market!,3 days since using phone looks really great display good camera looks cool overall look classy ejection pin missing box raised complaint flipkart update 170619 two days far really gud phone range iv uploaded pics also camera gud
46,review-3a878828-4b85-47ca-af56-72f56379ce5d,Byasadev Sahoo,5,Brilliant,good phone
47,review-41b2ccc0-52e1-4b1f-9d79-617fca427e70,Bijith Jayakrishnan,5,Mind-blowing purchase,smooth performance value money excellent display camera awesome
