,customer_id,user_name,ratings,review_head,review_body
0,review-7dc45ad9-3e8b-4b7e-a211-10922747da12,Kalpana Jagajeevan,5,Great product,ah last budget phone flagship processor good battery superb camera let start pros cons btw want good smartphone highly recommend phone go blindlypros1 better cameras mi a22 winner winner chicken dinner snapdragon 8453 6gb ram 64gb rom4 dedicated face recognition scanner actually works dark fingerprint scanner too5 topnotch screen pun intended6 simple poco miui faread
1,review-ca039935-09cc-4fdd-9760-afa618f580c8,Manjunath S,5,Excellent,get value money type deal better xiaomi absolutely nailed market masterpiece device hats coming device everyone skeptical build quality believe bad ive used honor play got satisfaction using get honor play camera absolutely mind blowing processor needs introduction end best device ive used till date read
2,review-0e141225-4a4d-46d5-a6d3-90efb70ffefa,Thotngathing Muinao,5,Fabulous!,great device satisfied
3,review-ff2f8ad6-3362-44ea-8f3b-ba8a05761fdc,Arijit Kar,5,Simply awesome,best phone best performanceit pros want best cameraprocessor storage battery etcbest value money undoubtedlyonly condoesnt look like premium flagship phoneonly armoured edition give looks flagship phoneotherwise buy good backcover
4,review-38da8704-6335-4c56-a389-bbbe6dc30cf0,Ajay Mohapatra,5,Simply awesome,awesome phone price range
5,review-368e18d8-491c-4a56-af55-7b400bc03a18,shiv shankar,4,Really Nice,budget user great mobile one buy eye shut speed onhold memory good touch screen response slightly sluggish compares oneplus battery performance great normal user stand easily 15 dayssound quality good earphones treat camera good observed heating issue 30 buy good back cover need
6,review-72f506cd-d613-4be3-89eb-d5818666bd04,Muhammed salman sallu,5,Must buy!,awesome product value money
7,review-4f70ddd3-b00f-4ae2-b360-69649968e95a,Devesh Negi,5,Worth every penny,first impression wow
8,review-a25840e2-efe8-444a-ac46-35bad2dd0138,Taneti Aashish Prithwi Raj,5,Just wow!,words price rangeaa real killer marketdont think anythingif u love performance u die photographyu hear music lotare u gameru want awesome ir face unlocku dont like burn ur handu like speedits ujust rush towards itmannn created buzz whole techfeel speed
9,review-5b5f72d0-442b-4d28-91c9-c3d6ace2ec79,Flipkart Customer,5,Simply awesome,camera performance awesome speed like thunder playing pubg mobile performance omg smoth like high graphics computer phone game booster also
10,review-1f3579a5-1c7b-4582-ba46-3f0076f277f0,Khemraj Sidar,5,Perfect product!,value money smartphone
11,review-1e2bc722-7595-45ce-871a-c15398e07aa8,harsha vajjarapu,5,Perfect product!,beast pocketop 6 competitor low pricepackaging1 first things first thank flipkart delivering mobile earliest package delivered less 24 hrs item packed bubble wrap one layer mobile casing obviously thought could better considering electronic device2 items box mobile charger sim ejector pin transparent casing unfortunately small damage casing however chread
12,review-0125d069-b196-4579-a59f-8ee523fc1967,Pranav Kale,5,Mind-blowing purchase,purchased phone january say screen bleeding issue solved camera amazing use gcam camera api already enabled battery life flawless also new 960fps slowmo good attached low light photos
13,review-a9883548-3f37-4265-8bae-0df6595a6fda,Lohith Madarapu,4,Really Nice,awesome flawlesss experiencein love wid phone little bit issues think corrected future updatesblindly go itvalue moneygot first saleso faaaarsooooo gooodno prob
14,review-f652d3e3-f325-4ea1-9213-bf87c28cd4a5,Pratik Bopte,5,Must buy!,amazing phone amazing specs unbelievable price whole pu case lights torch lit performance like f1 car go
15,review-6b94c044-ca5e-4beb-aa34-4152408a0bcc,Bhupinder Singh,5,Perfect product!,excellent powerful lack best batterygood camera daytimesbut cover loose
16,review-7cd90555-5ba3-4b1b-92e0-16825a4b7e9e,Muhammad KAMIL Jamie,5,Fabulous!,fantastic mobile
17,review-211fb98f-2b89-4693-a008-01f31becf8db,Shreyas Parbat,5,Great product,awesome productqualcomm snapdragon 845 unbelievable price
18,review-db144af2-f249-438c-bc42-545eab3dd8cf,Flipkart Customer,5,Awesome,love u poco
19,review-7dfc59fc-d539-4ff7-a07b-99ea7671d441,Rahul Chowdhury,4,Worth the money,thanks flipkart delivering product quickly started using yet performance awesome quick charge 30 charges phone 1 hour 50 min
20,review-b8bbe133-65bd-4b9e-aed2-4b499c42fe78,Pawan Kumar,5,Simply awesome,phone killer waoooooo
21,review-18348456-c8bd-47f9-8319-f2561d8d417f,Kavitha Nampally,5,Wonderful,best flagship phone affordable price second poco phone rosso red color super cool love camera battery performance phone go guys without second thought
22,review-a23157f4-484c-4e17-9866-28bf7dbaded5,goutam debnath,5,Mind-blowing purchase,overall best smart phone budget sagment
23,review-ecf5ebf0-8869-420f-ab7d-1241bd3fdc9f,Vicky nani,4,Nice product,facing os related issuesbugsoverall satisfied phone price range
24,review-062d431f-e09e-428b-86f2-2cf0616d46c5,Flipkart Customer,5,Terrific,first want say guys phone worth every penny heres pros cons 1the performance class 845 chip 2the new laucnher handy use 3the cameras rear camera good got good details front camera also good make little bit beauty side better competitor read
25,review-f25b6218-d6cf-476b-a457-821a01ad2f7e,Ritanjali Dhal,5,Wonderful,simply asm love
26,review-ba0d4ef9-3f56-46c2-a5dd-94760478c8fd,Flipkart Customer,5,Must buy!,best specs best price best delivery go poco
27,review-4b530209-2150-4db3-9a19-01ef27137bdc,Ishan Mankad,5,Fabulous!,booked first seconds sale delivered exactly time poco f1 delivers expected top notch performance value money camer battery build quality looks near perfection wont feel metal showoff people
28,review-132fe6c2-5f46-4ba2-87ba-5d95db5ea126,Md.imtiaz Halder,4,Very Good,good manual mode
29,review-30d2d89f-8a06-4bb6-940e-0ec04bcb86e9,Parikshit Ashar,5,Simply awesome,absolute bang money true value blue colour looks premium even build quality fantastic cheap feeling even polycorbonate built
30,review-676a2f6c-9e5c-4f62-a9d9-1ebd87806736,Shrey Bhagdikar,5,Mind-blowing purchase,brilliant set excellent prize seriously finest delivery flipkart thanks 1 camera 10102 design 1010 price cutting 810 normallyplease dont cry glass plates etc price cutting best3 display 910 also amazing auto brightness great4 performance 1010 btw deserves 10 fast best processor5 battery 1010 used phone 6 hrs 50 every specs like location bluetooth eread
31,review-6d32bb43-7703-43ab-aedd-0ff830d18884,Nikhil Oraon,5,Fabulous!,excellent
