,customer_id,user_name,ratings,review_head,review_body
0,review-58940ceb-8c00-440a-9f31-241e4ae7e27c,Kriti Kairi,5,Terrific,phn totally good awesome performancecamera goodbut macro lance goodand selfie camera better back camera happy deviceits looking shiny cool people use smoothlyloverealme5
1,review-8f8939ec-9ee9-4455-a89e-472f279c7244,Flipkart Customer,5,Best in the market!,sticking tag line dare leap realme doesnt fail impress customers premium looking devices along great features realme 5 another example number reasons love device begin quad camera truely amazing able capture moments amazing camera amazing battery lasting long enough enjoy mutiple things device videos gaming crystal blue design totaread
2,review-e82f682c-c423-42bd-b47e-4934d2ac2006,Pitama Kurli,5,Just wow!,recently purchased realme 5 332 gb crystal blue variant getting incredible device price along quad camera caught attention first using device week device suprised lag free performance along 665 processor introduced first time india price steal stop quad camera letting capture every moment great quality else one even need realme truelyread
3,review-1d309602-d6e0-4b47-9edc-db08b0c037cd,Kaushik Pratik,4,Delightful,writing review using 7 days better tell pros cons phonepros1 65 inch big clear display2 back design quad camera looks awesome3 performance wise sd665 quite good processor then6604face unlock finger print scanner fast5 extra sd card slot dual sim6no issue network internet7 112 day battery backup normal usagecons1 brightness quite low mi note 7 ok2read
4,review-cd39fbd2-33ba-4459-828e-fcaf278a5d65,Dhruv Kacher,5,Terrific purchase,overall best mobile price battery also give 9 10 hours screen oon time chack also redmi note 7s also good option performance realme little bit higher mi note 7s display also good size display best think mobile speaker greanted buy mobile supprised speaker soo louder clear also almost dubble smartfones charging time 2hours 40minutstaken fullread
5,review-15d3d111-9cce-4a45-b232-7913edb4612d,Harshang Patel,5,Classy product,nice camera battery ets good phone price
6,review-bd4de73e-d8d3-4b84-a1bd-b91933575ebc,Flipkart Customer,5,Wonderful,affordable price range
7,review-ba7d447b-875f-47b0-b4dc-f57fca4a07f4,Rajkumar Das,5,Fabulous!,awesome price range one beat
8,review-957ef866-13ea-4cb4-9e6a-e50e438e3299,Diwakar Singh,5,Must buy!,thanks realme flipkart
9,review-d0daf7f8-6bce-4b04-bdce-2f5dc4692c9f,Sahariar Mondal,5,Fabulous!,amazing purchase flipkartbattery life awesome rarely see battery percentage full faith battery quality good price range
10,review-b0a4968f-f662-49c5-b0f4-57b1fd2b6bac,Pradip Joshi,5,Simply awesome,excellent phone price range build quality good design super camera quality nice
