,customer_id,user_name,ratings,review_head,review_body
0,review-2a749ac8-c3e4-4f0f-8915-29fe40ee099b,Amit Kamboj,5,Terrific purchase,hi friends going review fantastic smartphone usage almost 12 hoursand really unbelievable performer class device guys review device 2 sections pros ignorable conspros1 battery performance awesomei charged 30 100 85 minutes would believe using continuesoly 10 12 hoursit still 33 remainingwow 18w charger also extra advantage2 looks design really goodread
1,review-152b90af-0949-4418-8e20-397ccf459ae8,Swaraj Mukherjee,5,Great product,absolutely amazing device price range hand feel awesome thank team vivo vivo provide amazing device decent camera decent battery backup good sound quality others necessary things
2,review-927d2d31-3516-4390-93da-c6818cdf345e,Kumram Nagaraj,5,Great product,super fast delivery battery strong looking super camera quality good gaming smooth play
3,review-00221c99-679b-47a4-8dda-11415b9f87f7,Abhishek Rawat,4,Delightful,far goodgot delivery less 22 hours kolkata little bulky big screen phone users small hands headphone quality average took 2 hours 20 mins charge 18 till fullon switched mode 9v 2amp 18 watt charger front camera really good rear camera nice fingerprint sensor super fast face unlock instant software includes many settings gesture control totally customisable smartphone plastic back cover screen picture samples includedread
4,review-43ab2231-5ab9-4783-b997-74921cdb8784,Nithin Ravi,5,Wonderful,first premium looking vivo phone got sonic blue colour awesomethe cameras great lots manual controls video quality normal satisfactorythe front camera really goodthe best part phone id huge display good see small punch hole stays hidden time youtube videos look exceptional screen also amazing performance even 4gb variant heating issues
5,review-a7d8b8ca-fbc7-4d87-9625-ecc86ab4b3ae,Shree K,5,Mind-blowing purchase,best phone loved
6,review-6b6aab71-d456-435d-b973-5cdfb70ff345,shaik Shamshuddin,5,Highly recommended,awesome mobile performance super camera battery backup good camera editing good editing quality superb
7,review-92a9b9c9-df44-48ec-a184-1a8449a42c3f,Flipkart Customer,5,Perfect product!,nice phone
8,review-59ab1926-8209-449b-933c-b5f518f6afc1,Flipkart Customer,5,Simply awesome,wow good phone price
9,review-711ee520-4d36-4eaa-b25b-0ee5316da7d5,Abhishek Anand,5,Just wow!,best phone price segment
10,review-708c648e-ccf1-467c-8b4f-b0233af5c663,Flipkart Customer,4,Pretty good,nice product nice camera front back value money mobile little weight usb c type charger wise nice productwait couple days full review
11,review-04fbd7e4-a957-43e6-b4fb-5ee75170150a,Abhay Sharma,5,Awesome,good
12,review-90b19306-81be-4cb9-80fa-8b404fddd052,Zafar Khan,5,VIVO Z1PRO GAMING GOOD,vivo z1pro gaming good
13,review-5a95efd3-60a5-4651-a3ed-36825a76b22b,SHUBHAM Kashyap,5,Awesome,quality image suprb
14,review-8e142d6f-097b-4ae8-b0f9-bfbe8ada5bc5,Daniel Dhilpe,4,Wonderful,wow camera mind blasting value money thanks vivo
15,review-6d61f7ef-7dec-4b62-8585-c247734912cd,Raj Solanki,5,Best in the market!,budget king
16,review-9a50ad36-12d3-4de4-ad28-9be6098c7993,Harsha Talari,5,Must buy!,good mobile
17,review-6c01e451-e8b0-42c4-98f4-deb00c66dc89,Shubham Mishra,5,Must buy!,excellent display experience battery back decentfront camera excellent click real image oversaturated image rear camera amazing well funtouch os experience also amazing also used miui interface redme note 4 pretty much impressed fun touch os vivo z1 pro end say fully value money
18,review-37017263-9780-4f54-add1-6b1b17c3a9ff,Dharmendra Vaish,4,Nice product,phone superb gorilla glass missing use carefully
19,review-99f87dd0-d918-4332-8830-eec0b7e024bb,Suchana Dalapati,5,Must buy!,love product value money camera aswm battery amazing
20,review-157a7f2c-7d1c-4cc5-a061-ede3eb245f38,Aryan Anand,4,Good quality product,battery really long lasting got phone 85 battery one day use still 18 left camera awesome posting images clicked camera better understanding
21,review-c069cf5f-3850-4b05-88b3-7e70e8561465,Flipkart Customer,5,Mind-blowing purchase,good experience
22,review-45452411-10ec-4aa7-af0b-0951170b2bbb,AKASH MM,4,Very Good,nice better performance
23,review-2ad8f065-77f5-418f-affc-4606ac1b911f,Suri Surendra,5,Excellent,super camera battery backup best performance price range excellent mobile
24,review-4c0f59e6-35c8-4b0c-a1e7-9c9469e2f975,Vishal Mourya,5,Classy product,awesome phone
25,review-62768435-8c52-42e4-ab1a-63f1f0142944,Sayantan Nandi,5,Fabulous!,vivo going give motorola redmia run money phone excellent product category highquality camera ultimate display powerhouse battery super fast processing snapdragon 712sonic blue looks really nice watching videos playing games absolute fun tad little big heavy minus reckon understandable 5k battery might fit fully jeans pocket id recommend mustbuy read
26,review-e80613d8-7983-42bc-9077-393d7206d5ae,Akhya kumar Jena,4,Pretty good,good phone
27,review-2d44e4f9-0613-4bbc-a36b-61d9e1c103c7,Flipkart Customer,5,Wonderful,best mobile good features camera
28,review-a8635b9d-f56f-4a61-994e-f4e14c19d7d9,Pramod Kumar,5,Highly recommended,wonderful amazing experiencevalue money
29,review-d2b90c1a-c1ce-4a40-b90a-e94e890ff87e,NILESH KUMAR BHAJJI,5,Worth every penny,super mobile nice camera good display bettery life super fully loaded mobile thanks flipkard
30,review-45b2304f-219b-478a-a916-6d91b448f720,Safi,5,Wonderful,awesome fabulous
31,review-c3551bee-75e5-4cbf-afd0-da5b33747fb0,pranjal kushwaha,4,Good choice,value money
32,review-a2c6cada-d26a-46f1-9b55-e23098d4594e,sethuram Alagamanna,4,Nice product,good
33,review-ecd3090e-334d-400f-918a-5f11b2f5b42b,Sonal Kumaar,5,Awesome,nice naughty mobile
34,review-5e46aeff-7b82-436c-bcf9-7744861f23e4,Azarudin Azar,5,Mind-blowing purchase,first user vivo phone value money dont think anything go redmi k20 pro realme x oppo k3 upcoming mobilesin upcoming r popup cameras think popup cameras r getting problems features suggestion lets come mobile processor snp 712 equal flagship mobile apps downloading fast price segment cameras r looking good battery power excellent 18 wread
35,review-22d41d37-ea78-4736-ab27-cac8211f4db8,Nagaprasad Gy,5,Best in the market!,design goodbattery awesomegamers play awesome
36,review-c78ad4de-82e3-418e-a662-931573c6a681,Ankit Bhatnagar,4,Very Good,gaming experience good compare phones budget battery life awesome sound quality average rear camera front camera looks good considering price
37,review-cf5f2c93-6547-45e7-8295-60667acddc53,Sangeeth Siva,5,Brilliant,best camera mobile awesome performance king smartphones
38,review-42fedc79-ef4b-4a9b-b146-f07c737bd4bd,Pankaj Sansalia,4,Good choice,nice job price
39,review-42b65190-29b8-407c-8459-6d11b6eafe00,Arup Bhakta,4,Really Nice,vivo z1pro good product display badnight camara photos badmobile performance good value money flipkart courier service slow camera video legging vivo z1 pro
40,review-abbbf4db-aa64-409f-91d2-43e6808fff5d,Flipkart Customer,5,Mind-blowing purchase,best phone prize rate
41,review-8bbe4d24-a1c7-4319-85b6-da2fda2cc1b3,Dushyant Mehta Mehta,5,Worth every penny,osm mobile happy get phone flipkart delivery also time thanks lot
42,review-36ce7a1f-2128-4dcc-a47e-ea1c9f34c3f8,mansoor shaik,4,Good quality product,absolutely 100 percent honest review using vivo z1 pro since 3 daysbattery pretty impressivescreen good viewing angles good u get nice full screen punch hole displayface unlock finger print unlock sooper fast like bangsound quality ok good bad alsobuild quality average design ok okcomes heavy weight 201 gm feels also heavycameras good still photographyif u use kids read
43,review-c2dc69fa-8432-48f7-a5c1-48c771c7ba63,Roopom Goswami,5,Perfect product!,nice
44,review-5e982fc7-e0c2-4163-abfb-f0064b6f0fd1,J P MEENA,5,Highly recommended,good phone
45,review-df7ef298-82a7-435e-aa9d-1146fd3a7acf,Flipkart Customer,5,Worth every penny,received yesterday mobile outlook outstanding processoris quick installed apps secondsboth camera performing superblydisplay fantasticeasy handlebattery charging quicklytoatally vivo z1 pro paisa vasool phonei ordered 1201pm 12th july 2019 got mobile 13th july 10am got within 22 hours flipkart outstanding delivery time
46,review-8ca2ab57-42eb-4f35-95d9-e9db390e9cf7,Ajit Kumar Munda,5,Must buy!,pubg game smooth parfomancein hdnice product cool camera front backvalue 4moneybest phone price sagemant
47,review-5d427657-8f91-4c2f-81f4-1467a003a3a7,Gaurav Pratap,4,Very Good,good
48,review-12b8116d-77a8-4d2e-a372-3545df1fe99a,Harikesh Chahar,5,Wonderful,best mobile range
49,review-b1d914d4-270e-4b00-904b-e32f9c24fc39,Mohd faraz Danish,5,Worth every penny,use devices realme 3 pro vivo z1 proboth bestbut vivo z1 pro little faster battery aficienti love phones performance camera specialy selfi best battery optimization big battery big display bulky peaple says heavy u dont feel use 6 days write review phone awsome price range go itif u want big battery big display best selfi powerfull performanceit call drop issue read
50,review-1d7b5f2c-6bf3-4c86-9ec9-73372a5d7c36,Avinash kumar pagidipally,5,Super!,excellent camera backpanel superb
51,review-1b560827-9ce5-4724-9420-e0f41e1b761b,Priyangshu Bharati,5,Awesome,outstanding performanceawesome phonecamera battery suprb fast delivery
52,review-6b75fe43-cfe3-4968-82d4-f038d559b7bf,Mohd Sarfaraz Ali,5,Excellent,totally valuable money perfect performance tiktok user well pubg player perform specifically perfectbhoothard
53,review-da8c5dd6-7509-407a-af96-4e0ea48162c8,Raaj ManGat,4,Delightful,overall good proformancebattery backup awesomecamera quality goodbut phone weight according mobilesi satisfied
54,review-8ec55cbb-8b6c-4982-84f8-1374fbddde90,Md Zeeshan Ali,5,Perfect product!,awsome phone
55,review-ba66861f-1ab1-4549-b2f5-c6f1fe101732,Md Quaiser Alam,3,Nice,good performance gorilla glass week point premium filling
56,review-0670248f-9d03-458f-b8fb-9568d7a24f88,Ankit Shrivastava,5,Classy product,outstanding performancereally fully loaded smart phonehighly recommended everyone buy phone
57,review-68012ef8-edf9-42ef-a780-f870109fbd48,Ramlath Bilal,5,Fabulous!,awesome phone superb features thanks vivo keep claim z series
58,review-4673cb65-b846-4d23-9815-ffa23423c5cd,sandip singh,3,Decent product,overall phone good bettery performance much better segment camara selfie good back camera cases clear click picture ota update hope fixed issue everything phone must buy
59,review-2fcc45ac-fee9-4f49-a96b-dea6587f1ec6,Saurabh Singh,5,Excellent,totally loaded package aggressive price segment display 910 touch 910camera8510processor 1010so dont think much go
60,review-b809762d-f0f1-4ff9-8164-0acd570e2d17,Flipkart Customer,5,Super!,better performance
61,review-ce9586da-faca-46f6-b346-7005a3056c9a,Naveen Rb,5,Super!,best smartphone must buy
62,review-1e542110-74ad-4500-8a61-0c7d77da53ce,Aniska Jyotishi,4,Good choice,studio effects effortless
63,review-8c532506-5547-49dd-81b0-e51072295016,sarjeet singh,4,Delightful,wonderful camra phone battery processnot hdr play back option
64,review-45e447cf-4b97-4ed2-ae24-ceb7efe7b770,Mijanur Sk,5,Terrific,good product
