,one_plus_7t.csv,customer_id,user_name,ratings,review_head,review_body
0,0,review-a8fa7e53-a1b5-459c-a36a-4cd990687d47,Aradhna Singh,5,Classy product,nice phone good back camera front cam avgbattery backup quite good screen good little bit disappointing og bezzels performance also goodoverall nice phone price
1,1,review-840bf7e2-1613-4e6c-9f0e-251eeb5f502d,Ankit Koli,5,Excellent,nice product xiaomi powerful performance long battery life outstanding camera perfect reasonable price
2,2,review-3b64b429-ffbe-4824-98bd-d04cf5f81025,Flipkart Customer,5,Awesome,writing review usage one monthpros1 great camera especially night mode2 battery good lasts around day half normal usage3 processor good price absolutely lag free4 superb face unlock unlocks low lights well fast5 type c port great comfort around 2 hrs charging time provided charger6 notch small week two dont even notice aread
3,3,review-9ccaa222-c422-43f3-b26b-0de3b32bc3ce,Paramita kulshi,5,Wonderful,love picture quality battery backup awsome used phone 2days without charging finishing looks crazy love get hand
4,4,review-9408572c-27af-4206-9867-3a8d890979b1,Mayur Nandkumar Pawar,4,Worth the money,nebula red looks absolutely awsome thanks flipkart
5,5,review-5985709e-c937-44bc-a4cd-a34a21c0a631,Sk Rony,5,Super!,nice camera value money
6,6,review-148f52c3-952d-4fbd-8554-2f8e183fc29e,Chandra shekhar Dhaker,5,Mind-blowing purchase,brilliant phone
7,7,review-4856d498-b775-4c78-92a2-bbb5f2f29c47,Sujal Patel,5,Wonderful,absolutely beast camera awesomevalue money smartphonelow light photos samples aweosmecheck
8,8,review-b94ff967-9e20-4094-91e1-640988f16c7f,Shubham raj,5,Brilliant,look exceptional
9,9,review-5b9ba355-4502-4624-9c13-b89fc6296ac1,Rahul Mandal,5,Worth every penny,super build qualitygreat cameraextremely satisfied
10,10,review-793a2010-6294-4655-ac0c-c8db97a2e758,Abhijith P nair,4,Delightful,reasonable phonecamera hangs
11,11,review-11498a61-80f9-4d00-93bd-9a08a0a55d11,Flipkart Customer,5,Wonderful,excellent camera
12,12,review-99c9ee1e-cec4-489c-94ce-600e52df16a3,Nileshshinh Mori,5,Excellent,best performance1best price2best mobile camera3sim 4g4g4camera 48 mega picture5bettry40006rem 4 gb7rom 64 fb used 49 gb8front camera bed9sound best10gorill glas11mobile problem adhar app company
13,13,review-c7f3f419-9f56-40c8-954c-38571a3f4296,Rashi Rout,5,Classy product,loved
14,14,review-42c1d5ff-dda2-4321-b4e3-9941a541dafb,Abhishek Mukherjee,5,Excellent,simply amazing best value money device get right
15,15,review-30c64a75-9169-4694-9dec-f3a0cba89773,Subhrajyoti Kundu,5,Classy product,awesome productnote7pro
16,16,review-24d10b1c-6b90-4518-bb21-393ea8f9dd1f,Sourabh Kadam,5,Simply awesome,best phone price
