,customer_id,user_name,ratings,review_head,review_body
0,review-6739fce9-dc35-47d9-a317-76a188551a0e,Mrutyunjay Jyotish,5,Great product,oneplus 7t standing battery performanceboth 60hz nd 90hzits 3800 mah battery charging capacity op30w warp charging much faster actually beyond imagination dont believe specific reviewsoneplus 7t awesome every aspect op camera sensational display one best speakers ever use impressive osdont think much go
1,review-ca317a49-6869-4bae-a72d-5d2c5fa2249e,Harsh Kumar,5,Must buy!,everything amazing phone totally worth moneyif want rounder phone great photography amazing camera good display go otherwise go asus rog phone 2 40k also beast doesnt great users experience camera okayish gives great gaming experiencebut rounder user experience eco system premium doesnt guarantee updatesso roread
2,review-063a1629-f3fc-4647-9805-583afb30c94d,Mohammed Ismail Sheikh,5,Highly recommended,overall amazing
3,review-e0b0575c-3eae-40b4-a8e0-5c4c9bbf0f44,Goutam Sarkar,5,Fabulous!,excellent low cost flagship
4,review-a429a55e-9a27-4c27-ae01-0c96d06b849c,Flipkart Customer,5,Must buy!,awesome mobile love
5,review-b62f0e71-d795-4b7c-86f0-63013d01faa6,Flipkart Customer,4,Worth the money,im love camera super
6,review-e3cac5fc-7193-4cd0-8d46-6900928122e1,asif shaikh,5,Wonderful,great service product
7,review-6c5b4f1c-f1c3-4ba6-bf56-ff1a51da4533,Jagruti,4,Very Good,overall good value money problem facing overheating phone call 1 hour
8,review-cfc0192d-01f7-4b7d-94c8-1acd72fea62b,Chandra Mouli,4,Wonderful,tool good
9,review-6fed4bf3-d56f-41d8-afca-74c455fa73b4,Aravinth Kumar,4,Nice product,selfie camera best leveljust average back camera best big disadvantage zoom mode available selfie potrait mode
10,review-eebb201c-5db0-4035-b0d7-9aa85b012cb8,San Tosh,5,Mind-blowing purchase,amazing product one plus
11,review-e8175980-4564-481f-8d79-c8044ae8fa34,Flipkart Customer,5,Mind-blowing purchase,one plus 7t good experience photo quality pretty
12,review-ee5e5175-53f4-4a56-807a-7a9cddaf097d,Max Vhanamane,5,Awesome,doubt best phone 40k
13,review-f36ca428-63f7-451f-a1a0-13552fa3f353,Mohd Shahbaz,5,Worth every penny,good fantastic product
14,review-a3fc601e-2005-4b06-b715-0983d4d9094b,Devvrat Tomar,5,Simply awesome,one plus 7t better overall performer realme x2 pro rog phone 2 whereas realme experience highend smartphone market lets say brand matured oneplus hand rog phone 2 daily driver beast phone focussed gaming lacks overall package
15,review-31a6fe87-9d2c-4eae-bf58-25f77c4369a4,Rohit Bhanse,5,Super!,1st time purchased one plus series phone usualy preferred samsung galaxy seriesnice device good design performance words
16,review-a8b96507-d485-4275-aadc-f6a62251ccd0,Flipkart Customer,5,Must buy!,good
17,review-c9401283-fa4d-4b82-8325-36d0cc1fbe33,Devesh singh Kushwaha,3,Just okay,product good delivary time long
18,review-55909f32-52bd-4fae-b549-25cf6c4031b6,Syed Ekram Hussain,5,Classy product,dear flipkart firstly would like say thanks phone awesome great experience good battery camera etc thanks one plus launching great phone hope run smoothly like future also regards ekram syed
19,review-121b59a1-223a-44b4-be10-aeea42d4092e,Santosh Baghel,5,Highly recommended,7 plus
20,review-6ac54246-020f-4b2b-a3ff-3d06c114d1e0,Flipkart Customer,5,Worth every penny,good one
21,review-8972634f-6819-4b3e-b06b-2e3388faaa39,Rajeshvar puri Puri,5,Terrific purchase,superb quality phone amezing performance
22,review-eb9f3575-5dbc-489b-99f6-efb927884675,Krishnakanth Parammel,5,Super!,awesome phone value moneyoneplus always take care customers satisfactionand 7t mind blowing
23,review-34e2e5ef-8f30-4cd9-866f-a508263e252e,Nisha Chauhan,5,Super!,wonderful camera performance battery could better must buy price range
24,review-b7b3cb28-0051-4bf7-8041-2c9dc1bcb066,Aravind .cd,5,Fabulous!,totally awesome
25,review-209d5092-1120-408c-b6a8-10ee5cbda989,Anubhav Singh,5,Classy product,ultimate phone excellent display quality sound quality camera quality
26,review-3bff635f-8d22-47c5-8b9d-c1c2bd1a4088,Aakash kumar,5,Best in the market!,l features best superbb
27,review-39325e99-2b15-4331-9192-3dab05a31805,Rakesh Parmar,5,Perfect product!,awesome mobilesuperb camerasmooth excellent performancevalue money
28,review-1bec1b31-0977-409c-b727-c1e9927209a8,Rajendra Singh,5,Perfect product!,good finishing
29,review-4ffb334f-c67b-451b-a834-b337b392b9d9,Rohit kumar Yadav,5,Just wow!,awesome phone loved
30,review-c9a7e54a-9fcd-49a1-8b74-1ba98c259406,Debashish Dash,5,Worth every penny,nice mobileits dream mobilebest mobile year
31,review-22a5befe-4d36-4ed0-8b34-d849b48d2cd0,Flipkart Customer,4,Good choice,well awesome smartphone oneplus rangethe phone good performance goodbattery charge fast warp30t charging0 75 percentage jus 30 minsthe problem device heating little bit otherwise problem
32,review-2a3ffd71-cf44-434e-8b45-920afbf7b030,Nibedita Majhee,5,Brilliant,love phone
33,review-da15b9e7-5fa4-490f-921e-4f05b544f89f,Babai Mukherjee,5,Wonderful,best performing smartphone camera price segment need download gcam
34,review-5d950666-e41d-4205-947c-cf7c93c2e3d5,MOHD MANZOOM,5,Just wow!,excellent awesome device doubt true flagship phonemarvelous
35,review-1229866e-2440-4667-a363-137cea5fde74,Abid Ali,5,Excellent,looking premium quality camera quality good 3setup camera frosted silver colour osm finger face unlock working fast
36,review-64222af4-f5b8-4b5b-97a4-7be8f9d08eb6,Himanshu Mehta,5,Wonderful,include manual quick start guide
37,review-f4e8abd8-2270-454b-a05d-13955d473828,Girish Katore,4,Value-for-money,15 days phone getting hanged
38,review-53ef31e1-825b-404e-9385-937cdfc3e40c,Madhu kumari,1,Worst experience ever!,give fake data cablenow doi want original data cablesecond battery backup low compare battery backup 3850maham disappointed
39,review-0a639b50-9198-4d0a-abe0-644cc30d3296,Anil Kumar K H,5,Super!,good
40,review-cab96411-d99b-45a6-9b08-5850bdfe7b70,Anuj Kumar,5,Mind-blowing purchase,time delivery amazing hardware top notch performance sensors work maximal performance
41,review-b698f4c8-2ad4-4e3c-b27b-2c84f6172d8e,Lucky pawla lucky,5,Wonderful,gud
42,review-2adb93ef-9b71-474a-9405-9b14d30b4e5b,Abid Khan,5,Worth every penny,9 day usesuprbbbbb performer roundi update review 1 month use
43,review-c6f3548c-56c1-4e4d-ad63-d63ed8c83146,Kasim Kasim,5,Must buy!,everything great
44,review-c7d3e27d-5fb0-4778-a6db-a296349909c1,Rohit Hulekal,5,Classy product,mobile awesomedont think much go
45,review-14d7cbed-f062-4ca0-93f0-a913074f97ad,Vikash Raj Rajwade,5,Mind-blowing purchase,apple ka baap
46,review-63054017-78ee-4a82-983e-b36504ef3f11,Shravan Kumar,5,Great product,used iphone 6s 8 oneplus best camera claritybest displayvalue money fully satisfied comments
47,review-35618139-510a-412d-864c-b0f157af1a7f,Harvinder singh Harvinder singh,5,Terrific,displayloud speakerperformanceexellent battery also good
48,review-9a48a0b9-8c90-4274-b6ee-79f657cf1b3a,Sri Balaji,5,Fabulous!,awesome
49,review-1eb8b9cd-4d6f-4966-b014-82d5d51b88ca,santhu,5,Super!,everything beautiful except auto brightness
50,review-c0b3d022-b1b4-45fe-b4c4-f60c4699154e,Zemse,5,Terrific purchase,nice
51,review-4f4bba1e-a320-4a83-964e-e50820664c3e,Riyas Rasheed,5,Best in the market!,missing headphone jack thats negative
52,review-24e1f207-44fd-4a70-9bb5-59609ee0bc29,RAHUL REGHU,5,Must buy!,sprb delivery time tooo late
53,review-7e01a238-2fad-481a-8686-377a2ac77b40,Shriniwas Singh,4,Pretty good,impressive mobilehowever improve battery performance mobile needs
54,review-6b985ce5-8cef-4787-a9bc-f7426579b746,Dhinesh Kumar,5,Terrific,fast worth money
55,review-c45b54a8-42d2-43e1-b92d-35d6e966f0ef,Mohit Rajput,5,Highly recommended,product good value moneyy
56,review-ab226b56-3f0b-4285-9f40-481fb09f1e17,Flipkart Customer,4,Good choice,nice one
57,review-7051265c-3e15-4648-879c-aa0bb6d4ca85,Vengatraj Mathish,5,Just wow!,pro
58,review-12d29799-0c57-46c6-abd7-83031fc3e53a,Niraj sharma,5,Terrific purchase,superb product packging alos good super fast delivery
59,review-0205708f-e9e4-46c0-a59f-d855e7cec24b,Abhijit Hazarika,4,Good choice,allrounder using know
60,review-482aea72-d62e-4824-8698-2b2c1e184b7b,Subhankar Singha,4,Value-for-money,good phone overall performance
61,review-4e13eeef-e683-420f-ad18-5349ff20c699,MOHAMMED ASHIK,5,Best in the market!,value money product
62,review-60ccddd7-11ff-4bba-82b0-bc72f4c7f983,Bapi Jana,5,Terrific,nice mobile
63,review-5cc97abf-feb4-4ceb-938a-58f88cceb6c0,Flipkart Customer,5,Great product,best yet one plus talk camera battery performance speed everything top notch although none phone compared one price range
64,review-d4eb5aeb-9e9d-4928-b691-78f3259f535f,Vijay Sharma,5,Just wow!,good luck
65,review-06390755-168b-4277-be5b-a0e4841dcd7f,Piyushkumar Piyeja,5,Excellent,awesome cant download invoice
66,review-a33ea43f-6adc-4093-a3f5-4d3561c92b5b,k.s.rajeev k.s.rajeev,4,Good quality product,good
67,review-4df09059-e0b9-4420-9cdd-82bc51320074,Flipkart Customer,5,Terrific,osm phone
68,review-df6a7726-42d3-40f6-8692-b7f50518372a,Flipkart Customer,4,Nice product,liked phone much good performance camera everthing find disapproving doesnt come headphone
69,review-724d43cf-93dc-43d9-a14f-f83c0221e4a8,Flipkart Customer,5,Great product,great
70,review-69af12b4-9a56-4d0b-9ace-947838f1e15e,Srinu Vanapala,5,Perfect product!,good
71,review-1e3474a8-8e98-4db1-86e3-2cf57dfbb544,Flipkart Customer,5,Classy product,supr
72,review-08c2da85-1604-4494-825a-2af29db85300,keyur patel,5,Excellent,good experience 2 weeks
73,review-85015cae-000b-48bb-acca-4f1137c2257b,Bittu Thaosen,5,Excellent,nightscape good
74,review-aacba4d8-5cf9-4152-aeeb-4bf3962886cf,vanlal ruata,5,Fabulous!,amazing
75,review-664cdfaf-664a-44f9-944d-3207cbfe520d,Ankit Anand,5,Fabulous!,better aspect aesthetic well performance buy blindfolded even better 7t pro u want spend 10k u buy 7t pro
76,review-ba39a178-8d21-4642-9a01-27a985687cc1,Flipkart Customer,5,Terrific,aesome never think phon bit
77,review-d033461d-3dce-463f-998d-735c60523dcd,Anand Kumar,5,Simply awesome,loved phone
78,review-024b1f14-2b84-4d21-9e22-96fae20705bc,Flipkart Customer,5,Great product,best phone
79,review-30dd45e2-4387-41bc-98b5-41f329457d57,Banti Sangma,5,Brilliant,great phone
