,customer_id,user_name,ratings,review_head,review_body
0,review-4676e4d6-16fa-46cd-8a07-6b810f2e077b,Arpan Dawn,5,Highly recommended,ah last budget phone massive 5000 mah battery superb camerabtw want good smartphone price segment highly recommend phone go blindlyso first thank flipkart delivering instead two days wasnt expecting quick delivery since dont live metro live chandrakona west bengali ordered first day sale 12 12th octobercolour sapphire blue variant 4 gb ram 64 gb romnow let start aread
1,review-a94947ac-5efa-4e0b-a5ae-f6c2a7ffe286,Arunangshu Banik,5,Just wow!,spellbound seeing thiswhat value money love mi also package delivery service packing quite good
2,review-056c080a-0bf2-4ecf-b711-96fe10c847c3,Sayon Gorai,2,Moderate,honest review honest buyer know lot pros one major con making everything phone bad ie processor phone slowthe fingerprint sensor application handling typing keyboard overall looking secondary phone calls go otherwise range go asus also configuration terms battery ram far fast processor black colour model big turnoread
3,review-1446d4a3-caa1-41d3-bd93-6e0aca414edb,Ameya Banavali,1,Worst experience ever!,nothing good phone costits heavy display dull rear camera good 8 megapixel selfies auto beautified face looks digitally enhanced performance wise lot lag took approx 40 secs load google pageall phone like one tool kit half tools missing rusty
4,review-d2916179-bb76-4db1-af3e-c15722a4c3e1,Suman Pramanik,4,Value-for-money,good quality photo
5,review-e014e9a9-4f7e-4664-81d6-5b471edae6ca,Anupam Singha,5,Mind-blowing purchase,good
6,review-c2d7e9e3-23bd-4df5-8c83-7a4da0aed659,Montu Daksh,5,Best in the market!,super product low price
7,review-cec33811-32c3-4eda-828d-823eb8525998,Ajay Singh Yadav,5,Highly recommended,good product
8,review-9213c381-9834-4492-a59b-f46c761344d7,Nagaraju Tech,4,Nice product,super budget mobile like type c port 5000mah big battery4gb 64gb excellent storage device super
9,review-f3ebc193-6cb0-49db-8a61-d98eb52719b6,Gulu Biswajit gulu,5,Excellent,good
10,review-ccfebee6-b14f-4cf4-bf07-67cfc2ab5cbd,Ashutosh Mohapatra,5,Worth every penny,gameinng future good pubg play game lagging ohk
11,review-1ba14395-a584-4c5b-a754-affb4738d8ae,mustufa shiekh,5,Terrific,nice cool phone
12,review-b6cdd6ae-54c0-493c-90a7-ff787dbe304d,rashid Ansari,1,Waste of money!,west mony parfomans poor batery good
13,review-6209e43a-6529-4901-9468-695e1697c08b,Abhinav Singh,4,Good choice,ruby red shining colour looking attractivebigg batteryawesome performancevalue money
