,customer_id,user_name,ratings,review_head,review_body
0,review-f80c065a-13db-48f0-817a-f0e7b727020e,Nelson Raj,4,Value-for-money,good quality color also awesomeon time delivery
1,review-374471e4-4bd5-4e1a-97fc-57bbe7608855,Ragul Cr,5,Worth every penny,good product
2,review-644c9563-2865-44e2-b3e6-11ee2d036f0b,Subham Sarkar,5,Excellent Product.,go
3,review-05ec43ab-1f81-4e09-b930-9ff05aec7336,Mayank Singh,3,Good,writing speed bit slow nice product worth buying price point
4,review-3e9d4735-5521-417a-a1ca-8d49a203419c,Sachin Agarwal,4,Nice product,good write speed 10 mbps read speed 8090 mbps4 stars cause heating issue
5,review-9415308e-2a06-4c9d-85c2-44a8f909fbd4,Ravinder Manchineella,5,Wonderful,excellent pen drive
6,review-3791898a-1bf1-48ba-bb6c-51bff37ff0a1,A shivakumar,4,Value-for-money,good
7,review-67e9afb5-25b3-4317-a946-b342914c52bb,Saptam Ghosh,1,Not recommended at all,worst product ever lifenot recognize storage
8,review-20113ef0-6178-4d70-97a7-d1d342b26653,RAJESH PAI,5,Super!,good 279gb available
9,review-a8979b50-f80d-4d0d-81e1-cb657f3bc16b,Himanshu Bhaskar,1,Useless product,dont buy speed usb 20 max speed 8mbps
10,review-3a9f059e-2462-4050-b6d9-4facc8fb7e72,Akhilesh Kumar Sinha,3,Nice,dont know got cheapis defective something elsein windows 10 showing 288gb frre space kali linux showing 309gbsometimes showing windows remove reinsert itit problem transferring files greater 2gb pendrive
11,review-2b09aaaa-8268-41a3-b67a-465c5f847114,Shankar kumar Subudhi,1,Very poor,hitting problem automatically delete photo data please dont buy pen drive
12,review-7facacca-60ff-45d0-86f1-5aff39c452ee,Sivaram B,1,Hated it!,pendrive waste date taking scrap pendrive delivery flipkart
13,review-176ebd24-da85-4f2d-8b19-4fadf2a7c059,Madhusudhan G,5,Just wow!,good product
14,review-d2c5618c-797f-49ec-a325-1a5548cc727c,vishal b,4,Nice product,good product
15,review-5a448e9b-8979-403c-9cba-a71cd4cb365e,Hemang Vyas,1,Did not meet expectations,purchase mac format showing 119mb times detected mac
16,review-a169e8b7-62fb-44c4-8aaa-f8f17daef5a7,Sayan Lohar,2,Expected a better product,bad product
17,review-3690e762-a001-4556-9e79-39fee8cba620,Flipkart Customer,5,Fabulous!,thank apple tab phone
18,review-3f3d9457-d201-45e6-aa02-7983476c9ffc,Harsh Nama,4,Very Good,goof
19,review-87621467-004f-47eb-8f18-9f6aeca5630e,Elangovan,5,Just wow!,good quality made thailand
20,review-7bce46fe-9d4b-400c-bab8-a2c86fd5edfa,Flipkart Customer,1,Useless product,bad product heats fast
21,review-a7b589a8-fd81-4af7-b8d8-2480cf7a2ae2,GAURAV JEJURKAR,4,Value-for-money,good heatting fast
22,review-5cea7ccc-0e74-487c-b7ab-6739680505d2,Flipkart Customer,5,Awesome,lookwise sexy
23,review-87fc0c95-354b-4ecb-a022-c00b0c57276b,Flipkart Customer,4,Pretty good,nice product support types port like 203031
24,review-e3465bed-47e8-4086-8d9b-ccc24475f42d,Mathan Babu,3,Good,nice worth amount
25,review-1104b445-13e0-4183-803a-3ba4a4077b1f,sarbasis das,5,Super!,fast delivery actual capacity shows 289gb bad quite expected nice product far incredible price point
26,review-5bb72a5f-9ef2-4f9c-bc5e-97f94fd159b5,Flipkart Customer,1,Worthless,bad product
27,review-3d339bb4-4101-44fa-b411-6c599c759409,Avijit Maity,5,Simply awesome,nice pen drive good quality
28,review-772f4be0-6da1-45f4-ba2e-351af5fed5c3,Bhawesh Raj,1,Absolute rubbish!,bad bought 2 pendrive 1 pic good another bad show system
29,review-6c8b12ed-d4d9-4787-85b8-fc0e0054124a,Surajit Kayal,1,Hated it!,bad product
30,review-c8e8bd5b-863a-452c-aa77-64d351dff634,Sk. Mustakim,5,Classy product,good product
