,customer_id,user_name,ratings,review_head,review_body
0,review-4c96409b-e72b-4b8d-be22-88d640d9727a,Bhushan Parab,5,Value for money,best quality design handy missing input cover protection dust product per brand image
1,review-84b12731-811c-42e3-8070-68cdcbd2ddb2,Ruby Rodrigues,5,Terrific purchase,excellent bought two straightaway
2,review-0c0f5720-f2ab-45c1-8d0b-d4f0dbb1de42,Rahul Baruri,5,Terrific,quickly delivered
3,review-387e16e3-6793-45f5-9a2c-c144234ed970,Flipkart Customer,5,Best in the market!,amazing product 5872gb speed good happy get great offer got 849rs neglect bad reviews already gives us 5 years warranty insist anybody buy
4,review-db5f91a3-d3c2-49ab-a283-2d8eb869079b,Shrikant Salaskar,1,Waste of money!,good product using 4 months drive detecting laptop physical damage evenbuyers please think buythere replacement available data recovery use 5 years warranty
5,review-df2ffa48-1de9-4487-81ac-ad4a3f18a6df,Vishal singh bora,4,Really Nice,good quality product good quality packing shipment flipkart13gb storage filled still working good
6,review-86cb5d44-ea7c-4f66-9a0c-64fd1e65c40e,sunil jadhav,5,Brilliant,excellent pen drive sandisk good speed light weight
7,review-4eabdff8-ff17-4903-bcac-eb90f506e6df,MANU MOHAN,5,Fabulous!,excellent productflipkart amazinggsofast delivaryyy
8,review-e037b68a-9828-4139-8190-3fdeb2a48098,Prarthana Ghosh,5,good one,good one usefull much satisfied
9,review-11055ec5-cdfe-405d-b6a5-024adc08d584,Dhanush Shetty,5,Perfect product!,good even delivery experience also good timei happy product ratesquality shipping compared social media shopping sitesflipkart bestthey deliver real perfect product shown description pricing also goodthank flipkart
10,review-95b9d384-233d-4d67-8141-dddffd4314e2,SOMNATH RUDRA,1,Did not meet expectations,never purchase item low price shop vendor
11,review-36c04f16-3bd9-405e-bcd3-3e365d0c4027,NAGARJUNA M,1,Unsatisfactory,supporting pc laptop mobile bad product
12,review-6584d0bd-b5fd-456d-b755-6f35e9d67c86,Sanjay Gurjar,5,Just wow!,expprines good
13,review-ddf7cec2-f809-4817-91ba-d7b2002d154a,Subham Datta,5,Excellent,useful working brilliantly need buy external hard drive buy one 64 gb pendrive one use smart phones also watch movies connecting helps lot
14,review-f1975df4-8338-4730-a4cf-5421df711259,Flipkart Customer,5,Super!,goodfast reliablegood build qualitysandisk best alwaysgo guysi using
15,review-e7c57192-fd08-4386-9736-617f7458924e,Pankaj kumar Amson,5,Highly recommended,osm loved worth buy valueable product
16,review-9152d988-59f3-4192-a9fa-bbadaa2dc42a,Tayeb Shariff,5,Excellent service.,guys great keep im happy deal guysi comfortable online shopping guys really cracked hard nutall best
17,review-aa0605b9-3969-46e8-81d3-e0b1f1e9bfcd,Flipkart Customer,3,Nice,slow proses
18,review-9e72dc1f-4577-46f9-b653-d2bee6e61a30,Tanush Bhatnagar,5,Terrific purchase,never felt problem pendrive awesome quality awesome pruduct must buy deal
19,review-5e734102-cc4f-4dc0-a354-6f684296ec77,Flipkart Customer,4,Good choice,nice product
20,review-cfa32de1-67d0-4315-89f8-be3108fcca0a,Joe Philip Ninan,2,too slow for large file copy,good small size easy carry around slow large file copy get around 5mbs copying files gb
21,review-792d8caf-c62a-4f1f-b177-33521c55ff33,saurabh patil,1,Utterly Disappointed,bad product connect laptop
22,review-873af10c-0abb-41f5-9f2d-bd6b1071b79a,Manas,5,Classy product,good quality good delivery time
