,customer_id,user_name,ratings,review_head,review_body
0,review-13ab2678-1602-48b7-aba8-fafe3b677237,My Account,4,Pretty good,good product
1,review-a164dc9a-1a24-4839-9402-c24020168b8f,Sreejith G,4,Not bad......,light weight plastic bodyno need worry cap lossi got approx 10mbs write speedno led indication drive accessstorage capacity 149 gbit also includes security software seccurly store filesmy rating 4 5
2,review-1bf5055d-ed1e-4265-b653-1850cb674140,Riyas TJ,4,Very Good,produt good quality good expected usb wear supports mobile laptop dvd player use cannot support writing speed 10mbs
3,review-2953416b-33ec-449e-8c81-df1d77d3285a,Krishna Chavda,5,Highly recommended,nice
4,review-9a5a6342-8ec5-43c5-8f2b-653920354f3d,ANUPAM RAI,3,Faced minor issues,good transfer speed slow
5,review-21b2e08e-3c23-45fe-aa7a-ef2dd0b98cd3,Vijay kumar,5,Good,good
6,review-d437b822-4ca9-4b52-a6c4-a3fd6f9b73e3,Akash Das,5,Perfect product!,nice prodct
7,review-8b7c50ca-a556-4303-b6f7-309cb7be6df9,Ramesh Sharma,4,Wonderful,value money speed thanks flipkart ilove product
8,review-10884494-61b2-4caf-acce-c06ef6f435a6,Subhan Biswas,4,Good choice,good productnice data transfer speed
9,review-006878e8-f2cb-4732-86af-d7447f3c565a,SHAH AHMED,2,Bad quality,ok product
10,review-5b62e189-07f1-4539-a775-7f173e61f496,RAYEES SHAH,4,Brilliant,awesome product nd yea delivery person excellent
11,review-767521e7-5b42-4f89-9e83-a7aae1ac5b91,Sudeep Santra,3,I will tel the truth,frst never talk flipkart servicesits dam awesome well packedwe talk product heard hen memory increases speed decreasesi using 4 gb pendrive transcendit really awesomeit pocket mom washed washing machine make wet sun iron still gave speed 1020 mbbsi mis much life goes onwho ever find speeread
12,review-1db98e63-6c72-4b49-8563-7ce04ef68223,Abhiyanchal Chaurasiya,4,Wonderful,good product
13,review-4e4ce8da-623c-4513-9e1c-f051c92508cf,Biji Gopinath,5,Just wow!,3rd pendrive sandisk sandisk taken loyalty nothing wrong three times
