,customer_id,user_name,ratings,review_head,review_body
0,review-c6314117-3662-4cd7-b659-e833c8d9dba9,Lalit Mathur,5,Best Ever USB v3.0 Pen Drive,seriously awesome pendrive low unbelievable price 975 bought ws retail friends wondering lolnow come performance usb 2 supported portsread3035 mbpswrite2030 mbps going 19 mbpsfor usb 3 supported portsread5060 mbpswrite3037the peak saw mbpscopied 11 gigs data 4 mins 30 secs
1,review-bababe69-c65d-4264-a518-85636179886d,Sunny Singh,4,Pretty good,well performing pendrive robust use got bbd rs 51020 write 18mbs read 33mbs30 write 32mbs read 60mbsthese results done win7 1gb single data
2,review-5495f927-5bd9-4ec5-b26c-2e2ce03e4824,Priyanshu Singh,5,Simply awesome,good pendrive speed 30 40 mbs maximum 80 90mbs
3,review-2133a504-c73b-400c-a83f-149140828e87,Vikas Tanwar,5,Perfect product!,nice productspeed good
4,review-eb6b8f17-b20c-4fb1-ac5c-54a8035a7d54,Pratik Kumar Sinha,4,Good quality pendrive,pros1 speeds promised2 works otg format fat32cons1 slide design little cumbersome esp hurry2 slide keeps getting stuck usb connector gets bent even slightly
5,review-941212f7-59ae-4315-a25f-079bf21717f6,Suraj Kumar,5,Fabulous!,good product
6,review-f4c543b6-d7ba-48a4-aafe-d13c36d53e2f,Gaurav Das,5,Amazing read speeds. Average write speeds. Total value.,buy well considering closely priced 32 gb pen drives decision nobrainerwhile isnt scorcher like sandisk extreme pen drive find review flipkart definitely enough grunt actually make worth small premiumdont usb 30 port well still worth still guaranteed certain level performancebuild quality good pen drive fairly small light housing plastic wread
7,review-0d04e481-1204-4f9d-b9a7-041d5c61e021,Ashwini ku Sahoo,2,Slightly disappointed,write speed starts 18mbps gradually 5bps
8,review-95ca4b5d-8b1d-4031-b1e1-6fe6d1bc2224,Yashasvi Gupta,5,Nice pen drive good transfer speed,nice looking pen drive usb 30 gave maximum read speed 70 mbps write speed 12 mbps
9,review-97665fb3-36fd-4aff-902d-54cecbb55da0,Priyank Tyagi,4,Wonderful,genuine feedbacki give 35 star 5 pendrive looks good also work excellent get read write speed much pendrive 2 laptop laptop 20 usb port right speed something around 6 mbps read speed something around 25mbps might work great usb 30 using usb 20 much happy still recommend pendrive best per today market scread
10,review-3a692ceb-21e6-470f-9362-fd58e310f5d8,pritam kar,5,Very good read and write speed,actual capacity 286 gb good read write speed first make sure u format ntfs file format otherwise u wont able get actual speed little guy
11,review-ee8b597f-b56b-4413-a65c-6b2f79381df3,Rajendra Chavan,1,Don't buy this product,opening product using first time gave write protection error manufacturing defect
12,review-ab1e954f-99dd-4068-9aa3-c3f45c68cac3,sumanth bathina,1,Worst experience ever!,write protected
13,review-b47d2c22-e8ea-4e08-a86d-604c9633b261,Prem Deep Verma,2,Expected a better product,heating problem
14,review-474c3acb-7322-4f40-b80b-5f16c68f0939,Sunita Gupta,5,Simply awesome,outstanding
15,review-9a3b18d5-20eb-4156-abc4-a25a82f081e3,Ashwin,4,"Excellent product, highly recommended",gives 28 gb usable disk space insert usb 30 get speeds upto 25 mbps aesthetically well designed slider hide reveal usb head key ring hole behind allows carry key chain like overall well designed
16,review-dafccf72-fd51-4239-b6fd-7dce5168c3b9,Jeet Mondal,5,Great product,excellent product
17,review-f3d14d9e-be1d-4025-bbf9-16a1e8bbe015,Sabir Hussain,5,Excellent,awesome product
18,review-38421098-3512-4878-a2a6-b2510d26a107,Arwell Rodrigs,1,Waste of money!,write prottected buy product
19,review-24f6f5a8-2e4b-4d0e-9960-319f3cbc4754,Abir Debnath,1,Absolute rubbish!,fully waste moneyit came write protection unable remove write protection
20,review-da296ec7-6f6a-4799-9d4e-08f39ca92cd3,CHINMAY ANAND,5,Nice Pendrive..............,best flash drive ever usedmax speed computer 30mbps
21,review-857715cf-f255-4e8b-b584-06e7b2477504,NAGA SAI KIRAN PASUPULETI,5,Excellent,great deal data transfer rate also high good product
22,review-9b89089b-564c-4388-aa44-3861376fc51a,Kasyapa Sharma Kompella,5,Perfect portable storage device,really merry use transfer rate quick fully satisfiedi tested found write speeds around 15 mbs consistently usb 20 port whereas connected usb 30 speed 25 mbsread speeds even higher usb 20 usb 30i using usb otg cable mobile worked
23,review-d3d7b325-f2c9-4ecf-bce2-dfc082c825c6,Tarun Rana,4,good enough,always works good speed starting cpying get 30 speed second yo get 20 speed
24,review-2436695f-7394-4c95-9f3b-b345161329b9,Kishan Sah,1,Hated it!,item write protected
25,review-591f3d33-ddbb-4ff1-98f2-451965933336,John,4,Good product but dont be fooled by the claims of the speed,product good read speeds good comes 3040 mbs write speeds 1015 mbs similar speeds using usb 30 well
26,review-267ff171-15d0-482e-b8cb-b6e188daf2ad,Selvakumar Ganapathi,5,Excellent and worth buying - Go for it No second thought,bought usb 30 pendrive attach router supports usb 3 dlna server since 3d tv content read write must faster choose product product gives amazing performance gives mentioned description values average copying 4 gb filewrite speed 394 mbsread speed 938 mbsif need one click buy second thoughtsappreciate flipkart support team shipment
27,review-967d2f75-6c6b-4eb1-8013-cdede8b111f9,sandeep kumar maji,1,Not recommended at all,disk protected plz dont buy
28,review-07c55296-71a4-4f3f-8e13-ce99072fefc5,Siva kr,1,Worst experience ever!,showing write protection
29,review-8cc2145a-8658-4bde-920a-2874009f8dfa,Jims John,1,Hated it!,sold mrp removed price tag well
30,review-c3b05ffe-0dae-45e5-a7ed-c4ae1d112f29,Krishnadas S,3,Does the job,replaced product got 286 gb free space 32 gb instead 296 gb got 286 gb againin pendrive got 11 mbpsafter copying file size 282 gb really disappointed
31,review-2a86cace-6e39-4ce9-852f-296edc3e6462,Mruthyunjaya D P,1,Not recommended at all,waste thing showing write protected couldnt copy write anyting
32,review-e148b43e-e35f-4024-b6ea-088e47a698d8,Flipkart Customer,1,Utterly Disappointed,given readonly blocked pendrive incapable anything
33,review-428b0961-2c12-4ac7-8902-56fb82fa6231,akash kishor,1,Horrible,completely unsatisfied speed 5 10 mbps somewhwere 15 2 mbps
34,review-4d89d352-4585-4aa5-bb99-b8f7cea704e6,Karthik Damodaran,4,Sandisk 32 GB,compactlightweight pendrive reasonable price performance ok usb 30 port usb 20 port makes big picture
35,review-2fb7f95e-5ecd-498d-9456-1f23b7b2e449,Flipkart Customer,2,Moderate,speed like usb 20 max speed 10 mbps
36,review-3c14841f-0850-4f43-a1d4-9597c007f240,Hrushikesh Mapari,5,Fabulous!,nice product
37,review-bb1afed1-4d41-468f-a8eb-9d460b11d174,Suresh H Naragund Naragund,5,Classy product,best pendrive go speed transfering also high fast delivery product expected
38,review-f8f02a40-75d5-4bd5-a0ae-6310fab02423,Prabagar L,3,Nice,good product
39,review-7cef3eef-c806-46c9-a5d9-856041a66721,Vikash Singh,1,Poor Quality,bought pen drive showing capacity 32 gb 1015 days formatted suddenly started showing 24 gb instead 32 gb disgusting sure whose fault whether trust flipkarts product quality never buy sandisk product future
40,review-ba0b012b-fe41-454a-84da-2c36f3dfab40,Nishith,1,Don't waste your money,thanks flipkart sending write protected disk
41,review-7e8b26cf-3815-4eb5-af2f-3e5181110b72,Flipkart Customer,1,Very poor,waste one write protected dont buy
42,review-da7cd5e0-3646-4dc7-9c6d-4b4b598b010d,Mehtab Saifi,1,Don't waste your money,disk write protected means usb drive defective clearly says sandisk site receive error please replace usb drive expect flipkart send defective item
43,review-af6d291f-a1e8-47ac-b487-b82f27c1abf4,Haritha Gorijavolu,1,Worthless,ordered two pendrives 32 gb got writeprotected midway copying files useless
44,review-563ac571-ec2d-4fba-b761-f1086a0f124e,Anoop R Nath,1,Very poor,bad experience writing speed 10 mbps usb 30 port recommend
45,review-d8932dfa-90ea-4d1b-9e8f-4c78af39a9d2,Riyas P S,1,Worthless,got damaged driveit showing someones name device 64kb size
46,review-d415f7e9-6962-4ab1-a4c5-d96e079e03d0,Savio Tomy,4,Delightful,good fasteasy use 5 year warrantygoodmust buy
47,review-3f3eede8-5478-442e-b95e-66ad8ed0b674,Hemant Jha,1,Worthless,bad transfer speed observed max speed 1415 mbs
48,review-0c9a2735-26c5-43c9-b647-fbc08e4336d5,Ayan Bag,1,Horrible,bad productitem received write protectedhad change itwrite speed totally unacceptablefeels like 20 drive12 mbps max usb 30 port call usb 30 pen drive quality changed compared earlier productsnever expected kind worthless product sandisk
