,customer_id,user_name,ratings,review_head,review_body
0,review-dd281a71-f0cb-415f-977d-83fdb9bb1b32,Flipkart Customer,4,Good quality product,nice power bankthank flipcart fastest deliveryi totally satisfy productgot 399 lowest ever big billion daysmyself amar jyoti das
1,review-cffa1aae-331c-46b5-bdbd-7ffac55d8f49,Pramod Dhoot,4,Good quality product,got thus product 699 saleit amazing delivers 21amp 2 ports continuosly stopagethe power bank good little bulky worked time charge phine 3thrice delivers 8000mah power using power bank 6months rough though morever durablego hesitationgood luck also post reviewplease give thumbs liked review
2,review-88055492-3ecc-4bbd-8cdd-b6efbc95a3f9,Jisan Shil,5,Terrific purchase,nice power bank good quality product thank u flipkart low budget product dont hesitate buy
3,review-d66cfb09-e7f6-43bc-b51e-bacf83fc0305,Anup Iyer,5,Good Power Bank...Value for Money !!!,excellent power bankbelow observations1has capacity 80009000mahabout 7080 11000mahits pretty good2supports pass charging3charges phones pretty quick faster conventional charger4a little bulky5value money bought 850 inr6has three portsi used two ports device gets little hot charges mobiles easily7takes 910 hours charge itselfnot problemgo ita good competitor tp link asus power bread
4,review-f85ba86d-ec27-4dc9-8ff6-3f9f556a0d24,Rahul Tanwar,5,Terrific,nyc product
5,review-f79aef79-5433-480f-ae12-109b5be41b85,Rumki Mahanta,5,Great product,affordable power bankn quality awesomegot 699
6,review-8882aa1c-86ad-43ee-9e5c-7c4fb85bebdd,Harshal Gedam,5,Genuine and worth money.Buy it.,product shown pictureits genuine productworth money one time multiple mobile chargersbattery led torch connecting cableno problem faced yetrecommend buy
7,review-cbd8a3db-53ef-4882-8a58-5a5e7bed8b86,Sayak Sarkar,4,Worth the money,good power bankbut charging time power bank much longer
8,review-b4eb4d15-30ef-43a5-86df-8bef216ba2b0,Shaik Amjad,1,Absolute rubbish!,lost trust flipkart product condition delivered reliable customer please see attached image
9,review-6842a80c-91fe-496b-9c18-62682847f141,Umashankar Das,1,Did not meet expectations,previous ambrane power bank review wasnt published flipkart power bank working day 1 threw away package thats didnt claim refund power bank used one long time im flipkart flipkart changing policy acording competition u r true every indian publish real reviewi dont wanna give u even thanks
10,review-374d2973-9b99-41e3-b239-8882cc4cebe7,Parth Thaker,5,Classy product,nice productgood capacity definitely nt 11000 bt gud enough charge 2 smart phones fullygiven torch gud definitely go fr
11,review-4f406f0a-2c02-4990-92ed-3d89c39296c7,Rahul Bardhan,1,Don't waste your money,bought big billion day 500 second handed exchanged product delivered used product giving around 6000mah power backup
12,review-cb5da0c7-02b1-4da4-95c2-cdbf1d8f0773,Prateek,4,Good Product,using since last one month working good mobile getting charged double speed compare normal charger
13,review-402e2747-d46e-41ce-96c8-ab99947117c7,Sunil Kumar Gora,5,Terrific,good power bank price rate give review using around 2 year purchased 700
14,review-1045586d-a188-48dc-bef3-ea61a6439f29,raghu,1,Worthless,like used one
15,review-50080fe9-7c61-4ae5-99de-68d65c196d0a,Bala Subramani,5,Good Product,purchased intex power bank flipkart really good producti using product since 1 month problem thisproper charging phone
16,review-6f674356-2d6a-46bf-9406-9cecf7d27803,Megha Chatterjee,5,Worth every penny,awesome
17,review-bcd2ec42-5381-48bd-85d9-edc49d786950,BIDYUT KUMAR GUHA,5,value for money,rate purchased wonderful product really value buying power bank buy please use regular basis
18,review-5dfece10-2c69-4d12-bfc8-621c0c3ee6f1,Nayanendu Panigrahi Nipu,5,Mind-blowing purchase,product goodthe backup capacity impressivereally happy product
19,review-0c441641-cd47-4526-8380-f8c8028458fc,Ashish chauhan,5,Match up the expectations,using last 4 months working good till performance also good also charge mobile faster original charger go ahead
20,review-27f4cbca-f7d3-4ba1-be71-07c8e66c83f1,Kamal Sapkota,5,Good back up,good battery backupbut problem experienced usb cable charge doesnt fit properlyit fits certain usb cables
21,review-58374f7d-2ab0-4a66-859d-2b32aaf52019,Md Wahid,5,Brilliant,2 times 4000 mobile battery use
22,review-4bed335e-f82d-4e3b-af2f-a8e6ff66696c,shoaib ansari,4,Really Nice,works good value money
23,review-3bb93055-c2ea-4da9-94fe-48d414536a6a,Lakshmi Ramakrishnan,4,Very Good,using almost 2 years works absolutely fine might change tweak little cable months due either wearing insulation due decreasing charging rate thats fine already recommended 5 people happy purchase
24,review-9caca737-4ac8-4556-9df0-f4dfa2998257,Bikas Das,5,VERY NICE PRODUCT VALUE FOR MONEY,excellently working takes slow charging worth 2 half push mi3moto g2 mobile phone value money
25,review-5a1e3a9e-4f53-43ab-8d42-7622f8a5d5d6,Surya Sekhar Panda,1,Unsatisfactory,charger good issue usb sides becomes loose n nt connecting properlyyou keep constantly particular way else due loose connection wont chargepeople go opt external charger
26,review-1c738f7f-6776-463c-8450-a8ad7069ef09,Mahipat Singh,5,Good,nice power bank
27,review-0c408b59-f92e-4497-a6d6-ac36d0ed5afa,Subash Lakku,2,Not good,giving 50006000mah
28,review-42b66071-016d-465c-8f9f-931d209c3f50,Vijaykumar M Patil,1,Useless product,worst doesnt hold chargen also charge motoe3 mobile oncetakes two much time chargingplease donot waste money
29,review-20b3e8cc-1e52-4f99-ac6b-cb5265a5197d,Devraj Mondal,5,Terrific purchase,best
30,review-5846c93f-48c4-47fe-ab6f-145fcfad2749,Tushar Waiker,5,Just wow!,osm
31,review-9280038f-d550-4835-918a-1fd715e5a2a1,Ranjeet Singh,5,Great product,happy shop
32,review-753d88eb-c452-4875-8931-f62643d839c2,SHASHI KUMAR,4,Value-for-money,good product
33,review-305c5c55-5dd3-4985-a484-74cda263a90e,Poulami Sen,5,Excellent,awesome
34,review-0d5c9fdf-1865-418c-a22c-8d87772cc6c5,Suraj Prasad Sharma,4,All good,charge phone three times fully charging power bankall goodsatisfied
35,review-fd675ffd-3b0d-447f-93ec-ba64eef3e1d9,Ashok Fule,2,Not good,power storing capacity decreases day dayand became useless 2 month use
36,review-a7dff9a7-4d1d-4b1e-8265-6ae5ff4a8358,Davgari Ramulu,4,Fair,good
37,review-af3861d6-d60f-4e92-85ad-21d81640fb06,Mayank Goel,1,Absolute rubbish!,product good seller patheticsold second hand product asked replacement delivered second handkindly dont purchase seller
38,review-d29a935e-c85f-4c79-a05e-9311567e710f,Rahul Girhe,3,Unsatisfactory,seal pack peace power bank refurnish sell happy
39,review-d6d0e099-b36f-4c59-9d70-df78b3664833,Happy Sharma,1,Hated it!,product damage satisfied powerbank
40,review-a0d6a4ab-fbcc-4581-996c-c9010e52b6d1,Flipkart Customer,5,Good product,nice product worth money
41,review-27fe3721-1aad-42fc-8cda-2b7d2ce31044,Flipkart Customer,2,Not satisfied,takes 8 hours charging get full charge drains fast
42,review-189f3736-3c89-47f1-abdb-23e87d17f20a,Arun Vijayan,5,good back up,product really awesome really love product looking awsome fast charing facility great thing 3 port charging devices
43,review-8930cd10-fd22-4322-bf03-2741ab359acd,Shivam Rajput,5,Fabulous!,good product 699 rupey
44,review-81424d98-941d-4452-af5e-4643559beec7,Rakesh ranjan,4,Perfect Power Bank,need charge phoneproslong lasting battery3 devices charge timeconssmall cable
45,review-8727b9d8-b74e-44c7-967e-bd34e5f35abe,Thakor jayantiji Narsangji,5,Brilliant,nice
46,review-dc5826b3-68db-4307-9a9d-0037f7d5254a,rakesh bhong,4,Nice product,good product
47,review-9a256893-8258-4cdd-87c6-abcea65d148b,pratap dash,1,Worthless,battary backup low
48,review-eef9413a-1bdd-490e-9bf5-655e54f2612f,PRASHANT Lakhera,5,Highly recommended,good
49,review-a85d5d44-6a3d-448c-a7bc-68af29883ac1,D. Vishal reddy,5,Wonderful,nice productbut bigger u expect picturewould suggest check dimensions buying
50,review-4b8776d1-0a40-49da-889b-43b702a094af,Antony I T,5,Awesome Product....................,guys perfect powerbank best powerbank ever purchased many powerbank flipkart amazon 1 powerbank used xiaomi powerbank best choise
51,review-302cd55f-3d45-4fc4-861d-7bff4027790e,Raghvendra singh Rathore,3,Very good,useful charging smartphone atleast four times
52,review-690e2f19-d83a-4c94-b47b-c7e7879c95a4,Flipkart Customer,1,Bad.,usb connector three inches long never life seen small connector electrical adapter also given result charge computerhow disgusting
53,review-0c09ac51-bc2e-4dd0-bf86-65cb4f40ae33,Flipkart Customer,3,Fair,got complaint soon
54,review-44fe3bdd-ae8c-4ae7-b896-1f7b86d4cfda,Dipjyoti Das,3,Fair,everything great question pictures power bank made china received see write power bank made prci dont understand
55,review-144f9914-a2b7-433d-bd33-7d9a940850f2,Siddharth Dagli,5,Average Product for the price,excellent power bank probably best market charges phones rapidly
56,review-ab21e747-254e-4adf-9003-401335520649,Naresh Ch,5,Terrific purchase,received ages booking product nice backup quite good got 399
57,review-bb99e098-7f70-457e-a708-23927c610b31,Flipkart Customer,1,Worst experience ever!,flipkart cheatingthey sending second hand power bank 11000mah iam buying 11000mah 20 days backprasent working
58,review-59ed5938-670d-42ec-8704-7479e77ea317,Subhadip Ghosh,5,Brilliant,darun product
59,review-d5b42544-4e30-4491-a890-537f3704a5dd,Achu Mankodu,1,Worst experience ever!,worst experience intex product getting hot charging mobile full charge power bank capable enough charge 3500mah battery phone dont know specified 11000 mah 4 led light required draining existing battery charge
60,review-8c4e5874-ffa1-436b-8ad6-7f600135bed2,Saurabh Joshi,1,Unsatisfactory,8 months mild usage already given battery doesnt charge description says warranty covers manufacturing defects im even sure covered claim
61,review-1c7d270c-5235-412e-b4f9-4eb83423bb6c,Praveen Kumar Sudhakar,5,Good product,use travel lot travel product helped lot
62,review-a199a374-5214-4fa4-8846-38b8cd729d75,sanoj unnikrishnan,1,weighs like a rock,weight specified 280320gcan used dumbbells
63,review-4f044e79-5907-42be-bf53-8f7da3f07713,Sarath TS,4,Nice product,charge galaxy a7 4 times gud product
64,review-4a7b36fb-8b76-49ba-bd9a-661f0ac6b4d7,Md Abid Hussain Ansari,5,Awesome product.,battery life amazing one must product limited budget
65,review-9067efc5-95c3-429e-b05a-26e15efaf119,Flipkart Customer,5,Awesome,recieved 5 days material little bit seem like use
66,review-af6ad92f-4395-4c8f-8457-907c896b9446,Dheeraj Choudhury,3,Good,damage product
67,review-45305092-72e7-4d4e-813f-d30e9373c361,Darshan Patel,1,The capacity is only 7000 mAh,hardly charged oneplus 2 two times reduce quality product slash prices well done intex
68,review-bae818bc-7aad-47ae-a85e-30141cd1bd2e,Flipkart Customer,5,Perfect product!,fantastic productvalue money product thanks flipkart fastest delivery awesome product go great power backup great quality got 599 thanks flipkart
69,review-5fad423e-860c-462d-b3d1-38e3a6fcc0b6,Flipkart Customer,2,Best in the market!,surprised charged phone faster expected
