,customer_id,user_name,ratings,review_head,review_body
0,review-15aaf4a8-f953-48b3-8995-28392b97bc59,Flipkart Customer,5,Brilliant,power bank unique textured design makes grippy either desk hand creates aesthetically pleasing overall lookit feels incredibly compact 10000mah bank fast charging
1,review-7fa9dc02-e4a4-458b-8982-bc367dde19d7,Flipkart Customer,5,Brilliant,good product
2,review-71efb720-4ed1-4801-9ba3-0a5b255bb7f8,Anita,5,Perfect product!,really awesome power bank slim design looks classy well charging speed also super fast takes less time charge phonetotally worth thanks flipkart delivering time
3,review-30da59b4-a6dc-4e72-9eea-8ccb38a69a71,niladri saha,2,Not good,good power last 15 days slow use 3 times quick charge 3000 mah phone like 70 80 60 75 55 98 full charge gone 10000mahits like 5000mah 6000mahso philips flipkart pls give us proper information customer going buy assured product paid full money gave us fake products last thing dont buy philips product fread
4,review-071537db-7fd2-4531-8e12-48aa0e0d6e17,Shanu Goyal,1,Worthless,unhappy flipkart team resolution going shop flipkart
5,review-00261434-7625-430e-b953-41510961b24f,Durairaj JM,1,Waste of money!,built quality ok 10000 mh battery guess 60007000 asus max 2 mobile one time full 4000mah battery another remaining 58 charged power bank full charging time 9 hours please mention correct specification philips popular trusted brand decided purchasing dont cheat people disappointment philips flipkart
6,review-28dad248-18f1-4330-963c-1917101e79aa,Atul Wagh,4,Value-for-money,nice pruduct
7,review-d3a92eaa-9040-4694-ae72-83718d42bd35,Bhargavi,4,Worth the money,nice product
8,review-08d8ae88-561d-4e20-82bc-9dc5bca1fa19,Flipkart Customer,5,Wonderful,nice power bag
9,review-627f011e-3177-469c-81dc-3a8c83a05678,Jaideep Ghate,5,Wonderful,nic product philips power bank backup good fast charged samsung j4 powerbank charged slow
10,review-f78220d6-ec79-4308-bb3a-1523173ec8ad,Prasun Jha,5,Worth every penny,today got brand new philips power bank thanks flipkart delivering short timelook wise philips power bank awesome unique design handy carry since light weight feels sturdy due good product materiali charged mobile charges quicklove product highly recommend
11,review-322d28e6-9381-4816-9abf-85ed1a7ebfea,Chiranjib Rakshit,1,Absolute rubbish!,third power bank ive purchased flipkart first couple days item works good post theres power back
12,review-9810a876-cd20-4c76-b3b1-2beaaef2c32c,Mahesh Chirate,4,Good quality product,excellent
13,review-84cd2ef1-19ee-422e-9a4d-c207acd233ad,Mohd Sameeruddin,4,Delightful,seems slim awesome product
14,review-2c740eda-ae74-4fae-99d5-1274abd268a6,JEESON JOSE,5,Brilliant,supper
15,review-490398c2-0aa1-4972-b515-12d3e998ac08,Pawan Yadav,4,Very Good,good product
16,review-2a83ea5e-ecb3-4d83-8cf3-e9b56e740c60,Suresh Ragave,5,Mind-blowing purchase,medium size easy carry everywhere worth money
17,review-dfc82f2c-3c72-4129-bfc5-c13bdee98246,Santanu Mondal,5,Awesome,osum product
18,review-097a6eec-9f71-4d53-ab74-56dbb32995e8,Sujoy Bose,5,Just wow!,great nice looking little overweight products good addition two way charge thanks
19,review-0bf54f6a-19f8-4238-892f-5fee3489738e,sushma raj,5,Classy product,worth buying
20,review-ca6cf104-2cfd-44e2-b3e1-ac953bfec0c9,Prince AR,5,Terrific purchase,slim good design fast charging
21,review-12c848b6-7333-4a3a-8ecc-f68f04259a36,sujit sarkar,3,Does the job,still 2 days cant switched power button working
22,review-bca29992-a2f8-45d8-b607-0e212a73b28b,Shreyasi Chakraborty,1,Horrible,please go product stopped working month
23,review-ec096859-22b9-4a93-bbae-7de9e3517e33,Flipkart Customer,3,Nice,good
24,review-4711a5f0-17ef-4f12-9f5f-7724891dac89,Essa Augustine,4,Pretty good,bit heavy still good product
25,review-af861283-5b15-4847-9552-8aec3d26a1a0,Ibrahim Bevnak,5,Classy product,best portable quality also good
26,review-f795f0a6-026d-4e0a-875c-a2ba08c51271,MAHENDRA KUMAR SAHU,4,Wonderful,lovely design fast charging good product
27,review-4b51f9e8-3c3a-42bb-8417-7a686b97c47e,Chethan S,5,Highly recommended,superb power bank
28,review-e3e36bac-f993-47d9-b6d8-0e064e3082df,Praveen K,1,Worst experience ever!,power bank keeps charging even mobile charge reaches 100 seems overcharging discharging protectionthe usb cable quality also poor real phillips quality seems applicable product
29,review-a9b3d44a-754d-4243-8067-4b233f0a6d1f,Syed Masoompeer Quadri,3,Decent product,power backup low prove 6500mah percentage lights working properly
30,review-b17b6ccd-09e6-466b-b3b8-0fecf04e90eb,Prashant Kumar Haldar,5,Terrific purchase,product star power bank slim beautiful easy carry handle
31,review-0c43925c-561a-4166-a306-5c4785ad2c96,Kuldeep Chaudhary,1,Not recommended at all,bad quality
32,review-a3fb1019-9f50-409e-8cf1-2cfde1a0db91,Milan Jain,5,Classy product,osam power bank fast charging
33,review-535c2acc-a84a-4bc0-9a20-dd22f467478a,Amarjeet Kumar,5,Just Wow,reviewing product using two days found performance superb used brands also past product best among lookwise cool sturdy unique design compact grip also good chance slip hand easy carry pocket thanks philips awesome product flipkart timely delivery
34,review-64dc3072-3485-4950-943b-fdfd16bc607c,Rushi Kumar,5,Must buy!,good product
35,review-e1f15378-e4b4-4b2e-b7f1-b94ab3286901,Flipkart Customer,2,Not good,battery backup badtakes long fully chargednot satisfied product
36,review-4a4ef5d0-56d8-4c56-84d3-0e47a552f8e5,Flipkart Customer,1,Worst experience ever!,bad quality wost
37,review-8259a2d2-b87f-4408-8b98-81e392af6da2,UMESH KUMAR CHOUDHARY,5,Fabulous!,fast charge supported
38,review-4e09f16e-eb47-42c4-88df-a3a5e59cc246,Rahil Juned,3,Good,product gud worst logistics department
39,review-2a883afc-af61-4eac-a3ab-68bde8476dfd,Anirudh Sahoo,4,Pretty good,nice compact design wary might end huge brick relieved see compact design white one looks goodno specific marking 1a 2a though pictorial presentation packet also doesnt help one port shown 2a actually charges phone slower thanthe one guess circuitry goofupalso product shows 260 gms wt packet
40,review-51fbec63-d269-4749-a861-0766fe549893,Brij kumar Singh,5,Great product,nice
41,review-a439b27a-e605-4197-b28b-15e843342269,Surjeet Dubey,4,Pretty good,nice productgood looking
42,review-a9ab75ab-9d19-4164-9d64-cf28089499c5,Debraj Datta,4,Really Nice,decent power bank get inr 799 less primarily bought supports fast charging type c usb input port found functionalthe issue faced power button work usb ports feel flimsy
43,review-f8265cd6-47ad-4333-86ef-5c40e76e9a8f,Naresh kumar,5,Fabulous!,good product value money go
44,review-29916aae-c3f2-40c7-8de3-24bcf39c3655,Sheksha,5,Fabulous!,best buy power bank value money thanks flipkart philips
45,review-e89b2385-b9be-447a-804b-a81d731a20c5,KOMMINENI GANESH,5,Simply awesome,excellent
46,review-49255590-6c07-4813-8f41-d6fdb8c1b6b5,Flipkart Customer,5,Worth every penny,slim attractive supreme product
47,review-b1f432bf-1560-44e5-9780-8764fc767784,Jithin R,5,Must buy!,nice one fast charging
48,review-f6e74585-aa87-42f1-83df-7e473576e5a8,faisal farhan,4,Really Nice,powerbank good size okay charge iphone x 2 times delivered time packing perfect thnak flipkart
49,review-38d8f434-94a9-47b4-9089-9229bc9b1ff5,Flipkart Customer,4,Wonderful,awesomeproduct
50,review-f61a0629-1dc0-4890-9085-fd73e2f59bd9,RAVI PRAKASH,5,Simply awesome,nice quality product like product good timing product good product thanks philips flipkart
51,review-2df2f4a8-9a41-42ad-a47b-0589297b9ef2,paromita karmakar,5,Must buy!,awesome product
52,review-e012bf35-ca77-46a3-80f4-f5846883f5de,Sudip Shil,4,Delightful,good product
53,review-2b402539-0f74-41ec-98f3-652da4847a73,Flipkart Customer,5,Just wow!,actuall shown photo really value money
54,review-4c12edd4-0e77-489a-b72d-e2f580ef45dd,riyaz,2,Moderate,10000mah power bank
55,review-8858225a-8697-4073-a71d-58666a359d80,Virendra kumar Panchal,5,Simply awesome,good traveling
56,review-2fee5703-4704-431d-98f1-b1a121cc3338,Akash Dhar,5,Excellent,good budget super handy
57,review-3b73c1a8-53b5-4ff2-9128-ea4d011be69c,Flipkart Customer,5,Super!,awesom
58,review-550a7d9b-605f-4213-9125-388b295265dd,Niyas Cp,5,Just wow!,good product
59,review-9d5275e1-adef-452b-9f4d-ffde9823361a,Ede Veera Venkata Siva,5,Must buy!,super working best quality
60,review-be8fa289-1949-4400-8999-30e6505897aa,Rathod Sunil Kumar,2,Expected a better product,woreat west power bank bad flipkart also west
61,review-884b114a-a9d9-47fc-b9fd-9c27760e6e94,Sharmin Sultana,5,Terrific purchase,nice product
62,review-9db3f55d-4593-4872-b217-fecf0228b333,Rasmita Acharya,5,Worth every penny,super product
63,review-03d659f4-2b8f-4c78-a48e-fa220a8850be,Flipkart Customer,4,Nice product,good
64,review-a6d357f2-26f3-42e0-91b6-d4856d625d2c,akash gupta,5,Perfect product!,nice
65,review-5c25e7bf-549f-4d47-a9c5-a202a7e92472,Rizwan Ansari,5,Must buy!,excellent
66,review-3bd29592-4249-42d6-b3c4-32512a152b97,Flipkart Customer,5,Wonderful,good
67,review-1496f63b-a42a-4cee-85f1-9ff3fce95455,Arjunsagar Arjun sagar,1,Very poor,cash loss back
68,review-3870da02-633e-4d41-a33b-753ed9865637,Flipkart Customer,1,Useless product,getting drained fast worst ever
69,review-b9d524e8-10a6-4406-97d9-d78a33164feb,Shrinivas Bhat,1,Did not meet expectations,worst battery backup
70,review-61e1bbac-e2fe-4573-a159-0047fd8a512e,Diksha Kumari,5,Brilliant,nice
71,review-39c811e8-f2cc-41a9-8edd-d1e74cfa8565,Vasanth Gowda Athni,5,Best in the market!,good
72,review-5ec20482-6264-401c-a3af-0188b96f5dc4,Subhankar Priyadarshi Behera,3,Nice,good quality power bank good design nice product
73,review-d7ba65c6-4f32-4842-93be-411e785aaa84,nishil atwal,2,Could be way better,might copypoor battery backup
74,review-2d1c4be1-fb49-4af8-980b-d064dc3ece9f,fasil ummer,5,Best in the market!,excellent
75,review-9155e24b-a82b-4803-a09d-50b2bfc0e7d6,Flipkart Customer,1,Utterly Disappointed,takes lot time get charged power backup worst
76,review-436607f7-d843-4cfd-a641-80fedf9f8308,Flipkart Customer,4,Wonderful,nice power bank good product
77,review-6eb85b10-c826-49bc-9753-485e0b910f85,Ramji Kumar,5,Awesome,better
78,review-f4f684f7-77db-4f3f-b834-4a0e48f8a109,Shamal N S,5,Terrific purchase,excellent product easy handle elegant designphilips done great craft
79,review-a37f1d4b-63ed-4c61-9049-83bdca4f3cf0,Flipkart Customer,4,Really Nice,good
80,review-d322fc0a-9c78-4850-b430-b8f29e1c03a0,Nitin,2,Expected a better product,rating 2 company like philips mention port fast charging 21 port normal 1a charging doubt philips product
81,review-0815f50e-315c-4b9a-bfa4-b5cc9227960d,sudeep chandra,1,Waste of money!,waste product
82,review-79651685-0252-48e2-a7cf-32f2ec60975b,Tarandeep Singh,1,Useless product,poor experience neither charging device getting charge 7 10 days noticed later item return scheme already pass
83,review-dcdbce2a-502c-4c31-b86c-465dff338009,Vikas R,2,Not good,name sake 10000mah charges maximum 1 time roughly 3000mah still charging take 8hrs poor quality power bank
84,review-4121b448-d796-4eb1-9d71-774ada67dd8f,Putta Rajkumar,5,Terrific,good
85,review-7a0d2bd2-501f-4f50-9720-3357833d2935,rajesh kapurwan,5,Awesome,great product slim robust
86,review-95d0a990-1287-427a-a897-d53ebc7525e6,Madhu V,5,Worth every penny,great product go
87,review-a6ae2f15-273e-485d-8b68-560b8b1514ed,Pritam Barua,4,Pretty good,good product owaaaaaaooooo
88,review-99b51b00-ea4c-4beb-8c6a-ea8ad60f277c,Rajeshkumar R,5,Must buy!,nice product
89,review-463296fb-b348-4eab-8de6-03053d626443,Darpan Mota,5,Mind-blowing purchase,value money best product buy
90,review-b63fd635-f939-4fbc-9df4-37f59eb89cd3,Sagar Daivajna,1,Don't waste your money,poor back
91,review-1db525b2-b78f-4022-b6a1-475db0cf9a30,AJI T,4,Good choice,torch
92,review-8be28f12-f259-4562-be90-033c978f5038,Kotala Venkata Siva Prasad,5,Best in the market!,using power bankgood condition better quality
93,review-fdb351ca-3f05-4910-8c47-016795941f67,RAKESH T R,3,Good,build quality superb main thing 10000mah 6000mah power bank
