,customer_id,user_name,ratings,review_head,review_body
0,review-0291068d-5071-48c6-9458-49e0c5627da4,Akhil T Chandran,5,Classy product,hi guysi ordered amazfit bip recently bad luck state live flooded 3 4 days hope kerala flood got enough attention worldwideand amazing thing bip water 3 days continuously working like charm truly amazing fitness tracker take opportunity appreciate built quality amazfit bip
1,review-1daab5fc-e6d0-4f5f-969b-9c348834bc1c,Shubham Gupta,3,Getting Fit but not Amazed,designshaped like smartwatch plastic glass elite metal light im worried plastic getting scratched 2 weeks usage glass got fine scratch need look hard notice strap gentle touch sturdybluetooth connectivityafter firsttime pairing steup phone wont show notification indication device connected bluetooth le watch mi fit app tell connection status watch visible impact phone bread
2,review-1fbb24d2-8653-43cc-81dc-3c499e631db8,Srikant Paripelley,5,Great product,excellent watch works like charm takes 1520 mins get watch updated first time already loving
3,review-be8c75af-224a-410e-9b97-e413d014d125,Dilip Nair,4,Very Good,read decidewriting review using month decent watch good battery backup functions getting 11 days battery power single charge 45 days battery claimed might available certain features kept light weight easy worn time tested water resistancy found breach even shower cant termed complete smartwatch level average fitness bands high end smarread
4,review-a05731b7-b988-4836-9594-4715e3729607,Darpan Kumar Chaurasia,5,Worth every penny,product terrific breakthrough terms affordability great features style best battery life may havent used smart band time upgrade smart watchcompass ability tag behaviour like situps cycling workouts etc watch faces reflective screen 30 days estimated battery life based hours usage smart looks key differenciators watch available market go stread
5,review-58b6bb25-424b-4486-8480-535fd8f37e96,AMAL KANT,5,Super!,basic smartwatch notifications would recieve say basic smartwatch lot offer smartbands available half cost almost price compared thispros1 battery back min 1216 days yes heard right days activate features notifications apps sms calls calendar notifications would pushed watch2 charging time 2 hrsread
6,review-37bcdf76-6378-4f58-9799-2290c01c99f3,Abhijeet singh mertiya,2,Slightly disappointed,dont know happened watch also detect heart rate non leaving things like soft toys n heart rate also accurate detect 109 112 heart rate even im nothng sit chair n rest dont expect amazfit like brand consider u buying
7,review-9b767dc3-4dba-4e8a-bb65-b4f6fd3a5355,vishwa saraf,4,Really Nice,box fully sealed well wrappedthe watch light weight ordered onyx black colourthe strip good quality watch size also good watch fully touch screen bt touch responsiveanyways price range best oneone thing get 12hours time format watch
8,review-dc20072a-01b0-4194-8bf9-e1e0536c9fe9,Flipkart Customer,3,GOOD PRODUCT BUT 3 STAR. HONEST REVIEW,good product 3 stars1 cannot control music using watch2 cannot answer calls stated options ignore decline3 watch gps takes long time find location4 start activity like cycling running etc watch automatically calculate distance even moving showed 500metres 10 min didnt even move legoverall good product dont care points
9,review-5af6cae1-6b21-4d16-ae16-105b03feca45,Anish Kumar,5,Terrific,watch goodbattery awesomedisplay good nice visibility sunlight also always onn display helps alot looks small mean screen body ratio approx 60 onlycharging time 2 hourswith time bluetooth onn goes 1214 dayslots third party watch facesyou never get bore watch facescomplete plastic build good quality plastici personally think u go black colour final u r looking smartread
