,customer_id,user_name,ratings,review_head,review_body
0,review-e375e4d9-1bbf-4a4d-a21e-46521b236770,Keshav Modi,5,Wonderful,value money product mi fastest delivery flipkart act watch fitness band recommended want mid range fitness band almost features high priced band
1,review-5eeb227b-b9f3-405c-a14d-834889b77dd8,RaHuL Chacko,5,Wonderful,wonderful product fast deliveryno drawback yet till
2,review-94da763d-4536-4568-aceb-d9f0ca0f376f,Ankith Koona,5,Excellent,good product super fast delivey flipkart
3,review-c752bc14-c7b5-492a-840a-cdd3f9231bd8,Baby Biswas,4,Really Nice,product goodbut real mi band 3 packaging dsnt match real mi band 3 box
4,review-f655f302-2aff-4335-b0ff-725c9d4b0ee1,Gopal Panwar,5,Worth every penny,delivered bangalore city ie2500kms 40 hrsthanks lot flipkart product awesome
5,review-5750c325-4b69-48ac-b15f-2a3826a61817,Vikas Vaishya,5,Highly recommended,good
6,review-1b7bd06f-2616-476a-ae70-0af06307dc00,Anish S Raj,5,Worth every penny,wow loved designbest band 2kbigger screen size hrx band touch screen many moreincoming call muting call rejection possiblebut android 80 users calls cannot rejected seems like software upgradation problemstep counter seems inaccurate actually showing lower countsdecent battery back 92 remaining 24 hours use hrs
7,review-0fafb2b7-9ef5-4d66-9e41-c4a0071dfadf,Puspendu Ray,5,Mind-blowing purchase,awooosm beautiful working nicely get today really thankful flipkart mi
8,review-35aae300-fdb5-4a7c-8bae-0af77a251608,Amit Bharat,4,Really Nice,good call silent discoonecting features working mi phones ios working asus zenfone max pro m1 rest ok go feature dose matter
9,review-232c6a61-2319-4a59-b403-92af02b45c84,Linkan Swain,5,Mind-blowing purchase,superb
10,review-6c7f059b-9a92-4e4f-ab66-71cfc4460633,Avinash Chavan,5,Mind-blowing purchase,best smart band get price segmentgood band1 steep counter accurate 2 average heart rate monitoring3 3 watch faces 4 provides alert sitting quietly long place
11,review-f006cd05-cc49-4bce-be14-70450e972af3,Abhisek Aich,4,Delightful,good band worth price
12,review-5b97a28f-ad7d-46b0-a821-421eed8e3408,Anand Surpur,5,Mind-blowing purchase,good one received time
13,review-f53127be-5cc7-477c-86c7-d5cec19ba62f,Sumit Lokapur,4,Nice product,good quality band quality good
14,review-d4b4a0ba-30a6-4d91-afee-c394dfcbc659,Jishnu Payam,4,Value-for-money,received band box like genuine guysss
15,review-f9cb73ed-6dee-4409-913d-02f36bade3d7,vikash kumar,4,Really Nice,supper love product
16,review-c39ed176-2556-457e-8f7c-faa3420624d0,Danish Nanda,5,Just wow!,worthful ever
17,review-bb9fe758-4208-4196-ae10-4bd1323bd692,Sachin Verma,5,Fabulous!,today received mi band 3 functions awesomeworking good fast delivered
18,review-e8e687d3-f4c2-475c-8e92-1157146fabb7,Mujib shaikh Shaikh,3,Just okay,bad good
19,review-f06fac11-4adc-4f30-a18c-9053a4427a21,Nikunj Patel,5,Wonderful,best productworth
20,review-56178c3e-2367-4e5d-a6ed-47a7fe075560,Subbu Marreddy,4,Worth the money,looking superband features simply amazingand finally delivery
21,review-462ba246-fbe1-4dc5-ae06-24de2376668f,Gaurav Thasale,5,Super!,product n product quality goodthe delivery convientthnx flipkart beinh giving owsm shopping experience
22,review-e7ab1992-1edf-4921-ab4d-541f340c35e6,Aditya,5,Must buy!,really sturdyi loving iti gifted dadhe longer look phone tensionhe uses bluetooth search mobile pretty cool himhe seems happy using iti also using since 6 monthsthis crazily accurate stepsalarm function favouriteloved product streak 96 days completing 10kmday walkingi beleive enough remain healthy
23,review-9e8b25ec-a5c4-4845-8935-298ea3997c69,Sutrishna Cp,5,Perfect product!,nothing say lovely product
24,review-26caa815-1dfb-455c-a090-562d270cc5ee,Nirav Bhatti,1,Worthless,truested product mi counts 7500 steps travelling bus
25,review-32a8f918-6688-41c9-9c4a-2ad2810c785c,Flipkart Customer,5,Terrific,good product
26,review-e3838f17-42b9-432b-b58e-c71eaec07dce,Flipkart Customer,5,Fabulous!,best money value product ever seen
27,review-8166e871-92e7-4a03-997d-952eedf60990,Nirmal pathak,5,Awesome,band awesome packaging bad
28,review-63ef2a26-f661-4641-b00f-4709b7522879,Subhankar Basak,5,Terrific purchase,awosome product love
29,review-f3cd7cc5-4e84-4a52-b963-598db241f82f,Ramesh vrv,5,Highly recommended,amazing product
30,review-18da537b-3428-4368-9c57-33a46a7ed4e9,Pareen Lodaya,5,Fabulous!,band perfect features love band band strap good quality little hard press fit lock batterly life actually good using last 2 days fullest 100 reached 88 would last 20 days charge take 0 100 around 1 half hours plus rating 4 5 stars
31,review-655a6e84-3dcb-42a0-8675-77bab2609850,Alok Singh,5,Fabulous!,awesome band mi good health tracker1
32,review-8a4bdc73-dff3-4583-b87f-6e5288bbbe69,Owese Sait,5,Worth every penny,value money
33,review-0068ec2e-b896-441e-811d-bea5dcecb23c,Sourav Ghosh,1,Waste of money!,good product think twice buyingused 4 days found cons heart rate sensor doesnt work time already returned band flipkartdoesnt minimal scratch resistant screen even light scratch band damaged permanentlyoled screen difficult see outdoorespecially sunlightpros good battery lifeaverage looking band still counting prossuggestion instead spending hard earnread
34,review-e291e6da-9b33-4248-b893-5293e8a8fed8,Ashirbad Pradhan,1,Worthless,sorry say ther replacement facility available
35,review-12f2c77b-ce6f-4889-8e1d-ef1851b84330,Tamal Ghosh,5,Terrific,good product
36,review-92ecc815-4368-44c0-ad76-c094f524ac21,Sohan Raikar,5,Must buy!,mi band 3 amazing productand good packaging flipkart worth buying
37,review-5855b5b5-9e57-4566-a9bf-f1d935232b1c,Raushan Prince,5,Must buy!,good product
38,review-673f1231-23ad-4d01-9059-9dc8bec6a485,Saran Dev S.P,3,Fair,quality base good bt packing bad
39,review-6a5815dc-cc67-4861-b604-e8cd15224e9e,Sk sahif Ali,5,Must buy!,nice band look awesome try
40,review-375fbfc4-7302-4274-a532-cd8da1ceac99,Flipkart Customer,5,Simply awesome,nice band
41,review-2a0da742-769a-4fb3-a36b-382c281f7344,Shashank Thota,4,Good quality product,decent price smart features worth especially smart watch beginners use even swimming overall good product
42,review-2e8822e2-7df9-49ec-9c4b-dae2f2f3022e,Rohit Rajpurohit,5,Perfect product!,nise mi band 3 yo also bey band nise
43,review-6b6dface-d59d-40bd-be85-f9e1de93b130,Vipul kumar,5,Terrific,good nice job done flipkart genuine product
44,review-7749c089-dd2d-4c42-ab31-51e5890439ae,vivek patil,1,Unsatisfactory,wonderful watch
45,review-800d0104-9204-47a8-b0b7-dc1bb0012d5d,Kalyan Sarkar,5,Terrific purchase,nice one recommend everyone
46,review-386472b7-4827-431b-837b-a283f4546b5c,Supriya Tripathi,5,Just wow!,awesome piece reasonable price dont think go im totally satisfied charged 3 days agostill 73 battery left even though im wearing time
47,review-0e3878b9-fef2-4eee-8987-96e7a53ca5d4,RAKESH BARMAN,4,Worth the money,need features
48,review-a58c8f01-bb2c-4a81-8050-0fa0f85c2ade,prasad chowdary,1,Did not meet expectations,bad buy counts steps driving well purchased accurate steps count didnt meet expectations
49,review-cc431e05-56ee-41a5-ad27-cf0573d73d1a,Andrew Debbarma,4,Pretty good,battery backup good takes seconds measuring heart beat overall good product
50,review-32c3f835-a255-4617-87a9-1a87a2d9728b,Flipkart Customer,5,Great product,gud like
51,review-d89b966e-26b8-4121-bcf8-10563c8b095e,Flipkart Customer,5,Awesome,best
52,review-a526aa13-8a6b-41c4-baea-47eef50a5f51,jayant jay,5,Great product,nic mi band 3 good
53,review-d2550c4c-6af1-48de-b196-686df2aeb9aa,abhishek yadav,1,Hated it!,plz dont buy watch flipkart plz buy mi 3 band mi site directlyexperience follows got band time pedometer heart rate sensor working replacement heart rate working still pedometer working properly
54,review-d40a331e-768c-49b3-95c2-33119df6c3ea,Flipkart Customer,5,Must buy!,best fitness tracker within price range
55,review-d948af22-fa9e-4deb-9680-b2778d831792,Fà Ìm,5,Must buy!,superb used twiceand quick deliverywould recommend 55must buy
56,review-1dd1f310-ab4d-4193-ae6d-430e09346249,Pallavi Prabhakar,5,Fabulous!,nice product would recommend anyday u heavy workout everyday u definitely love battery life supposed gud let know later
57,review-27f5ba70-cadb-4fc0-b05f-ba7114c23f91,Dipen Parida,5,Awesome,value moneynic product
58,review-aa6cc168-4aaf-44eb-a842-55f4287121e0,Sai Bhargava,1,Don't waste your money,waste moneypositive caller infodisplays timenegative steps count horribleyou wave hand sitting count increasesyou drive count increasesheartbeat horribleshows 60 sometimes immediately increases 140everything wrongif wish physical actions record supported band everything wrongbadwasteyou gift kids 8 suits themactually think made themwasted 2000rs thisi suggest one face issue
59,review-0d619a55-0013-46a8-bd16-e58d98877678,Niraj Naik,5,Terrific purchase,good band notifications works ios also
60,review-60914d21-c6d2-4d4c-9c13-c958245f3137,Gourab Chatterjee,4,Really Nice,mi band 3 best smart band right 2000rs competition one bought band todayreally satisfied performance damn accurate one thing would like convey brightness screen could better mi bad 3 almost perfect
61,review-90fd64f8-b586-481f-bf42-316a379f2a4e,Vicky Yadav,5,Brilliant,review long time great bettery life awesome water resistant taking shower wacth everyday works fine accurate tracking good heart rate monitor band quality goodfinal verdict good product recommend hands awesome product
62,review-b9a8af25-fcf1-4678-b8c5-73be7ffb1e8d,Flipkart Customer,1,Useless product,bad experience flipkarti bought mi band got felix analog watch without strap completely uselessvery disappointedi ordered replacement still couldnt get
63,review-382ad570-7bac-428d-9c8b-3621941cf76a,Tanmoy Sarkar,3,Just okay,heart rate monitor perfect others features goodsome time sitting steps automatically counting
64,review-fb08a4dc-3bb6-403c-81a7-6043ceb16829,Naveen Kumar,5,Best in the market!,amazing mi band 3 updating version better band 2
65,review-2dd01213-894e-49be-bbe4-df7960a9c91b,Harsheet Modi,5,Wonderful,best fitness band price range touch responsive great battery backup using last 3 days still battery 80 even used heart rate sensor couple hours exercise yes battery back amazingthe app comes band also great u find every detail workout steps distance sleep data stuffs cleared way
66,review-eeecdd97-f567-4f6e-a50a-8ee06534bf9f,Flipkart Customer,5,Simply awesome,best gadget
67,review-e42bda66-833d-408e-9f27-1b17b46e26bd,Sumith Jain,1,Waste of money!,dont buy counts steps travelling also heart sensor good
68,review-b47423b9-7f3f-45a1-95d1-0581ae3623d4,Nitin RK,5,Awesome,best product rangefully accurate result
69,review-be0dbc65-7707-456a-a5c9-27da9a67f073,Flipkart Customer,5,Classy product,always mi awesome job
70,review-f8d43000-ff70-4072-b9c1-f81f4ff3dd06,Flipkart Customer,4,Pretty good,posting review using last 1 weekprosgood fitness bandaccuracy pretty goodbattery backup good 6 8 days heart beats option turned offsleep analysis best per observationcaller displaynotifications alarm things satisfyingconsbluetooth connectivity poor getting disconnected within 34 distance mobileday light clarity poor u unable see caller name driving daytimeit hard remread
71,review-79c6b184-ba5f-4897-8803-f0edba2c841f,Flipkart Customer,2,Expected a better product,packing bad somebody opened operated band used product band instead time sticker itflipkart become cheaters trusted product delivery customersused product delivery dont ever buy flipkart ever going post social site also cheating customers repeatedlyit happened cousins also
72,review-93f8e815-45b0-4c7c-92da-2c0f693678e3,Ashok Kumar,5,Simply awesome,superb
73,review-2973b612-4a9c-4491-a2c3-0c285b057835,Shantanu Kumar,4,Very Good,simply amazing sleep monitor like super accurate light weight looks stunning although reduced one star rating probably got defective product vertical lining appears left side screenbut disappears flipkart sending replacementi hope watch doesnt problemstill awesomebattery awesome predicted one day usei surely increase rating 5 starsif replacement defecread
74,review-0bc58418-fbad-4569-ad9f-7a57ae3b4dba,Brahmaji Dendeti,1,Useless product,counting steps traveling also mostly disappointing
75,review-e954c66f-c033-4758-bff4-07af3593abcb,Narendrabhai Chaudhari,5,Excellent,good product
76,review-4d0126ae-7ad6-4432-bbfd-54f6977f178e,Dipak P,1,Not sure how to guarantee the condition of product,got product one day day yesterday worked fine day today onwards display showing anything got damaged productchecked mi team told ask replacement product flipkart looks like flipkart taking time replacement compare deliver
77,review-b6d42057-ea5d-4b90-8976-90207105efa6,Jatin Singh,5,Terrific,delivered late nice product
78,review-e885a685-a120-4e84-a18a-6909259864bd,Saptarshi Paul Choudhury,5,Super!,good track sleep quality well heart rate sensor good trademill feature added firmware update bonus im completely satisfied product delivered time
