,customer_id,user_name,ratings,review_head,review_body
0,review-fd90e93f-f2f6-461b-b0db-851c497f6001,sameer seth,4,Pretty good,ordered product 14 sep saw reviews 16 sep tried canceling couldnt prepayment receiving regretted using product 2 days view great display price get dial made steel strap quality good get full touch display decent features although dont app present playstore dowread
1,review-0cda2de1-c6d8-48e6-8d17-dd90fb268c06,Manan Agrawal,4,Worth the money,great deal osm need upgrade customize lock wallpaper watch cant show weather function missing watch perfect feel good hand look ditto watch
2,review-e563eae6-323b-4725-ab1c-0d7687a0fc5f,musaib Wani,3,Decent product,pro good looking watch good build qualitystep count accuratethe sleep tracking also works well mehowever watch disconnects phone hours automatically sure heart rate sensor
3,review-0cf838e1-9c4f-4b27-9539-211613c472ad,Shalin Mehta,3,Nice,pros 1 screen resolution good better expected 2 watch light weight build quality really good 3 battery life amazing actually last approx 10 days without charge features 4 step counter accurate almost near branded fitness bandscons 1 options adding wallpapers 4 change 2 gbuddy app ver basic surprisingly also use veryfit app well gbuddy verread
4,review-766c6870-4219-4337-ae82-33f64ac24872,Saketh,5,Wonderful,fair enough best watches price segment sure many negative reviews quality sure much paid may 30k common guys 3k u r getting much big screen compared mi band 4may worried able put custom watch face case highly recommend use watch u get 4 facesrest everything seems good
5,review-501a8821-08bc-47de-985c-22422d1102de,Flipkart Customer,4,Wonderful,good smart watch value money perfectly workingg buddy app available play storebut download gionee website
6,review-21baf623-f5c6-4d6a-ac07-2250ba97bad5,Padmajan Ashokkumar,5,Just wow!,superbawwsome like watchworth money best smartwatch 3k bought watch 2799 big billion days notifications nice including whatsappfbtwitterlinkedin sms battery backup amazing sleep hours workout timings accurate music control function nicetotally nice highly recommended
7,review-d6706182-aba4-4c7e-abe9-1f8ae22f2a69,pradeep kumar,5,Classy product,thank gionee giving wonderful smart watch calls sms watsapp reading smart watch thank flipkart fast delivery marvellous product go thank gadwalpradeep gangavathi
8,review-cabcdab8-a655-4cde-af29-cebe9da1d352,Nixon George,5,Classy product,look wise best step count accurate heart rate monitoring accurate far
9,review-6b6c2256-626f-4d12-b539-bb9eb50b16ff,Sivasudharsan,5,Simply awesome,excellent product value moneyconsfew watch facesbasic appheart rate detected even wen wornprosconnection stablelight weighttouch smoothgud pixel n display visible bright daylightdetachable strapsstep count almost accurateover impression abt watch excellent
10,review-6efe7ad6-cd2d-4306-9f3c-62c8d23bd091,Tanmay waahi,3,Just okay,awesome bt images supported bt every thing good happy customer
11,review-ee64da3b-6d85-41aa-857d-7e2bdfb68046,Arif Zafar,4,Very Good,awesome smart watch price tag ensure download buddy app gionee website trying connect pulse heart rate reading 95 correct unlike reviewers written objective achieve healthy lifestyle rather showoff get get going
12,review-d5000cbc-c150-4821-ab94-dcc3656bb0ce,Flipkart Customer,4,Delightful,looking decent affordable smart watch offers useful features fitness freak travel lot features watch impressed display whats app notifications call alerts also change watch faces though limited numbers pros good built quality 5 atm water resistant call n whatsapp alert changeable watch faces battery backup cons touch sensitivity
13,review-07a452f9-7843-43d6-b367-18e7483e50fc,Ashik Assis,4,Value-for-money,decent product price better noise watches good screen enough brightness good features like activity tracking notifications heart rate tracking etc battery backup also good excellent ok price think charger good quality idea gionee service centres sales service
14,review-0ec5db9f-ee1a-4835-8042-62e32a6422c1,Flipkart Customer,4,Wonderful,using one month reviewing watchbattery back really goodit nice display 4 preinstalled wallpapers thereit tracks heart rate steps activitiesif connected phone bluetooth gives whatsapp twitter instagram notificationsit gives call notifications well u cannot use recieve callsif want connect ur phone first need download gbuddy app theres isnt wayworead
15,review-452d789a-f1ce-4a06-95e3-d8caa9f8a285,Aryan Kumar,2,Bad quality,build quality good watch faces better others looking classy value money smartwatch dont purchase activity functions work properly cheap fonts used display messages find phone function works media volume full bad experience returned using 45 days
16,review-a2cc9585-4742-4c60-88eb-0c6261a0b678,Naeem Sabasara,5,Great product,really watch loongking pretty good looking iphone watch giving primuim sporty look low budget using one month bettery performance good giving 10 12 days battery backupi faced one issue watch time got error restrting automatically wise look goodreally worth buy gionee smart watch giving 5 5 ratings watch
17,review-a88bd527-4616-4e14-85c4-bada86965d77,sagar pastariya,4,Pretty good,battery life much accept watchbut overall nice smart watch economic pricemuch better watches like amaze fit
18,review-a0f2d940-adc7-4f22-9f49-c184f21f5404,Flipkart Customer,4,Really Nice,well firstly dial quite impressive looks attractive features also good u r looking budget smart watch gionee watch definitely good buy u
19,review-892ea21c-f8b0-4c47-b014-3e3f678da432,Flipkart Customer,5,Simply awesome,good product battery stays put 7 days also full touch screen correct pedometers app available good screen display
20,review-495e535a-abdd-4f3e-8789-78f9848f9195,Nitin kumar,5,Best in the market!,awesome watch people giving one star writing negative reviews dumb expecting features 30k watch 3k watch want 3k watch accurate medical devices even 3k medical devices accurate enough also give different readings
21,review-604c3a0e-da9f-4bd8-9363-aa8df9b61265,Rajveer Singh shekhawat,4,Pretty good,reading negetive n positive commentsi ordered watch flipkart quite happy thisall worth money
22,review-d4bfc888-4555-4867-bde4-0a407e285b6e,Virupaksha A,3,Fair,awesome 25k price many features except call speaking facility overall nice smart watch love
23,review-9fd00b19-d6e9-4436-bdae-2519c57717d9,Hrishikesh Dhola,4,Good choice,look like apple watch first impressions someone asking watch look like apple watchmerits looking apple amazefit watch nice bettery backup design awesome easy wear display shown sunniest day worth money standard company devicedemerits wallpaper limited step counter proper okay budget
24,review-dc8c6a4b-fd30-4f1b-8348-2d82b8aab2fd,Flipkart Customer,5,Excellent,think best value money 3k function good think heart rate sensors programmedall nice aesthetic vise recommended
25,review-eb764c87-82cd-4a0c-92b2-5e844e7abe30,Flipkart Customer,3,WATCH THEME IS RESTRICTED TO ONLY 1 USEFUL FACE .,1 watch face thats useful remaining dummy ones much usenot worth cannot install extra watch faces restricted one themerest heart rate sensor step counter also accurate shows results lags 25 minstheres always display weather displaylooks good much inside software good
26,review-c8494b0f-28ff-47f3-aed0-5a36fecb5ea3,Sreedhar Rao,5,Great product,excellent smart watch price range heart rate sensor accurate pedometer accurate far
27,review-e0f3289c-3ee3-4bf0-88e2-f0f8c3e882d6,ravi nyati,4,Really Nice,good fitness tracker price range proper smart watch
28,review-ea830889-7b68-4385-bd1b-707785134287,Arun sekar kamaraj,3,Good,1build look ok2display siz 6070 dial3step count heart rate monitoring stuff working horrible results actual think programmed4 mobile notification working fine5 music player control working bad doesnt show song information like sec song name pauseplayi get option return watch dont like build notification
29,review-1fb1ba04-422f-4a8b-9c16-b7ac5883254a,Flipkart Customer,5,Awesome,well satisfied installing gbuddy app option set feet accuracy step countexcellent product 3k good build quality
