,customer_id,user_name,ratings,review_head,review_body
0,review-dc2b7d00-5f78-4628-9f6c-63f2627ddc9c,Certified Buyer,5,Good Buy at a very good price,got product feels good big fan hwo1 however used 23 years stopped working buy request flipkart provide hwo1 well love sleek look
1,review-79b30610-6f04-4e4a-aff6-a0ed9fdbd749,Julie Jude,5,Must buy!,even chineese time sync lenovo life app getting indian time based regions select goglt two watches dad good price dont missworking awesome rich design like apple watcholed display clear awesome
2,review-dcbf0a07-f7c1-4681-9f27-44b7131974ea,Abhinav Kumar,3,Decent product,many expectations bought seems much optimistichere found pros looks wise premium metal body battary backup goodcons sincronization problem bluetooth call msg sometime working sometime automatically disconnected phone notification coming regularly brightness good sunlightnot happy
3,review-8aad8551-cedc-4a2d-8580-ee8c3bd731f5,KAMAL GOLANI,5,Awesome,good quality smart watch accurate step counts heart rate monitor almost perfect connect phone easily screen quality definitely good connecting lenovo life app please select region india otherwise watch show chinese timings loved experience range definitely go
4,review-f3d407b1-f800-4859-a677-e9e006147818,Yatin Malvi,4,Really Nice,watch quiet awesome except battery backup good easy pair notification reminder best feature watch awesome look good rubber strapif looking good smart watch goo
5,review-22f7dda9-2c1e-4ded-bcb9-60bccc766267,Amol Labde,2,Expected a better product,fully compatible asus zenfone max pro m1 phones timing getting synchronized watch displays different time phonetried phones works perfectly phones
6,review-4beaa166-ec31-4b3d-9396-2d9be37aaa84,ROHIT DARGAN,3,Fair,better watch available market price worth money china time shown initially upgraded later rectified
7,review-4b38a122-a871-43dc-b757-39ca9eece95c,Manish Kumar,5,Excellent,dont go 1 star reviews dont know sync phone overall great pricing battery life great display awesome sensorsheart rate pedometer working fine look dashing shows notifications messages fonts clear readable else need price go garib effort apple watches
8,review-0b746681-cdbb-4f84-a8b2-2514c08afdd0,Ujjwal Kundu,5,Highly recommended,best budget smart watch price point close eyes go trust better amazefit bipand low budget bands like honor band 5 miband4 etcpros1 looks awesome2premium feel3accurate measurements4lenovo branding5overall good quality6value moneycons1 could full touch screen apart wow feeling watch
9,review-bffa59a8-3cd8-456e-8549-1395da5d82d4,Shanu Agarwal,4,Good quality product,firstly got used product smartwatchthen replacement got good product nice smartwatch whole touchscreen look feel good buy cost given 4 stars
10,review-be1ee07c-3c83-4d34-8838-4d4a3c0af538,Ricky Kumar,1,Worst experience ever!,fit band bit bigger display thats
11,review-6c0cfddd-0161-4cfe-a81c-a31391c9d343,Nandu Narayan.U.S,1,Very poor,shows china time useless product
12,review-135ab14e-faa0-4b2e-87ce-bc52e392c9cc,Flipkart Customer,1,Not recommended at all,time getting set china time need option refund poor product quality basic things working
13,review-956c289e-6cb4-4732-86d2-66ab27e74cfd,Flipkart Customer,4,Value-for-money,looks like premium watch good price range weight compared products range strap small
14,review-977203a3-fab4-4b3c-b663-84669b104730,Gaurav Bhandari,1,Horrible,time accurate showing chinese time
15,review-cac93a97-e414-4872-93e7-c4de42964ea6,abhijeet dutta,1,Very poor,showing wrong time mobile mobile start sync correct time doesnt mean change mobile sync watch options set manual time refund available flipkart provide feedback lenovo
16,review-66b6904b-bc3f-4407-98b1-18ed4df6de60,Job Sam,3,Fair,good
17,review-4e6e7a54-a517-4398-b058-670858899750,Jayesh Khimsuriya,1,Worst experience ever!,showing wrong timeit better go mi band 4
18,review-32130c93-167b-43f0-ada8-737c6b536f84,Flipkart Customer,4,Really Nice,thing missing touch screen rest good quality look perfect lenovo future please give update bring style dialer freatures watch new update must please provide new update features like watch faces etc
19,review-ab04912d-8f16-4e8a-bc09-1f65a89fc19e,Biju Robert,2,Moderate,shorter strap length showing wrong time app limited features worth money
20,review-e25cd2c4-863b-4799-b84c-4afbd18549f2,Flipkart Customer,3,Just okay,strap short display light penetrate edges cant view name incoming call average design good
21,review-b7fde98a-710b-4409-bab9-d39724f84a93,Vikas Brahmbhatt,5,Excellent,one number
22,review-0cce1741-4181-4f99-b166-1c1d1fdde36d,Sudeep Kr Singh,3,Fair,giving review 4 month use count sleep night time day fully touch cant click picture screen time less rest measurements accurate good battery life
23,review-1283a833-f763-44cc-900b-98aa448371f2,Mohanakrishna TR,1,Hated it!,father developed skin rashes wrist wearing lenovo carme watch could due heating watch please dont buy watch
24,review-7319461f-2cda-4a14-8a72-1c75fa826d0c,Flipkart Customer,5,Simply awesome,awesome product
25,review-9d6e11c0-d2fc-4800-b5dc-5d149acdd1a3,Avinash Kumar,4,Good choice,good product price
26,review-e29126a0-b086-48cd-9ffe-a133f731d691,Devendra Nakhawa,5,Classy product,awsome smart watch
27,review-f5ea1558-68e9-47d2-9b95-c2a4ddfdc7ef,vinod kumar,5,Simply awesome,nice product
28,review-7685999e-2744-4393-998a-d3b1773e6de7,Flipkart Customer,3,Fair,looks bit small okay kind product
29,review-f4fbf246-9015-45c6-9372-6802cfad1b38,Kedar Mukherjee,4,Worth the money,nice watch decent priceyou guys happy dont compare apple watch
30,review-104b9b65-81e9-49f0-a026-f2a6dc1cde79,Manpreet Singh,1,Waste of money!,dont buy watch watch many problems os supporting applicationthis worth money
31,review-85d24223-4055-4266-958d-744f0970e01d,raja garimella,1,Worst experience ever!,expected lot disappointed producti want return item
32,review-b0c5d076-fffd-4346-9cf8-589f9734e1e6,Manish,4,Worth the money,chinese time showing
33,review-c50f6221-cb8c-4f38-bdc5-9633e54b8300,NIRAJ B. Tamang,2,Could be way better,track record running walking seperatly
34,review-221b4cc8-dd8d-42d3-abbb-f309de62b0e7,Ashish Devesh,1,Not recommended at all,worst product ever respond flipkart pathetic despite flipkart plus member even replacement issue fixed shipment lenovo carme smartwatch battery working properly charger worst experience ever dont fall product seller totally worthless
35,review-1dd5c7ee-d3b4-4db4-a33a-1188a67e9a99,Kunal Mishra,5,Simply awesome,firstly look watch exactly apple watchit feels premiumonly one downside strap size quite shortother nice product
36,review-edecb743-3307-4ddd-8d44-354c7e58684f,Amrit Verma,5,Fabulous!,premium look much satisfied product price
37,review-360adadc-089f-4a4e-a03f-df669de8068e,Thota Vasu,4,Good quality product,goodsee apple watch
38,review-736dcb68-cbca-4fd3-8782-382dce397de8,kulwinder singh,4,Worth the money,hey watch good small issues issue time gets fixed reinstalling lenovo life app readding watch flipkart customer care executives good4 executives talked
39,review-c1fe737b-3ad7-4466-aab8-bf86907a390c,Abhishek Banerjee,5,Best in the market!,good smartwatch rangehappy purchase
40,review-224b6a5f-4862-490b-aaea-bda985bf4d9e,Flipkart Customer,5,Super!,look nice hand go
41,review-eecef919-61a2-4cc7-ab14-65bccd70386b,Satyaki Bhattacharjee,3,Good,pros cons watch pros first watch looks good almost look likes apple watch colored screen read sms call alert whats app alert cons battery life little bit less biggest disadvantage lenovo life app needed connect watch watch showing wrong time updating time automatically inspite connecting app nothing much app compare mi aread
42,review-3451efd4-fb39-45e8-91da-a6f284272006,Abhay Singh,2,Expected a better product,good smartwatch glass protection battery backup good
43,review-ea8d50e4-bf9a-4372-9694-19a683895f94,Flipkart Customer,4,Good quality product,good
44,review-597542f4-06cc-44b4-8fb0-57d0c39060f7,Nikhil Dewan,5,Just wow!,best product
45,review-6e010ec3-34a1-4bee-8320-c2eebf40ce93,Ramalinga Reddy,5,Awesome,super battery excellent life 15 days guarantee
46,review-b4df56d6-4f67-492c-9a60-fea2b7d71208,arun,1,Very poor,dont buy
47,review-191bd6c1-2223-46d0-ba6f-8f09d7ad2535,SUMIT NARWAL,5,Just wow!,nice product
48,review-e0c64cbb-df68-4415-97ba-772c902c0c04,Patel Shravanbhai baldevbhai,5,Super!,best product
49,review-6c5a4e96-3599-47d5-95ba-140ecc92a208,jignesh nizama,1,Useless product,3months use bad experience
50,review-2765ff2f-eecb-4d8c-b86a-cb4b216c9c80,Ajay Kumar,3,Nice,goodbut use day time screen visible sunlight
51,review-011d513e-8541-401f-a784-6362136f9cb1,Flipkart Customer,5,Terrific,nyc
52,review-989bd87b-647e-4f21-8433-351303858ce1,purshoutam ojha,1,Unsatisfactory,water proof
53,review-e0be48c1-d2b9-48c9-a091-bca7e6398e18,siddharth shyam,5,Mind-blowing purchase,good watch
54,review-301dfbb8-b66b-4cb6-8540-f17c821a98c0,Sunil bhor Bhor,4,Value-for-money,nice smart watch
55,review-e123aa23-a663-4571-ada5-eaa2b3b634b9,.Mohsin,1,Very poor,waste money dont buy
56,review-0d8d8091-ee1c-43e7-ae42-53ad28d67091,Flipkart Customer,1,Worst experience ever!,third class prodact
57,review-c2acced9-a824-4c2a-a761-42a3387baa3e,Flipkart Customer,2,Expected a better product,stopped working 1 month onlypedometer working motion sensor working tried contact leneovo response seems ive wasted money piece junck
58,review-7c79c8cd-39c0-4646-bbfc-78d1ddb6517b,musahid Raza,5,Simply awesome,good product
59,review-8a3bd90d-c63f-4f70-a8f5-5a0499374bd6,Muralidhar Iyer,4,Good quality product,product nice sometimes dis connected phone
60,review-3c9457d6-dbdd-4f9f-a23b-b0a373c5ac7b,Flipkart Customer,4,Wonderful,good
61,review-ccee2480-6859-4d6a-b088-58ad43d227ec,Jitender Singh,5,Brilliant,nice watch value money charged weekly sunday
62,review-f04f0cbb-39c5-45b9-8d74-cf1ca06ebeb1,NITISH KUMAR,4,Very Good,build quilty desgin good satisfid money cantivity problems good pre loaded features
63,review-3cf5a440-d467-446d-8d09-74ef9953578c,Shivam Sharma,2,Expected a better product,look okay worth buying pricescreen fully scratch lesswe options available priceso prudent buying
64,review-21e15f2e-7a1b-4c7e-ae9d-824cc8adec69,Javed Khan,4,Very Good,4 star cox time reset automatically connected phone get reset daily battery backup expected good quality product price range must buy
65,review-6927adef-0fa9-49da-a0bb-bf54e4c03aea,DEEPAK RANJAN ROUT,3,Just okay,doesnt respond properly
66,review-64d0d320-1aca-46c4-99bb-c6ae50521fc1,Flipkart Customer,5,Classy product,super watch good performance
67,review-e2add332-9772-4e77-8b94-ab0c5e26c0a0,vinod yadav,5,Excellent,nice watch worth buying smart watch training gym
68,review-8545a9b5-6c89-4c00-b423-6c60f679f721,Mandeep kaur,5,Just wow!,good product
69,review-c5cc9b1c-802f-47fe-b80e-17600954700d,Paritosh Gupta,5,Best in the market!,nice product value money
70,review-d6bbce1f-178c-4673-9e84-020a95d4e649,Dipanjan Sinha,2,Slightly disappointed,worth money spend
71,review-4d4f5f6e-5ebb-4db5-8160-ce661fdee04f,Sudeep,4,Worth the money,one thing sure build quality fantastic premium look con visibility daylight poor also one thing note touchscreen display
72,review-b085ebe0-2831-4250-90df-a22aa620494e,Ramu Ok,5,Great product,good
73,review-cb1aec6f-1077-47f4-ad7b-38f007964cb6,jatin shah,5,Awesome,best product pricecall alert name displaysocial media alert also giving
74,review-b96a0912-f24d-4917-85af-87037bf8c3d0,Mohammad Aijaz,4,Nice product,good product
75,review-b53788bb-9402-4c03-b91c-42bdd0295dac,Minhaz Ali,4,Nice product,nice
76,review-f42fff58-603b-4caf-a993-7763e45306cc,Rohit Singh,5,Excellent,awesome product like functions product
77,review-43379fe5-0833-466f-b35e-eb14e3a5ccdc,Rajendra singh dewke,3,Does the job,good design
78,review-eb49a561-8d80-4c87-bdd9-e8ed2d8fc287,Rahul Kumar,4,Nice product,nice
79,review-74e9dfc7-c455-476c-8118-0ee13f250770,Flipkart Customer,5,Mind-blowing purchase,awesome product must buy
80,review-7a90f822-aff8-4a98-a5fb-4c3905d230bd,Ajit Sahani,5,Mind-blowing purchase,watch good love thish product
81,review-ce878bef-1fcf-4db6-a14d-9252ded0595b,Flipkart Customer,1,Worst experience ever!,good
82,review-e895760f-4903-405a-9bd2-0b692e542e7f,Sheetal Dhiman,2,Could be way better,expectations average product
83,review-5938233d-0a86-429d-bbe2-0be0c94f9fbe,Flipkart Customer,1,Absolute rubbish!,waste money
84,review-2efdc4fe-85a9-4068-bfbb-56b0c8ab26c5,Flipkart Customer,4,Value-for-money,good
85,review-6128bbb3-052a-4d89-a58b-1b7448b29753,Flipkart Customer,5,Perfect product!,good need screen card otherwise get scratching
86,review-f97b9b44-b59c-4682-a84c-6ced4ba12822,Dr Ravi Ranjan,3,Decent product,step calculated correctly always warn battery going emptyi writing use 1 month colour metalic cadge fades one month
87,review-9269f2a4-88e4-4448-95fc-0a851041625a,Jerald Rex,3,Does the job,heart rate correct call message indications properwaste money
88,review-af741f20-ac42-4387-a9e5-7dcdf032cb18,Flipkart Customer,1,Utterly Disappointed,good
89,review-d98f5a4c-b1d9-4926-9a27-886bba6c4db2,Sajal Roy,1,Waste of money!,stupid productnot per descriptions shared lenovovery poor software supportin nutshell please dont go product
90,review-db80c13f-f9da-4cb1-a576-4fa11026eae9,Flipkart Customer,4,Wonderful,good
91,review-2876516f-bed6-49da-b184-d5b1c0a0205e,Athira Arun,2,Expected a better product,showing chinese time product looks oldwe cant return item alsoworst experience
92,review-cd7fbdf7-90ca-45c0-9fc4-af69c7a1229b,Flipkart Customer,5,Simply awesome,nice watch
93,review-132d72f8-1ec9-40f1-9635-a6318a0667f1,Rahul Mantri,5,Perfect product!,nice product worth invest money product
94,review-f5e30032-bf3f-4312-8544-5d43c4e886fc,Guna M,5,Mind-blowing purchase,worthy productand fast ever delivery flipkart got consignment within 10 hours
95,review-d6bc4fc1-459d-41fb-ab12-f37230cb9f06,Rakesh Patil,4,Good quality product,time delevery best product build quality good satisfied give review performance using product
96,review-f1144f2a-666e-488c-9634-798620fbacd2,Pramod Kapari,1,Worthless,weak fitting
97,review-6161a2ce-1bf5-4bd1-8e70-37442378ac90,Flipkart Customer,5,Great product,liked muc
98,review-a18275c5-040d-4ea2-9020-fd7f72943ad7,Flipkart Customer,5,Super!,excellent watch price long battery life
99,review-fdacfb22-3406-4e90-829a-07827c233a70,Flipkart Customer,5,Brilliant,good product bt band short
100,review-fe5ee394-397a-45be-be07-e9bb35381218,Maria Stella,2,Moderate,dont like product
101,review-f1cfa0ca-f203-49bd-8347-d6e81e84d582,sudhansu sekhar panda,5,Best in the market!,good product
102,review-ebba36e8-ac72-4aab-9bce-572c8986cb95,Ashutosh kumar,3,Does the job,nice watch good according price
103,review-7bee940c-df5d-42da-9769-8eef6ba14db6,Flipkart Customer,5,Terrific,good one
104,review-af1a97c2-bfdc-4aa2-9907-375f87f642ae,SAHIL RAINA,5,Just wow!,good buy display really good overall good value money
105,review-d0a459af-2bcf-4813-ab85-1f1708128730,Abhijeet Deshmukh,5,Wonderful,best price best quality
106,review-46ffaae2-6fa0-47cd-9733-c5dc252dbe56,Flipkart Customer,3,Does the job,average product
107,review-3b393bbc-afc6-47f0-b69d-738617e8e98c,Flipkart Customer,5,Must buy!,good
108,review-50e2e29f-7e56-4fb1-a5af-453edcd2da0d,Flipkart Customer,5,Wonderful,best smartwatch ever
109,review-bf988e09-414b-451b-9351-816ba23f698a,Dhirendra Chauhan,4,Wonderful,awesome
110,review-b9cc423a-72c7-410f-b06d-eee2a7f1884e,PARMOD SAHARAN,1,Not recommended at all,option like calling watch fitness watch okey
111,review-04e7a907-e914-4d62-b6b0-15d3211d4f7f,Flipkart Customer,4,Good quality product,nice
112,review-54f71d5d-d49f-485e-98a2-dc0ca3dfcc53,K rajesh Reddy,1,Unsatisfactory,working properly
113,review-34a89e48-7a3c-43b6-af4e-8bc96d497d49,Dharmesh Parmar,4,Good quality product,nice watch
114,review-f051169c-2009-4ac5-b5e3-0c2729f9d83f,Prakash Parmar,1,Not recommended at all,poor vest os money
115,review-5d34960a-a6f9-48ee-83a1-01e6cea540b8,Flipkart Customer,5,Awesome,worth upgraded mi band
116,review-9c02337c-39ba-4809-b1f9-2a41290dc555,MD Rasool,5,Mind-blowing purchase,good
117,review-93ccf5fd-fb2a-4520-a052-ce7f5e6e0965,Flipkart Customer,4,Pretty good,purchase please verify compatibility phone
118,review-d89bd38a-a5f3-4a75-934e-4bcda43a1b98,Sunny Sharma,3,Does the job,ok watch heart rate measure wrongly
119,review-9b23a31f-93ab-4203-9eac-dfb0501e98cc,Flipkart Customer,1,Worst experience ever!,price highqulity soi didnt recommend
120,review-02a3db66-4326-4351-8e51-64f468030b2b,Ratnesh Manojbhai Panchal,1,Horrible,average product
121,review-219e516c-7381-482c-9b77-f5cc30acba9e,Shinto Xavier,1,Don't waste your money,small sizenot good hand
122,review-feeeb7ca-db53-4b2d-ad25-67bbecce1d6b,Flipkart Customer,1,Unsatisfactory,wastage money
123,review-3c1eac6a-420f-4591-845a-8adf167765d5,Flipkart Customer,5,Perfect product!,awesome
124,review-e3d6a3af-eaa2-4887-82e9-430bafba789a,Kiran Ambekar,1,Worthless,battery back low even week u use every time u need charge main concern display brightnessits stop working sudden
125,review-742a466e-160b-497f-9dc7-b90675356116,Raj Pradhan,4,Worth the money,good smart watch lot nice features however watch sets disconnected time irritating
