,customer_id,user_name,ratings,review_head,review_body
0,review-733ba153-979e-48f6-8ad0-7c6b61a8b2b5,Ravi Shandilya,4,Nice product,good step counter accurate said
1,review-2454ea7d-3db1-458f-ad9c-8bfe3ec6af71,Flipkart Customer,5,Fabulous!,looks great overall good product
2,review-60a9d2e6-0772-418f-814f-7cb3c8021125,pradeep singh,1,Terrible product,worst service noise company charger working one month usage 15 days sent mail service help desk neither pickup call reply ur mails better waste money noise product
3,review-11db5e83-285a-4f55-bd6e-28e1f28fa44a,Deepak Maheshwari,1,Useless product,return policy guyz please dont buy flipkart
4,review-0b865942-0e2e-42b5-bcbe-c6368bfdec59,Rajib Saha,3,Decent product,reviews paid pay u rs 200 5star review dont go reviews honestly speaking ok product worst means best quite ok looks reagrding service need use honestly say abt band thank
5,review-bb71e63c-fc7f-4885-ab49-1610bf836ff4,Karneswar Boro,5,Great product,good
6,review-af265a53-1989-42ac-9311-3d131417337b,Sumit Jain,1,Worst experience ever!,received damaged watch refunds wellvery poor flipkart
7,review-c16e9929-d645-4ccb-9ece-dd9cc69e62b9,Ayushmaan Rai,5,Brilliant,awesome watch buy nowbattery also goodand look fabulous
8,review-d04671dd-de28-426f-a2cc-766153f30dc7,Arjun B,5,Mind-blowing purchase,nice product noise build sturdy worth price screen might little smaller expect comfortable single touch panel perform function functionality compared smart bands price though little inaccurate charge lasts 34days thorough usage watch face set image phone first class feature da fit app smooth optimised fluid usage screen brightness manually adjustableread
9,review-1af6ef9a-444c-4fb9-8ddc-3e21b49d4180,Flipkart Customer,5,Mind-blowing purchase,pedometer accuratehr accuratebp slightly offsleep o2 perfectgood look great battery life excellent distance connectivity
10,review-b6d1701f-c8ef-4fff-a2ae-9970a9b6ccfb,Vinod Paneliya,1,Worthless,bad experiencedisplay smallbrightness low difficult see time day lightcharger case tricky quality js markslimited choices display changes facia changesleft side right display time possible picture modethe app dafit users friendlyneed upgrade new app requiresthere many bugs operating system watchneeds improve onthere harmony price value
11,review-1354bf9a-b3c3-493f-9923-6fc4565a4f01,Tushar Kumar Sinha,5,Terrific purchase,first foremost awesome battery life giving average 7 days battery life build quality superb well straps comfortable steps counter accurate bp monitor good overall value money product
12,review-8db452cc-98e2-42e9-af5a-4564784e0443,TRILOCHAN MOHANTY,1,Waste of money!,bluetooth found properly
13,review-294bbcb5-309c-4795-b97d-1ade6caa411d,Sai Srujan,5,Perfect product!,superb watch never seenawesome working n gud lookingall wrkng quick lagging
14,review-9f688a7e-e822-451d-8cbf-9e94e8a286c7,Mahesh Kumar,5,Just wow!,best watch ever have1premium quality2water resistant ip683heart ratebpsp024a gud resolution display5gud looks6can easily charged7a gud battery8watch faces changed via app9aluminium curved glass makefinally would say best watch price
15,review-931e0333-348b-4c83-a49f-59618e112d71,Rahul Patel,5,Simply awesome,10 10 perfect amazing product like thnx flipkart
16,review-1022da0f-3bdd-42d0-907c-8c1fb54c4af4,Flipkart Customer,4,Pretty good,honestly speaking ok product worst liked bettery life good watch properly connected sometimes shows messages otherwise features excellent
17,review-51073018-81e0-43d7-9d05-69f8f37b93bf,Nilang Vesavkar,4,Good quality product,nice
18,review-4b68ad44-4b00-4d3a-8e08-a21b62603427,Argha Roy,4,Nice product,one wordexcellent
19,review-b7c99fee-2df7-442a-9539-95e3d980612b,Anil Farkade,5,Simply awesome,great product reasonable price build quality nice looks stylish hand results may accurate near accurate value money product go
20,review-db02c29a-b33b-4d18-b2fc-5bf902ef6fbe,Flipkart Customer,5,Terrific purchase,awesome loved
21,review-1874d7f8-81c6-4364-a915-f4d534ed41a6,Dr.vaibhav Soni Shivangi soni,5,Awesome,exellent watchmust buy nice display
22,review-440cff13-46ba-42e4-ab13-e682859cde8e,Prasad Bhandari,5,Terrific purchase,perfect budget watch
23,review-69af9220-2e37-40ec-b360-ee3d6dbcd77c,Flipkart Customer,5,Excellent,product simply amazing budget meant basic purpose
24,review-76ad41f8-c2a8-46d6-a047-f22b4b8418b9,Ramesh Pinniboina,1,Worthless,working properly bluetooth connectivity problem
25,review-c96dcd9b-1cd2-440c-9a1e-e21a4e59e662,Idulapuram Tharun,5,Awesome,best buy price batterybuild qualitylooking color display display difficult view heavy sunlightother good watch priceshowing callmessages social app notificationsand bpheart rate spo2 steps countnotecant answer callsdecline calls trough long press touch buttononly show name caller
26,review-ee8bb140-88cc-4d4d-9ccf-e2262baee581,Aadarsh Bharti,5,Excellent,best smart watch features good display also good best product
27,review-5274ffb0-6968-47e7-9cc5-00cbc435682d,Souvik Nag,1,Don't waste your money,possibly bogus purchase ive made flipkartpositive basically nothingnegatives1 display worst2 pedometer calorimeter show totally incorrect data3 sleep monitor whatever is4 see whos calling thats cannot disconnect answer call least couldnt5 even though app shows bpm actual watch doesnt one6 camera shutter works using watch couple days still donread
28,review-8be755ce-2990-4ffe-ad53-67af853a3f61,Anirban Roy,5,Super!,nice watch range impressive
29,review-eebb82c8-5424-4ef2-9502-44cf939b627e,Venky,1,Useless product,20 days life product slowly everythng stops working flipakrt wont assure u product buying 10 days warrenty flipkart u directed noise company customer care ask u write mail etc etc process never ends u knowits 15 days charge getting drained charger working waste product trust
30,review-6d61fac9-97e9-4f50-aec3-5bd5ce468f7f,Mohammad Jas,5,Terrific,amazing fitness bandworks well value moneygood qualitygreat featuresamazing lookgo
31,review-0f02646d-319b-4174-8e27-7501afa0b388,Amit Dalavi,1,Unsatisfactory,working properly
32,review-594dcf7d-5ff1-4110-8654-f963398dc48b,Sridhar Km,2,Moderate,charging issue
33,review-e71ab137-8967-446c-85f8-4127efa11029,Prasanth Thangavel,5,Simply awesome,wonderful product good look
34,review-f660c653-05eb-4aa4-8ca4-ccaf1fc6232f,Rashmi Kumari,5,Awesome,best segmentextremely recommendedits awesome user friendlyloved
35,review-0f89e483-20aa-453c-b674-a56146359591,Kashif Ansari,1,Utterly Disappointed,waste money
36,review-629b3ec0-5827-4aa7-b5fd-9a271653ba15,Roopesh Kumar,4,Wonderful,totally worthful product
37,review-aa10a999-5b51-4983-96c5-03f76c89f2d8,Shreekanth Oli,5,Classy product,good product affordable price id promises battery life awesome get almost perfect readings go blindly u never regret
38,review-d40b0314-9b24-48ac-8b42-21852d30d785,Joy Gummalla,4,Wonderful,honestly didnt think id impressed product low price tell give good review theyll send gift card things know want buy this1 hr bp arent always right times correct tested dad hypertension2 started using exactly week ago without charging today notified low battery3 things fitbread
39,review-badbe672-4f0e-4234-a4b1-2fee04dbcfde,Mohammad Saad,5,Highly recommended,much proud satisfied colorfit pro
40,review-2d3e03c0-3556-4be1-b465-1c2ffd757ca3,Rohit Kumar,4,Nice product,nice producti luv
41,review-14d1c96b-f168-41f4-b280-4deecf628c40,Sreejith PH,4,Very Good,touch screen touch button option
42,review-9e58ab37-b00b-44a7-af26-f9d29ce035e7,Aditya Patel,1,Worst experience ever!,upto mark display bezels big viewable direct sunlight
43,review-f7547fcb-8a34-44ca-9ded-dbf0243e8c94,Swapnendu Mukherjee,5,Worth every penny,perfect match price metallic finish makes beautiful various sports mood working wellvaluable product noise
44,review-f212d39a-6206-491d-9b6c-da11e81e8c23,Flipkart Customer,5,Terrific,nice fitness band noise fitness band nice displaymetal build dial net weight 60 gmcolours combination looks decent screenit detachable strap good build quality wide gripworth spendinggo
45,review-8eccbfe2-9b95-4987-b9fd-0251c5112c81,Sambit Adhikari,3,Good enough,fair enough price segment playing could accurate tracking system anyways nothing much complain good decent product comes good company please buy willing buy wont say loved itbut liked
46,review-a026a07a-34b8-4573-ab56-ee8f3d2ea76c,Mazhar Ali,1,Absolute rubbish!,waste product replaced one time gain return due software problem mobile watch disconnected times automatically also steps going bike steps count start selly dont buy product
47,review-b2b3b30c-7bdc-43d5-893a-361033c55ccb,Bipul Sutradhar,3,Fair,nice watchbuild quality good specially battery backup satisfied feature want returned product happy thanks flipkart delivery refund got watch 17019 returned item 200619 today morning picked item got money back evening wow stunned service flipkart thanks flipkart
48,review-f45c847d-7240-4ba3-847d-9f0f8a6d9818,Flipkart Customer,1,Did not meet expectations,waste money
