,customer_id,user_name,ratings,review_head,review_body
0,review-104339a5-2de8-4680-ad7a-9d35b92716ae,abhishek verma,5,Mind-blowing purchase,using 2 monthsfirst main difference tab 4 8 plus tab 4 8 hd display ram variant 8 plus 20 gm lighter tab 4 8excellent product lag found till now1acrisp clear hd displayits treat watch operate anything whether watching movies playing games1beasy hold easy operate tablet weighs 300 gms doesnt feel heavy tabletits like big phone1cwhere quick chargeit takes long time charge read
1,review-cabdb173-b3c4-4310-af67-4a9c837481c4,Nimish kapoor,5,Perfect product!,first impression lenovo tab 4 8 plus little bit disappointed seeing specification written voice call 16 gb rom waiting tab since announcement made feb17 bbd another version launched one wait received tab within 2 days orderdesign galssy classy similar sony xperia z5 top notch design looks like premium onedisplay good great coread
2,review-542f92b1-895f-486c-922d-7b8bb9c64a47,Kapil Wajapey,5,Awesome,looks beautiful sound beautiful dolby atmos feels lil slipperry due glass backand cases available yet performance neat thought fast 3gb seems enough although ive tried playing games theres barely memory left use 7gb used os reason waited bought one display 283ppi especially since im planning use reading tool well overall happy 2 days use
3,review-44b934c9-f71a-42f7-b5c3-e76d256f8a63,Arun Kumar,5,Super!,first thanks flipkart quick delivery 24 hours without extra cost wel done keep upproduct lenovo tab 4 8 plustype lte call 3gb16gbmodel lenovo tb8704xorder date 10102017 0930 hrsdelivery date 11102017 0935 hrsvery good productdont compare product tablet price range nice looking liked richnessthis calling tablet cant understand flipkarts specification say voice call questions read
4,review-62b405e1-b253-40ef-bfac-685cc64ff1b2,Nick N,4,Mind-blowing purchase,ok ordered alcatel a3 tab reading good reviews however sure mediatek processor performance hence ordered tab 4 8 pluscoming tab 4 8plus maharashtra delivered 1 day experience using 2 daysprosgood built quality looks good glass back pretty light weightamazing speakers dual front firing dolby atmos excellent via headphone jack wellgood battery life performance snapdragon 625 nread
5,review-a86f9f6b-94eb-46a2-b6da-e6f93de64e57,Flipkart Customer,5,Simply awesome,tab amazing good price screen quality good camera also good smooth use
6,review-342f72e2-e390-40ee-adb4-2c5595e09d21,Mohit Paroha,4,Unmatched best product in the range.,voice call yes provided default calling app simhowever tab 4g lte volte want use jio sim use jio voice call app make calls easily using itbatteryquite good charging time ok long lastingusb usb c type provided common android mobiles face problem connecting chargersthe touch good enougha 8 classy rich look tab stand edge competitorread
7,review-07451dd2-aeae-4d7b-ad86-e43990fa5305,Amar Bendale,5,"Awesome tablet, classy look and feel, sleek and smooth",got 10 cashback axis bank card also rs 200 instant cashbackwriting review almost 20 days usageat price 16k really good tablet wanted tab qualcomm snapdragon processor 2gig ram found tab fulfil required specs 3gb ram 16gb internal memory version comes android 711 box plus updated downloaded later works smooth one feature like apps read
8,review-9ec18632-6b2e-4c14-b09c-d42a234c04a8,Rajesh,5,Fabulous!,nice tablet lenovocompared lenovo yoga looks like phone length width small case lenovo yoga 8 inch tabletpros1 good battery backup minimum usage 100 lasts upto three complete days network data gps moderate usage lasts upto 15 2 complete days heavy usage hardly last upto less day everything depends amount usage2 charges quickly within tread
9,review-a903ff02-0694-468a-9df4-cd97f7dc9eda,Vishwak I,5,Awesome,great tab great pricedisplay good contrast good viewing angle viberent sharpprocessor snp 625 proved performerram 13gb available installing 30 appsaudio one bestbuilt premiumupdates believe get timely updates mostly stock believe lineage os soon root get best itoverall good tabonly concern 7gb inbuilt free storage could better
