,customer_id,user_name,ratings,review_head,review_body
0,review-14f2972b-ff0c-42cd-8955-c661e4476d1c,Shinjini Nag,5,Perfect product!,must every students essentials specially compact easily carried anywhereit lightweight slim easily fits handbagthe screensize ratio genuinely awesomereading ebooks watching course videos movies different kind feel nowsolely screensize dual speakers gives enriched viewing experienceno matter much watch videos read articles device aint gonna giveread
1,review-f85cb30a-a408-4597-bf9c-77b59136f768,Sagar Chawla,5,Terrific purchase,samsung galaxy a8 tab one affordable tabs market right offers good features reasonable pricefeatures including likescreen size ratio 2031cm 8 tablet 1280x800 resolutions wxga tft basic display 16m color depth camera 80 megapixels rear camera auto focus 20 mp front cameraprocessor ram storage cpu speed 2ghz quad core processor also 2gb ram size 32gb rom size 213 gb available memorread
2,review-83516976-90e2-41ba-95a7-7cb9a42a40eb,Rajesh Manjrekar,5,Mind-blowing purchase,im love device feel best tablet price range fast lag great things tablet would like highlight areit massive battery 5100mah life get 12 hours screen time need charge every 2 days isnt coolit beautiful 8 inch screen good ratio perfect reading books surfing web gaming comes along dual read
3,review-a945b754-699c-4f75-bd80-109c8891e061,Viraj Gandhi,5,Great product,samsung galaxy tab 80 versatile product tablet ten thousand rupees lot useful features todays youth fact lightweight easy carry become daily driver officially replaced laptop battery capacity 5100 mah easily lasts day even heavy usage dual speakers great thing use tablet speaker dedicated kids mode new samsung one uread
4,review-a47055d5-a446-4d89-a3be-b8c3d319086e,Saikat Biswas,4,Worth the money,writing review 10 days useok 1st runs snapdragon 429 12nm chip superb power saving performance processor easily handle every days usual work like reading pdf watching movie web surfing etcbattery backup good easily give 2 days battery backup 8 10 hours screen time depending task going run device gaming pubg expect run game like tread
5,review-2225774d-dffb-43b6-9d19-f0c0e2a45e03,Yatin Dhingra,5,Terrific,first product comes samsung tag itthat means user satisfaction user experience considered manufacturing productthe tab designed lightweight makes easy carry 2gb ram 32 gb storage expendable upto 512 gb 2 ghz quad core processor allows multitaskingcarry important works play games watch moviesit comes latest android version 90 2mp front 8mpread
6,review-992b5e13-d3e3-4558-81aa-02dff6fc543d,Jatin Tank,5,Super!,thought giving tab little brother loves watching movies cartoons time tab great speakers plugin earphones thatit budget tablet boasts price modest specsthe samsung tab a8 0 design ontrend slim lightweight smooth back panel comfortable finger tips rounded edges make easy grip slim lightweight skin userfriendly easy navigateread
7,review-f9cec5fa-9616-4c3e-a07c-67d9879ae9df,Anirudh Pareek,5,Awesome,marvellous product huge displayits easy carry meetingsjourneysetcthe large screen made read novels efficientlyits storage capacity great got astonished came know android nine pie itit compatible product price segment 4gb ram would great add sweet touch performance workinghuge battery 5100mah gives power packed performance long leading battery life helps long read
8,review-2dbf61f7-be21-4eea-b4d9-48186cb31cfe,Flipkart Customer,5,Mind-blowing purchase,bought product son studies tubethis perfect guy save theory papers well games apps whichever use daily lifei read many reviews camera tab perfect correcti recommend strongly product price gift samsung us
9,review-bf858e5f-2c0f-475f-850e-51634b51a1c5,Manish Choudhary,5,Terrific purchase,according budget tablet merits lots merits noticed among design look bit thick bezels looks good battery backup 2 days average use rear camera works pretty well etc demrits two faults noticed noncalling tablet read
