customer_id,user_name,ratings,review_head,review_body
review-fa236dcf-8763-44a8-acdb-defdd6a7f955,Flipkart Customer,4,Value-for-money,alert guys message fir really going buy laptopat time delivery dont get excited open package get ur camera record u open first package done flipkart record entire unboxing please make sure u get bill clearly recordingthe seal already broken laptop boxi recorded n clearly shows already openupvote ket know abt itlaptop working fine though nice delivread
review-f89d946c-ad7e-4296-9d2d-da0d7d9f34e5,Shrivatsa S Gowda,5,"why god , why do you hate me ?",1 week bought product price reduced 62k 53k really good laptop 62k 53k steal
review-1ef67502-e0d8-4ff1-a398-0663d8a57668,Surya Karnan,5,Excellent,excellent productgood gaming performancei upgraded 16gb ram massive performance pricegta 5ultra playablenfs paybackultra playablewatchdogs 2high playablebattlefield 3ultra playablecrysis 3medium playablerise tomb raiderhigh playableprototype 2ultra playabletitanfall 2ultra full anisotropic filtering ambient oclusion playabledon bradman 17ultra playablesekiromedium playable average frame ratesplinter cell blacklistmedium playablealien vread
review-10dd1785-124c-4bdb-ae6e-5a9190c9df47,Karthik s kateel,5,Just wow!,writing review 1 half month usagepros observedgreat displaygreat designgreat backlit keyboardupgraded 16gb ram performance good editing photos videos adobe photoshop premier prographics processor great much cheaper good nvidia core i5battery good normal use gaming price rangecons faced problemsseal brokenno damage scratches foundwifi doesnt connect charead
review-ef04de67-8248-4b4b-9763-dd04d9e573eb,Arun Kumar,4,Good choice,prosdisplay really goodvery less noisekeyboard better backlight auto sensingtough build qualitygrpahic card fan speed controlling optiongreat deal 49kcan easiky add ssd extra ramconsif think speed like less boot time speedily application loading u definitely need add ssdits working fine pre installed window 10 home try install urself really hard get proper drivers display nd graphic card amd website read
review-b0394041-1948-413d-8626-18c76653b53c,Deepika Upadhyay,5,Classy product,best budget gaming laptop
review-5a4c7aef-0c97-4dbe-bbb5-86007ed321d1,Sushrut Pawar,5,Highly recommended,used 10 days design brilliant top surface carbon fibre like finish led backlit keyboard also looks good full size keyboard good although buttons bit small full hd screen nice view angles bright enough good quality viewing full brightness acer bundled nitro sense software good easily switching performance profiles monitor health laptop havent played garead
review-300ff592-8a1c-493e-b575-72ae6cd1215c,Shomendra Pradhan,1,Worst experience ever!,contacted multiple times customer service poor raised complain cant provide complain number try escalate disconnect placing hold word acer customer support said havent received complain gonna go consumer forum dont roesolve issue
review-c00c4f79-0237-47f2-b665-52206e440edb,Nikeet Keshari,5,Awesome,laptop good ventilation cooling makes gaming efficient graphics better 1050gtx playing games without lag goto radeon settings gaming add game goto systemswitchable graphics change running apps installed apps select game icon present browse use high performance make laptop use rx560 graphics processor integrated one games run without lag also use fans max read
review-1356edb6-25e5-401f-99fe-954d70405df6,Sachinkumar Suthar,5,Worth every penny,updated review usage one month good display nice color reproduction good audio quality due dolby speakers headphones good cpu performance ease multitasking awesome gaming performance played tomb raider survival edition 60 fps ultra settings average battery backup around 3 hours normal usage cant complain looking amazing features worth every penny go without hesitation
review-f7878a90-14aa-4eb1-8e88-9a352fec9ade,Pema namgay,1,Did not meet expectations,first product defectivei noticed defect usb porti asked replacement technician visit done time wastedi dont know whether fault technician acer company flipkart problem yet replacedso sorry see iti asked called last day told canthaha sorry see
review-676e6ad6-7295-4198-9d4b-7bc80c8d520e,Flipkart Customer,5,Fabulous!,thing superb everything good need sort switch dedicated graphics
review-2625f035-a5f2-4f16-8ac9-fc7ed4ec6cdf,emil jacob skaria,5,Wonderful,great laptop price rangefor complete performance plug power supply play gameson battery get 14th performanceyou play many aaa titles like quantum break battlefield fortnite played epic plugged inoverall satisfied
review-8feb6748-251b-470c-b2be-6a9f65ff3be3,priyansh tiwari,4,Really Nice,hello everyone let start telling use pc gamer came hostel needed something powerful enough handle gaming needs well started searching laptops locally vadodarabaroda online tried variants laptop ie intel one nvidia one actually wanted install try game obviously local store reliance digital croma speed bugs 810 stores went didnt alread
review-e985ce3f-fab0-4f45-94e9-f4f8fdf629c4,Gorky Shaw,5,Hands down the best budget gaming laptop around,first flipkart order processing delivery topnotch looking budget gaming laptop look everything great except long boot time ssd free m2 slot supports sata ssd adding ssd rocks
