customer_id,user_name,ratings,review_head,review_body
review-1e944291-c0d4-448a-9d87-41892ceea1fd,Gurkirpal Oaan,5,Awesome,nyc prduct useful product
review-16224142-f804-4adf-b0b3-3959f0fe3185,PRAVAL PRATAP SINGH,5,Super!,nice watch first apple watch
review-21d7ebe7-0820-44ce-8b8d-766e770774ec,Praveenkumar Bakkuri,5,Wonderful,product awesome cool features dissapointment access google maps apple watch use iphonesince street view routing using gps apple maps team give access use google maps apple maps get ready otherwise little disappointment apple watch series 3 gps users like indiabattery effective use im getting 2dayscoming packing never expected flipkart sent product likeread
review-c385fa54-0e75-422c-b567-0ad1adb15f43,indrajeet sonkar,5,Ultimate apple,apple apple awesome
review-6197c99e-7cf6-441b-8284-0a77c40fb9cc,Brijesh Kumar,5,Best Smartwatch at the moment,best smartwatch moment highly recommended wants good attractive smartwatch along fitness tracking features highly priced compared offers value money also one consider owns iphone ios 11 later currently compatible android devices
review-44b6c680-74df-4a5a-a1a0-d519965b0d49,KRISH M Kharvi,5,Awesome,awesome loved everyone one hey
review-ab963ba3-6b99-4268-ba47-b3f940bc7edc,Himanshi Kumar,1,Hated it!,guys sent duplicate apple watch twice guys even returning money back saying working nothing else calls emails cancel return refund request thrice call everyday customers care helpline waste 23 hours say working return money asap
review-9b70eb03-21aa-421f-9eb5-921b2c38afca,Amit Naikwade,5,Brilliant,good product
review-dda2c23e-5414-4d43-8d35-246adb665b4a,Monty Shrivas,5,Excellent,watch thts dont words describe
review-3decd671-ef9a-40c4-b27d-e34c7fecfd82,Prashant Gupta,5,Fabulous!,excellent piece technology best use see
review-a3e7f01f-d4c5-43d2-8a95-108704a75080,Kiran Chandrashekar,2,Better to buy from stores,received product display issue compounded fact brought via flipkart diagnosis replacement big issue better buy expensive apple product via stores going ordeal
review-d677c83c-1b7f-4b43-9a36-b46d36412171,Flipkart Customer,5,Mind-blowing purchase,looks awesome go iphone user
review-c50cad23-895a-4205-b319-6bbc22cab6f3,Pranav Bhosale,4,5* to flipkart 4* to Apple,received product time flipkart job perfectly effectively talking apple worth given 32k price value money rest quality good smooth lagging build quality also good nicely packed recommendations 5 flipkart 4 apple
review-61f7c216-20da-4df6-8ee6-e62d03df024d,Flipkart Customer,5,Classy product,awesome watch expected fast delievery
review-b57fb52d-d9eb-44d0-b10a-a14b391a6440,Abhishek Ojha,5,Wonderful,really nice fast servicealso product mark received great product aspectedthanks merchant flipkart
review-64b3e6ca-4be3-4023-8f4c-fb5919c3233b,Saffina Rahman,5,Perfect product!,apple watch series 3 name enough know kind product planning get one since many days finally bought one initial day review delivery expected time initial day got two scratches corner glass part would recommend use cover like used rich enough buy new one
review-7dd972e6-0a4a-4600-a26d-37c58d43ab56,Flipkart Customer,5,Terrific purchase,nice
review-6611ed47-c1eb-49dc-8ee0-b207efb84dcd,RASHID LASKAR,3,Does the job,product good flipkart ullu banuing
review-8c5cde04-d9be-4489-9376-c453efb323a1,UTSW SINGH,5,Just wow!,nice product love
review-dcb4fc94-cb88-4b03-801f-024f0eda7a36,Vijay Dubey,5,Mind-blowing purchase,feeling awesomeit really good original productno prob flipkartand fully satisfied iwatch
review-57f3fe5b-a9a5-4f76-9439-46f9bec529e3,Flipkart Customer,5,Brilliant,adapter included box
review-af5ff7dd-ba40-4b65-b3e2-a141390e4cd6,Prithavi Raj,1,People of filpcart making fool,dont buy thing filpcarti received toy watch box apple watch
review-e84c4e0d-463d-4e1b-a009-bfaa7d266112,Kunjan Patel,5,Best in the market!,best womans day gift life perfect smart watch calling chating alarm special many things u cary via hands n cant able answer call useful gudget
review-f04f9e63-4cd5-4f67-966e-c5e55037ede6,Sanjeev Yadav,5,Fabulous!,bought rs 21147 great buy price
review-7c0aa993-6b12-430a-b2d3-e49cc168232e,Moiz Kazi,5,Terrific,opened iwatch excited share review u awesome
review-e9b91ad3-fcf4-4997-b3ca-91c0a4a8a49f,koteshwar rao,1,Complaint,received product unable return app said contact nearby service center refund money
review-c231309c-09ee-45a3-9027-d62befdd6d8a,Khushee Sen,5,Worth every penny,delivered time awesome packagingnot even single scratch package kudos seller
review-03bb7824-b0de-4ab6-b1bd-81b63f9f409c,Kislay,1,Fake no cost emi,though product good im satisfied customer service theres difference cost emi normal emi cost happy flipkart
review-dab963c7-672d-40ae-844e-be8360d633b5,Akash Saxena,5,Apple Watch Series 3 42mm,given 5 stars product however given option would like award 0 stars packing packed seller kind favourfk really need look issues customer stop buying stuff
review-0553994f-6999-481a-8186-99b2f046b270,Sasi Kanth,5,Worth every penny,absolutely worth money good one
review-16ba47a7-75b4-4a88-82fd-d4faaf9ce634,Ankita Roy,5,Simply awesome,wont deny doubts purchasing smart watch online however since series 3 isnt available stores anymore budget constraint ordered fingers crossed 2 days works like charm however battery life could better lasts one day definitely value money
review-cad6ae27-822e-428d-b20e-cc5d532ccf79,DAMODAR SHAH,5,Real smart watch in global,apple product deserve 5 5
review-9d573db1-7468-4e06-ae29-275bb7660c66,ATIF SHEIKH,5,Wonderful,apple products never disappoint
review-6f153533-1195-415a-ae71-443427b228be,NASEEB AHMED,5,Great product,best ever watch bought using gear s3 1 month swtiched thanx flipkart dream discounti afraid reading comment fake products gotbut got 100 real genuine onejust new watch series 3 time show
review-3790470d-0bd5-4c8a-9fca-3f1402507ea3,Flipkart Customer,5,Just wow!,supperr
review-bf1f4e6e-1b8c-422b-8a46-cd7a36d4927c,Sriniwaas Kesuboyina,5,Superb,nice wear apple iwatch
