customer_id,user_name,ratings,review_head,review_body
review-4367d345-25d2-40c1-b211-bffb9132987e,Shivam Dwivedi,5,Fabulous!,ipad 6th generation dope let explain 1 pricing cost 26k doubt provides value money decent pair speakers display battery software performance ofcourse2 course performance thanks a10 fusion chip used iphone 7plus experience a10 fusion buttery smoother faster satisfying absolutely lag delay ui lag ios touch delay eread
review-fd3d5292-e5c8-47ea-b027-7be592cab042,Claude Patrao,5,Super!,20 years ago started photo editing struggled windows pc corel photo paint competitors working mac pc adobe photoshop simply could afford mac way beyond reach used envy mac guys speed worked cost mac lakhs 60 retired still cannot afford apple productrecently ipad 2018 launched 32 gb wifi model around rs27000 price looked teread
review-30b09300-6ec2-493a-bac9-9af0e22207d8,Rathin s,5,Awesome,good onedont expect camera much like dslrbut good pictures good light conditionsmove ios app used move apps android phone padits great thingall set ups done fine now32 gb enough meperformance goodmake sure fix tempered glass soon possiblelove music instruments apps app storeworking great
review-a87571aa-238f-47f3-9f1a-a8b768e8e099,Sanat Kumar Sahoo,5,Excellent,go looking something handy powerful enough works like gaming editing product also used development purpose like game developmentcodeaweb developmentminor graphics design apple pencil happy apple product
review-7d9d82b4-88fb-4d66-bc8d-68491dfe7fd5,shailehsh kaiwart,4,Delightful,first apple product product good packing pathatic flipkart really need think product returnable delivery flipkart take responsibility product worst thing flipkartpros using full potential buy apple pencil along it1 sound quality fantastic almost sound 15002000 bluetooth speaker clarity better that2 screen goread
review-c8e47ec7-4019-4fee-ad1e-2ed6665918c2,Sagarika M,5,Worth every penny,worth itmy dream ipad came true tnx fkipkart awsm offerthis waooo gold color 88 simillar rose gold onebattery backup awsmmand works perfectly stylus pensawsmm smooth touch performance great overall must buy budget apple productm love
review-5e091f3f-4c25-46a0-8197-562a91121ee8,Dr Manjunath Giriyappa,3,Does the job,product good first time ios user find extremely difficult transfer files movies books though send items via shareit items shared displayed file explorer mx player books time need open share access contents way file transfer via itunes cumbersome doctor main purpose read books somehow managed put ibooks moon reader pro app available appsread
review-ff475463-2271-4a56-b340-00ebd7cfbe59,Rajanikanta Dash,5,Worth every penny,best thing money buy youre student love reading pdfs along apple pencil goodnotes power read write modify pdfs like never beforebest thing battery never dies keep using normal reading youll surprised goes days together course without continuous use continuous use battery last 1012 hours amazing isif youre confused ipad pro ipad 6th gen beliread
review-f5909472-ba8a-4859-8577-dfc42e3a1dfc,Swapnil Ahire,5,Best in the market!,ok let make easy reading thisi tried hands android nd ios platform people found android easier use trust try ios wont hard thinkas well known brand wont anything universal truth tablet market 2 companies lenovo nd samsung competing lenovos tab 4 series better samsung cant stand front ipad even think need hold latest technolread
review-2e49ca91-df5e-4a36-b337-cac93680ae21,Nitish kumar,5,Highly recommended,im writing review using almost 4 weeks like apple product ipad performance build quality battery life top notchios 12 opens whole new level especially feature view two different apps simultaneously work however open third app two apps become inactive hide right side pull sneak view love featurethe size weight ideal using ipad wiread
review-5dcfb22f-7e78-4e8f-a63c-b2fb5afa228b,Flipkart Customer,5,Great product,terrific purchasethis ipad one best purchase ever madepros1 best battery life around 12 hours screen time2 best class display bright colours full hd video viewing3 performance max getting apple a10 chip 25000 superb4 price quite low flipkart big billion days got 19999 only5 build quality superb gold colour looks absolutely premiumcons1 camera good rear camera average aread
review-fffc018f-49f4-431f-9dc5-3bfccbbec81c,Maunak Das,5,Simply awesome,3rd apple product quality per price super awesome great build quality great audio experiencegreat ui except camera everything work per expectations best tablet price range great buy thank flipkart
review-b5c4d4c0-f224-4d9e-97f7-cf4a9cf37371,SUBHAM KUMAR,5,Super!,upgraded ipad 3 loved display grey color variant doesnt give u feel using air gapped screen speed awesome muktitasking feature also works flawlessly camera speaker hv better works good
review-0c82f4bc-7e20-4717-b302-9357d0948474,Abdul Halim,5,Fabulous!,best gadget studentused daysnote taking superb apple pencil stylus apple pencil doesnt work properly microsoft office applications designed well miss pccamera click decent pictures note takinggames run pubg high settings without single frame loss galaxy a8 6gb ram cant play pubg smoothly even medium settingsfor android users cant transfer photo music videos bluetooread
