,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3MODCWX8MEIFI,Jatin,"This is the second power bank from Ambrane India, i am happy",putting review 1 day usage second power bank bought ambrane india overall third power bank family bought pp30 30000 mah model also mi 2i 20000 mah power bank really good putting together pros cons able find 1 day usage also little bit comparison dad uses redmi note 7 mom mi a1 using redmi note 3 pros dual input type c micro usb foremost primary reason choosing power bank mi brands dont need carry two cables phone type c input family 2 3 easy carry hold compact size must say comparison mi ambrane pp30 solid sturdy built 20000 mah capacity lithium polymer batteries safer lithium ion batteries came know buying product 200 cheaper price mi touch button top know power status something unique took less 1 hour charge redmi note 3 13 100 2 cell battery indicator pretty good almost equivalent wall charger best part time charging speed delhi metro dont know either pro con power banks supports qualcomm quick charge 30 technology power bank supports fast charging 24 amp feel charged phone better faster mi power bank know phone must also supports quick charge technology fast charging use quick charge dads redmi note 7 supports qc 40 either mi power bank ambrane pp30 power bank kind heats phone also fluctuates power automatically switches quick charge fast charging affects battery life safer charge phone optimum current 24 amp cons stuffy packaging looks like power bank forced fully stuffed inside box adhesive tape top dont know remove puts scratches top careful removing torch light pp30 micro cable inside box,2019-06-21,5.0
1,customer_review-R2246S25DHLGWH,Ahad zaidi,Buy with caution.,excited product compact size excitement got ruined unable insert micro usb charge power bank several tries unable insert micro usb think manufacturing defect hologram ok tested pass dont know company tested test power bank charging thats replacing,2019-06-16,1.0
2,customer_review-R1J3RWUS1X6JNI,D B,Awesome product. Super stylish looks.,got powerbank time amazon super fast delivery using sine good power back ableto charge mi6pro 4timescompact size soft touch button really nice happy product,2019-06-19,5.0
3,customer_review-R1XRA2Z3K73P0,Aneesh C B,Touch problem,touch button working,2019-07-07,1.0
4,customer_review-R3N0SC3SC77V5B,drrajkumar,Worst,product working 15 day buy charging self power backup zero worst experience return window closed within 15 day buy return fake product waste customer money totally disappointed amazon seller,2019-07-07,5.0
5,customer_review-R117C0E4TX343W,Divyanshu Sinha,Bad product. Waste of money.,buy button push button feels like stuck function properly runs charge fast 20000 mah feels like 5000mah charged lenovo vibe 3750mah got depleted charging three times slow charging well battery also depleted day takes forever get charged 1012 good hours time get charge less output 1820hrs continuous output design special either black heavy brick flashlight basic necessity almost powerbanks feature one doesnt good thing also charged type c cable takes equal time charge via difference genuine review want help proper investment money please dont buy,2019-08-18,2.0
6,customer_review-RFA8XANR4BD7S,Babji malineni,Takes too long to charge the powerbank .,taking 12 hrs completely charge powerbank fully charged lasting fir 2 charges phone ie 7000mah power running approx 9000 mah total still little charge left guess battery received enough capacity takes half day fully charge traveling think need spare powerbank used needs kept back room long time charge,2019-07-05,4.0
7,customer_review-R28TAYZXWBKK5E,Vikram,Decent power pack. one of the very good power bank in the market,liked 1 build quality good 2 materials plastics used seem good 3 black panel display leds look nice 4 power seems decent side 5 easy hold 6 engraving 2000 looks classy 7 touch button sensitive dislikes 1 takes long time charge 100 4 leds glowing approx 3 hours 2 charged mi note 4 galaxy grand 2 charge 30 full charge felt lower end 3 charging pin aligned many complained using ball pen tip able push metal plate aligned plastic casing bit lower usb charger point went without fuss would rate 45 decent made india product price get personally pny powerbtnks best bad experience mi index mi charge intex bad craftsmanship one pretty good,2019-07-19,5.0
8,customer_review-R2GZ4ULQHNM00U,Gobinda Debnath,Best in the budget,best range bought rs 599 awesome build quality great output 24 amp looks stylish recently manufactured packaging good overall decent product price pay,2019-06-29,5.0
9,customer_review-R2UEN5Q6BCY608,Dr. Asish Das Mohapatra,Poor performance,seems low storage battery 10000 mah,2019-07-08,2.0
10,customer_review-R14N5FQWAAGUO8,Nidhin,Failed First Impression,initial update received newly repacked kindaused one device deep scratches brand package looking new except open sticker two sticker one end either side hologram seal side intact inner white cardboard packing also new inner plastic one device many dirty touch marks minor surface scratches deep scratches lika kind made sharp object way put charge two leds lit third fourth blinking five minutes third one also became steady fourth still blinking looks like device 50 charge received see performs recharge update second recharge takes around 4 hour fully recharge doesnt add recharging able recharge three phones span 2 days ie roughly 5000 mah thought let see next charging later put charging came back check around hour found device charging luckily product within return exchange window instead returning opted exchange let see replacement performs,2019-07-23,3.0
11,customer_review-R1R0EBALRI51EC,Dibyendu P.,Beyond expectation,product fine well time charging slow moment continues rapid charging pros 1 approx 10000 mah phone charged 2 times around 90 2 slim design 3 two parralel charging ports 4 fast charging cons 1 plastic case easy scratch 2 power bank takes long time full charged approx 8 hrs 2 amp mobile charger 3 charging current always constant maximum 18 amps minimum 310 mili amps may harm smartphone suggest unplug beyond 85 charged overall experience superb much expectation power bank 10000mah 399 inr,2019-07-20,4.0
12,customer_review-R2KIGO3SJV8I4G,Annapoorna P.,Pls replace this cable at the earliest or else i have to return the product.,charging cable compatible phone 6s kindly replace small cablecharger one side pin able insert phone 6s snpp205011905000130 regards annapoornaprasad,2019-07-01,3.0
13,customer_review-R1TX64WGX1TYJJ,Mohit,Worst powerbank,charging phone look weather charging device stopped time charging indicator button work properly worst power bank,2019-07-07,1.0
14,customer_review-R8P87JHHHG7CW,BALA,Looks great! compatible and good for travelling,compact shall keep pocket charge indication good charge cable rigid good overall worth money,2019-07-03,5.0
15,customer_review-RJAAVE05A0N2D,Amazon Customer,The performance of this powerbank is average.,moto e4 plush mobile charged 2 times full charge powerbank,2019-06-27,2.0
16,customer_review-R2W23SPIGBY5GH,Chinmay Bhatt,A Worst item and waste of money.. Never purchase this one.,waste money product plz track order details less 2 month power banks quality absolute worst also attached images manufacturing defect power bank blast streched lot cracked body seal see images therefore want refund amount item,2019-08-13,1.0
17,customer_review-R3CU2GXM3K86WL,Yash M.,Compact,half size previous 20000mah power bank ambrane wish normal tactile button instead feather touch button,2019-07-01,4.0
18,customer_review-RWTF6X5XIMMEP,Mohammed Asif Shaykh,Ambrane 20000 Mah power bank 🔋,power bank looks amazing 20000 mah price size handy way much brand trust ambrane brand chargers phone 5 times amazing time takes charge around 8 9 hrs obvious big powerbank type c normal one users great features fast charging worth buying,2019-07-20,5.0
19,customer_review-RB6COZVBC8IWS,Amilee.2009,must read ....Power button dont working,1 power switch dont work poper usb port tight 2 put led light without power glowing dim seen dark room means passes power without power u may check dnt go im uploading video want retun,2019-08-15,1.0
20,customer_review-RV8RMATMT0ZR7,Tarun Sharma,Not worth your money,purchased thinking 24a charging charging slow upto mark although charging power good still fast charging easy hold carry small size frankly trust touch button days since got one presume stop working months company used physical button instead one anyways fully satisfied product lets see turns,2019-07-31,3.0
21,customer_review-RG7V4FVZXAEHB,D B,Nice product,nice product fast delivery easy carry travelling good backup charged 4000mah phone x 2 times nonslippery design helps strong grip product,2019-07-01,5.0
22,customer_review-R1SW74KC79BRSU,Tushar,Inefficient,first description product real good deceive lot customers packaging good user manual deceiving aesthetically product os real bad amateur design flaws large usb ports bad suggests bad design usb cable given terrible quality scratches came days trust kept time pouch time taken charge acceptable discharge tertible firstly wont get 20000 mah next doesnt fast charging kind manufacturers dont give fast charging q3 2019 overall big battery embodied inside cheap case rest upto,2019-09-05,2.0
23,customer_review-R2Z2QOOQ3K3UZL,Arun Nair,DONOT BUY -FEEDBACK AS ON 10TH SEP 2019,product pathetic performance mistake buy productan overnight charging still doesnt charge stand batterywondering whats purpose product,2019-09-10,1.0
