,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R3TNWMQHAPBTBQ,The Honest Guy,"An amazingly feature packed gadget, value for money",using mi band 3 already like upgrade review based first days usage update review months usage include things like battery backup pros new amoled display beautiful fairly bright door new music controls volume track playpause works really well small delay custom wallpapers best feature found first sight menus ui looked like old band 3 setting custom wallpaper whole band new level 50m waterproof like band 3 taken band 3 worst conditions never observed even fogging hope band 4 also acts rugged 20 day battery good figure test update review sometime dont connect phone turn alarms must last longer use watch weather current locationchanges move shows location name well screen pros compared mi band 3 little money larger amoled display 095 inband 4 078 inband 3 042band 2 turn existing alarms directly bandsomething really wish band 3 tempered glass top new sensors 3axis accelerometer 3axis gyroscope well sure sharper much brighter display larger battery 135 mahband 4 110 mah band 3 screen guards applied due broader face charging time less band 3 takes less 2 hours cons ui could better beautiful screen current themes look bad weather could added home screen band 3 could added switch turn high brightness outdoor usage set brightness 4full always really bright indoors ideal outdoors step counter inaccurate like brands band also counts many false steps time reach office car shows 15 km actual walk less 05 km better forget feature features lift hand turn display sleep monitor call message notifications mi app comes lot features compared brands find device useful whether buy yes yes yes go even fitness freak band quite useful call sms calendar notifications especially driving dont need pickup phone cancel mute call cant ask anything pay alternatives ready shell checkout amazfit bip amazfit verge lite models usual amazon delivered band superfast two days,2019-09-23,5.0
1,customer_review-R216U7PMCQKP8,Sameer Patil,"DETAILED REVIEW with Comparison with Honor Band 5, Battery Performance stats,etc",note music control feature used control music default well 3rd party apps straps mi band 3 also fit mi band 4 perfectly awesome battery backup 20 days check review detailed battery backup though theres sleep tracking feature band theres sleep tracker tab view data band indian version well update 29092019 honor band 5 got spo2 music control feature via firmware update honor band 5 better edge mi band 4 plus point mi band 4 better battery backup would recommend buying honor band 5 rather mi band 4 honor accurate still want buy mi band 4 read rest original review update 27092019 theres addition 4 digit screen lock automatically activated band removed wrist need enter set code unlock case forgot code turn via app pairing band honestly dont understand even feature pushed band useless according instead adding exercises daytime sleep tracking would practically helpful users long review divided 3 parts namely quick overview full detailed review comparison honor band 5 really looking invest 2300 rupees highly advice read completely ease decision want get quick overview device read else scroll detailed review screen full touch coloured amoled 25d slightly curved edges brightness adjustable prone shatter falls face awesome battery backup 20 days normal usage upto 12 days heavy use light weight compact strap extremely comfortable also replaceable time mi improved strap design giving deeper grooves avoid accidental fallouts full whatsapp instagram message call etc notification alerts music control feature used control music default well 3rd party apps updates frequent connects android ios without problem customizable watch faces via default app 3rd party installation also possible watch interface clean easy use theres sleep tracker tab band use app averagely accurate builtin continuous heart rate monitoring sleep tracker highly accurate pedometer swimming safe well touch panel useless water touches screen dry wipe screen proper touch functioning charging dock different mi band 3 interchangeability finally affordable full detailed review design slim profile 095 25d display surrounded black bezels perfectly blends extremely light well circular touch sensitive touch button almost invisible home button back button handy 2 pin contact charging dock facing still capsule needs taken straps charging finally quality strap previous versions feels comfortable except grooves straps deeper avoids accidental fallouts capsule module display sports 095 amoled colour display gives crystal clear output honor band 4 5 display module rectangular vibrant colours bright light adjustable upto 3 levels responsive good readability even direct sunlight well features 6 main modes namely daily activity tracker heart rate sensor workout weather notifications settings activity tracker complete pedometer calories details day mentioned 95 accurate according usage heart rate sensor quickly check heart rate displays continuous manner seconds stops slow heart rate tracker accurate well even set heart rate tracking continuous mode app band sleep tracking feature sleep tracker data tab band check data need use app tracks daytime sleep data decently accurate sleep tracker workout mode many inbuilt modes like walking running swimming free exercise cycling treadmill theres gps band track session gps connected phone session note dont need carry phone workout session dont need gps data theres continuous heart rate tracking workout mode weather tab get see current day weather location theres also full weeks forecast notification option check smartphone notifications connected supports phone message whatsapp messages etc read complete message also supports call notifications call rejection silent option well also get direct notification sedentary alerts band without needing check message option various micro settings features like timer stop watch watch faces reboot etc thoughtful put extra settings feature option keep interface clean watch faces box 34 watch faces band using mi fit app choose 50 watch faces also supports 3rd party watch face installation charm music control useful feature workout session listening music phone note connect mi band 4 bt headset time feature used control music playback phone theres music storage option band works default well 3rd party music streaming apps well battery performance charges quite quickly 0 100 within hour band connected bluetooth continuous hr mode lasts 20 days offline mode bluetooth connected continuous hr mode lasts upto 1518 days fitness app used hour rem sleep lasts upto 12 days max prefer keep bluetooth mode time continuous hr mode dont turn rem sleep easily get upto 15 days backup 1 hour workout mode used 6 days week cons theres option set screen lock time fixed 5 second thats quite less 4 watch faces stored band though band supports tons faces via app heart rate sensor slow tracking accurate serious connectivity issue bluetooth works mi fit app cant view detailed sleep tracking band need companion app turn band every time need connect charging dock comparison honor band 5 1 design section honor band attractive mi band due curved display comes looks winner honor band 5 2 display section display honor band slightly brighter mi band 4 touch response better mi band 4 honor band laggy interface winner mi band 4 3 pedometer workouts pedometer accuracy almost bands twice many workout modes honor band compared mi band winner honor band 5 4 hr sensor heart rate sensor 3 times faster highly accurate honor band 5 compared mi band 4 blackouts continuous hr measurement mi band times winner honor band 5 5 sleep tracker sleep tracker honor band undoubtedly much accurate honor band also measures day time data isnt available mi band 4 winner honor band 5 7 battery backup battery backup indeed better mi band almost double compared honor band 5 winner mi band 4 8 accessories replacement straps easy access mi band finding spares also easy compared honor band winner mi band 4 9 features features even matched bands honor band spo2 sensor update winner honor band 5 update 10 price almost update winner verdict real world looking accurate fitness band honor band choice looking style features customization mi band choice personally think normal consumer like need decent fitness band track activities give rough estimates awesome battery backup certainly go mi band 4 already owning mi band 3 dont even 2nd thought worthy upgrade hope helps make sound decision,2019-10-16,4.0
2,customer_review-R1NXYA9989GSPN,amit ola,Very good,good product,2019-09-24,5.0
3,customer_review-R1XHNH1G76LNV7,Sahana,Superb,superb,2019-09-26,5.0
4,customer_review-RZECR0HFVUX0,Sai Krishna Kondayagunta,Good but not great. Returned it!,mi band 3 dont upgrade big difference except color display music control returned product adapter giving charge tracker bad felt frustrated adjust tracker adapter easily come least next version provide usb charging overall recommend band using mi band 2 hrx edition,2019-09-22,4.0
5,customer_review-R236RT60U62TFN,Pravin shukla,Best band in this price,love band best features,2019-09-26,5.0
6,customer_review-R1SLMLASUXS1XN,Deepanshu sharma,Cheater band,removed band put bed started measuring heart rate band show reading every time time shows different reading matter wear,2019-10-01,1.0
7,customer_review-R258AN339MHHIV,⚡ Pushpendra Singh Patel ⚡,A band you wont regret for price & features | Detailed Review | Guide | Tips | MIB4 vs MIB3 vs HONB4,wearables penetration market extraordinary likes mi honor offering tons features rock bottom prices highly lucrative mi new band series mi band 4 successor highly acclaimed previous model mi band 3 got upgrade mi band 3 honor band 4 find comparisons end usual review also going detailed one grab popcorn enjoy get queries answered anythings left feel free comment abstractotech channel contact directly via amazon profile page update 121019 detailed battery backup analysis 4 scenarios upto 44 days battery backup index initial views inbox device pros cons b features activity tracker features c initial setup general gestures step counting pedometer heart rate sensing sleep tracking e notifications message threads mi fit google fit app music control weather bluetooth f watch faces set custom watch face battery life screen guard firmware update g mib4 vs mib3 mib4 vs hb4 mib4 vs hb5 verdict initial views device hand feels good nice finish color display first mi band series premium looks prefer strap mi band honor comfortable strap etc lot inside hiccups easily ignored price point lets dive details inbox mi band 4 capsule black wrist strap charging cradle pogo pins fixed usb cable 6 inches long mini user guide device weight 22g capsule 12g screen 095 color amoled touch screen 120 x 240 pixels 400 nits ramrom 512 kb 16mb touch button wake go back sensors 3 axis accelerometer 3 axis gyroscope ppg heart rate sensor capacitive proximity sensor bluetooth v50 ble battery 135 mah lipo 1 screen 1010 1 sunlight legibility 2 battery 910 backup details 3 performance 910 4 build 1010 5 sensors 910 6 bt range 1010 approx 4050 ft walls bw 7 charging system 710 inconvenient remove capsule every time charge overall 91 translates 455 star 5star device pros 1 budget device good feature set 2 highresolution color amoled touch display 25d curved tempered glass 3 extra touch button screen act back screen button 4 device responsive fast accurate touch 5 lightweight 22g compact comfortable wont even feel hand 6 good sunlight visibility opposed pathetic one mi band 3 7 impressive battery life detailed analysis 8 waterresistant 50 meters rain underwater pool shower etc wont stop tested underwater issues 10 decent list activities track swim mode auto recognition gps support via mi fit app 11 fast fairly accurate heart rate sensor 24x7 tracking userset interval 12 sleep tracking light deep sleep quality index 13 virtually unlimited watch faces including custom photos watch faces 14 5day weather forecast band 15 music control possible play pause next previous volume 16 music controls work youtube videos also 17 easy initial setup step step instruction 18 easy use wellorganized interface 19 autosync data mi fit app 20 compatible android ios devices 21 replaceable strap swap colors 22 compatible mi band 3 straps 23 5 step adjustable screen brightness night mode 24 synced google fit app 25 flatscreen 25d edges less prone scratches unlike mi band 3 26 alarms created inapp accessible via band onoff cons 1 every time charging need remove capsule strap highly inconvenient solution like one honor band highly appreciated 2 frequent removal capsule eventually loosen strap may take months maybe years someday may find accidentally missing strap 3 snapfit type strap looks cool design less secure compared normal watch like strap strap goes inside buckle securely held pin 4 opposed chinese version theres mic nfc 5 incompatible mi band 3 charging dock 6 small charging cable 7 proprietary charging dock pogo pins micro usb would better handy maybe water resistance ate 8 built gps think enough already 9 built camera control geeks able enable 10 sleep monitoring cant switched save battery features activity tracker 1 6 workout modes treadmill exercise outdoor running cycling walking pool swimming laps strokes distance tracking 2 regular step counting distance covered calories burned duration etc 3 health monitoring 4 workout completion notifications goal setting targets etc 5 automatic sleep monitoring 6 heart rate monitoring allday heart rate checking resting heart rate etc 7 waterresistant 50mtr easily worn swimming 8 idle alert sedentary reminder start end time features 1 vibration alarm set alarms tried set 10 alarms worked bands alarm interface becomes slow many alarms 2 call silent reject 3 proximity sensor switch display cover full screen palm object 4 preset customizable watch faces 5 band lock screen 6 timer stopwatch 7 notifications incoming calls message calendar apps events etc 8 weather forecast 5 days 9 find phone 10 phone unlock 11 phone silent normal mode band 12 night mode disturb mode works even without phone 13 music controls play pause next previous volume music phone 14 music controls also work youtube videos 15 bluetooth broadcasting 16 band lock screen set unlock band swipe 17 ota updates 18 lift wrist view info 19 5 steps adjustable brightness 20 notifications displayed form screen animation vibration 21 custom vibration pattern defined via app many places initial setup pairing initial setup band easy 123 band comes already charged touch button screen lights says pair first need download app android ios follow instructions 1 turn phones bluetooth 2 open app click top right go profile add device 3 select band allow required permissions 4 bring band closer phone 5 band vibrates tap tick mark pair 6 paired message displayed app available band firmware update automatically 7 continue configure notifications band preferences etc 8 enjoy device ready use general gestures cover full screen screen touch button go back wake band screen swipe top bottom scroll downwards bottom top scroll upwards right left return previous page band lift wrist view info workout sessions built gps phone gps used via mi fit app max workout modes work without app connectivity band wont record route via gps cycling work without mobile connected like modes informs route wont recorded goes back main screen maybe glitch every data recorded band synced upon app connectivity heart rate also recorded make sure switch activity detection better accuracy frequency set higher values music cant controlled workout mode need stop able control music pedometer step counting band automatically counts steps displays data status entry steps distance calories idle alerts shown step counting fairly accurate 100 steps counted 109 mi band 4 107 honor band 4 night steps count band erroneously count steps sleep also test manual count 660 steps mi band 4 695 honor band 4 684 heart rate sensing fairly accurate sensor takes approx 20 showing current rate final avg end 60s heart rate detection modes automatic sleep assistant continuous automatic sleep assistant detection frequency set 1 5 10 30 mins activity detection set auto increase frequency workouts heart rate alert 10 mins set bpm wont work frequency set 30 mins detailed data available fit app test manual check 87 omron bp monitor 86 mi band 4 91 honor band 4 88 sleep tracking sleep tracking automatic records bedtime wake time deep sleep light sleep time awake full sleep duration heart rate monitor set sleep tracking mode continuous mode accurate sleep data activating setting severe effect battery sleep data available inband interface rem sleep data day time sleep tracking test night 1 actual sleep 6 hrs 35 mins mi band 4 7 hrs 30 mins honor band 4 6 hrs 42 mins night 2 actual sleep 6 hrs 30 mins mi band 4 6 hrs 49 mins honor band 4 6 hrs 42 mins notifications message threads open notifications view app notifications messages notificationsmsgs displayed reverse order per time push swipe read one one reach end keep swiping read next notificationmsg swipe delete band multiple whatsapp messages also read one one even displays 300400 words whatsapp message without issue lag music control pause play next previous vol vol works well cant fast forward songs make sure mi fit app notification access without music controls wont work control music using band start initially open music app dont play song wont work music playing start music fully control works flawlessly music apps like prime spotify wynk etc bonus works youtube videos also controls doesnt work video streaming apps weather displays 5 days weather forecast per city set fit app first screen shows current day weather scroll screen display next 4 days forecast 2 days time scrolling bit laggy bluetooth comes bt 50 low energy frequent disconnections witnessed range quite good approx 4050 ft without walls unlock mobile using band via bt range app band displays disconnection band comes range app auto connects watch faces 3 builtin watch faces good collection available via fit app custom watch face also supported photo gallery takes approx 1520s sync watch face band set custom photo watch face open mi fit app go band display settings custom select layout next screen click change background select gallery crop photo using available app sync face band battery life various parameters affecting battery viz bt heart rate monitor screen time etc impact wrt onoff backup vary large means depending usage pattern charging time 0 100 15 hours via usb 20 port battery capacity 135 mah 0 battery drained till autooff charging company claims backup 20 days realworld usage backup brightness full level 5 cases full load everything 14 days 6 hours per scaled data 26 drop 96 hours heart rate automatic sleep assistant 1 min frequency activity detection 20 min daily cycling alarms 2 idle alerts call sms alerts lift wrist view info night mode 24x7 connected mobile ii medium load 22 days 5 hours per scaled data 18 drop 96 hours heart rate sleep assistant mode 20 min daily cycling alarms 2 idle alerts call sms alerts lift wrist view info night mode 24x7 connected mobile iii light load 26 days 14 hours per scaled data 15 drop 96 hours heart rate automatic mode 30 min frequency activity detection 20 min daily cycling alarms 2 idle alerts call sms alerts lift wrist view info night mode 24x7 connected mobile iv light load everything 44 days 10 hours per scaled data 9 drop 96 hours heart rate monitor workout idle alerts sms alerts lift wrist view info night mode 10 pm 7 alarms 2 connect mobile sync app day general insights tips everything using watch step counter though defies sole purpose get super max battery life b switch lift wrist view info save battery light screen unnecessarily every time even dont desire look c switch band discovery settings keep night mode save battery screen guard yes screen guard looks tempting sometimes handy careful enought wont need even affects looks band devices meant last forever enjoy till lasts another issue due 25d screen already small screen 25d curves guard wont able cover full area gaps edge look ugly similar issue faced 25d edges mobiles also 25d responsible accidental peel protector bands swipe across lot things esp nonscratching ones like clothing persons pillow sleep etc lost two screen protectors honor band 5 similar way stopped using bands firmware update latest v 10616 21092019 ota updates provided time time first downloaded phone transferred band via bt received firmware update soon device connected takes 34 minutes process complete first updates resources firmware process band display updating nothing work mi band 4 vs mi band 3 definitive upgrade mi band 3 095in 120x240px colour amoled screen mb4 vs 078in 128x80px monochrome oled mb3 awesome sunlight legibility mb4 vs pathetic mb3 built music controls mb4 vs none mb3 battery 135 mah vs 110 mah mb3 bt 50 mb4 vs 42 mb3 unlimited custom watch faces mb4 vs mb3 flat tempered glass screen mib4 vs scratchprone oddly curved plastic one mib3 mi band 4 vs honor band 4 upgrade already previous honor band 4 honor band 4 already many features extras mi band 4 music control via band mb4 bt 50 mb4 vs 42 hb4 unlimited watch faces mb4 vs hb4 flatscreen 25d edges vs curved screen 25d edges hb4 alarms created inapp accessible via band mi band 4 vs honor band 5 current trend dont band looking one important check departments mi band 4 better premium looking band comfortable watch strap nothing specific mi phones slightly better battery life better spare strap availability due mis store custom watch faces use gallery photos watch face always band unlike honor band option power band youre without charging cradle cant switch back flat tempered glass screen 25d edges less prone scratches alarms created inapp accessible via band cheaper departments honor band 5 better true sleep mode rem sleep tracking spo2 sensor check oxygen levels blood sleep time breathing data need remove strap charging normal watch like strap strap goes inside buckle securely held pin workout modes 10 vs 6 mb4 accuracy slightly better domains verdict fitness tracking getting crazy days every person looking band likes mi fitness tracking gone another level much little mi made reach hands almost everyone looking fitness tracking minor issues wrt accuracy software glitches fixed fw updates upgrading already mi band 3 honor band 4 comparing mb3 mb4 mi band 4 definitive upgrade good set new features comparison honor band 4 upgrade wont matter much upgrade want extras change experience different ecosystem comparison new wearables budget low ignore things quality features discussed go cheap quality band extend budget definitely go mi band 4 without second thought right best wearable available price extend budget hundred go honor band 5 accuracy slightly better features looking serious activity tracking extend budget 1000s get serious fitness tracker remember budget devices expect similar features performance dont expect wonders get disappointed rate low,2019-09-22,5.0
9,customer_review-RH5YZZEU13MFY,KISHORE KUMAR M,Capsule does not sit/fit in charger.,capsule sit charger plate returnedseems like many issue checked critical reviewi refund optioni thought going stock live changed mind,2019-09-26,1.0
10,customer_review-R1R77YLWZVJMN8,Mathew,"An amazing band, worth for the price tag",brief screen resolution display 46 touch sensitivity 47 gestures control 48 measurement accuracy 47 whats box box get band charging deck guide hows display visibility sunlight screen resolution good touch sensitivity precise sense even smallest buttons music player visibility sunlight fair readable maximum brightness could better hows battery backup well 10 days since 1st full charge 52 still remaing everyday ive took heart beat check least 5 times turned notification whole day notification access throughout day many watch faces unlimited watch face time nofor watch faces present youll get 53 online watch faces mi fit app set background picture 3 custom text designthe unlimited watch face yet released versions accuracy step count heart rate monitoring small distance step count accuracy good 23 steps missing distance calculated good heart beat count takes less 30 seconds measure yields accurate result almost time music control love music control swipe left right main watch face control dont go menus get control amazing takes 2 seconds sync currently playing music details displayed controls works instantly issue issues getting volume control along sides correct first go theyre comparatively small size screen new features besides old mi band 3 yes 1the lift light screen feature good works time raise arm 2 auto lock feature band gets locked automatically password removed fist 3 step counts accurate even arm lift maybe using accelerator gyroscope accurate counts 4unlike many actually mute call rejection function cool notifications notification text notifications supported emojis swipe leftright next notification updown scroll details also complete control apps notification silent notifications time schedule features include exercise modesdo disturb stopwatch timer weather updates alarms switch onoff alarms previously set phone cannot set one band,2019-09-22,5.0
