,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1HK2V7H72HGBT,AmazonBuyer,Best value for money and best tablet in this price range,got tablet around 18k cashbacks discounts good tablet entertainment purpose although 2 generation older processor a9 ios 11 works like charm best value money product apple,2017-10-28,5.0
1,customer_review-R15ZQ53JTF3J02,alter-ego,"Flawless, well almost..",already iphone ipad mini quite familiar apple products hence knew buying predefined expectations new ipad 2017 writing review using ipad 2017 days observations performance superb didnt noticed lags using apps a964 bit magic screen size perfect reading found much better ipad mini multimedia functions par priced right really reasonable given getting think definitely help increasing market cap ipad adding new customers first boot notifies 75mb software patch os updated version 1033 flip side didnt liked glossy screen matt finish would nice also generic complain metalback device devices handy without cover slippery cold compulsion buy one use product imo manufacturers consider supplying basic cover products great choice want spend less need fancier features like apple pencil really good reliable tablet suit people needs ratings per category performance normal usage 910 design 910 sound 810 camera 710 battery without 1101 update 910 screen quality 810 overall build 910 value money 910 verdict new ipad 2017 delivers faster performance brighter screen price almost half ipad pro great cohesion superior hardware upgraded software apps makes fly well almost course bit thicker heavier siblings summary pro air 2 owners skip one rest ipad 2017 must rounder tablet fantastic price overall excellent buy worth money got inr 24853 go without second thought review update 1 23082017 noted comment section review found playing back video recorded using ipad 2017 noticeable hissing sound hear case anyone intending use recording video may matter review update 2 12092017 recently noticed ios update 1101 available download holding download experience update apple devices good updates device lags noticed important battery started draining quickly suggest hold update till stable version released review update 3 10012017 recently got ios update 111 looks good device performance improved effected result previous patch update go ahead review update 4 01122017 today got ios update 1112 415 mb size patch bug fix looks good device performance without impact go ahead review update 5 08012018 recently got ios update 1121 important update looks good device performance without impact go ahead review update 6 21012018 got ios update 1122 today small security related update looks good device performance without impact go ahead review update 5 28012018 recently got ios update 1125 buggy lots issue including signal iphones jio sim ipad impact much still issues like lock screen fingerprint working properly etc bothers next version already beta wait skip update pictures posted reference hope helps need information please leave comment ill definitely try get back,2017-08-23,5.0
2,customer_review-R2J8A6VG86LHEX,Projjal Ghosh,Good product but issue as well,got ipad month february 2018 april end week noticed times hangs allow us operate pls suggest solutions may go close service center warranty 1 year,2018-04-26,3.0
3,customer_review-R56H4K96Y6GZG,Ap,Easily the cheapest tablet - If evaluating the cost to Product Life ratio.,needless say apple products stand quality exception works like magic said steve jobs ipad 4 retina working perfectlyincluding battery backup since last 3 years better buy casescreen guard day1 tested games like nfs mw asphalt 8 almost played 30 fps zero lag,2017-10-18,5.0
4,customer_review-RYBMUPVWFGJ2C,Ashu Sharma,Nice Product,nice product delivery prompt moment started device updated software running fine without issues handicap feel absence microsoft office battery backup wonderful need charge 2 3 times week depending upon use,2018-01-31,5.0
5,customer_review-R1CM49BTR3ZAYY,V Sam,Cheaper Ipad!,bought 225k amazon sale love,2018-03-04,4.0
6,customer_review-R167MU03MUT0NR,Kunal,GREAT Tablet; Does Everything You Need,excellent product fast responsive perfect home use keyboard eg logitech k480 work produtivity apps without problem lot work ms office without problem takes little time adjust mouse battery life good since cheapest ipad compromise sound quality hook bluetooth speakers issue thereafter course screen reflects considerably little thicker top models normal home everyday user think twice great product,2019-01-13,5.0
7,customer_review-R3NP3UVPKUBP9A,Arsh,very handy for me with all the options and less weight,well apple never stop surprise using last one year working fine battery life good logitech k480 keaboard also use laptop another mobile ram rom pubg experience mobile quite goo lags pad pubg runs fine lags thanks amazon little hesitating amazon ipad retail stores saying well get warranty etc adn also get fake lithening charger buy amazon friend suggerstion bought amazon saved around 5k availble retail stoes overall great buy,2018-10-17,5.0
8,customer_review-RJPVRXPCJKMQO,shibanshu,Best in the market .,one best gift apple consumers runs smooothy also battery back best unlike apple phones last 24hours one charge tablet market compete ipad terms quality performance go,2018-02-20,5.0
9,customer_review-RFTP7VDT32TMU,Siddharth,Decent buy for the price I got it for.,price 19k value money good screen size everything apple offers product battery last really long time one shortcoming much reflective screen broad daylight used mirror gets fingerprints place cant complain much,2018-02-03,4.0
10,customer_review-R3GRF3GWBZ5QKJ,Verified Purchase,Great product,pros elegant form factor exquisite design lightweight handy zippy uninterrupted performance magnificent display large 97in screen fine quality touch sound easy navigation menu handy side scrolls keyboard lags stutters fast finger sensor durable battery cons camera qualityesp front camera low lot noise produced esp dim lit pictures usb port wide bezels,2019-03-05,5.0
11,customer_review-R3IMNFDVRW8FGK,Atul Soni,More than satisfied from the product,amazing tablet apple great prize dont think twice purchasing buy regret great entry level tablet apple using one month get case also amazon offline retailers dont dont much variety case ipad,2018-04-14,5.0
12,customer_review-RP80O7EYWKLEB,UMA,Excellent product by Apple Within the budget,one best products apple affordable price got product decent price 22k amazon coming product flexible almost use ipad making documents presentations battery beast limitation use mobile hotspot modem wifi model use internet better wifi lte model,2018-05-07,5.0
13,customer_review-R1RAVLPNS99BSB,Geosh Roshan,"Excellent display, great battery life and sound that no-one ...",excellent display great battery life sound noone complain use watching movies travel use bt headphone sound quality outdoors much concern wish came anti glare coating literally becomes mirror u bright outdoors content u r watching low light complainsafter ipad,2018-05-15,5.0
14,customer_review-R7OO2EHGFFP9P,Akhtar Khan,Apple iPAD 5th Gen got at 18.5 (really worth & fantastic deal),bought ipad 5th gen great indian sale festive actual cost product usually 28k nearly got product 19900 1500 cashback actually 185 k superb deal apple product really awesome good quality nice sound features really good using pas two days issue far,2017-09-27,5.0
15,customer_review-R2TQZL0G20QPQR,Pronoy Das,Just what I needed!!!,looking tablet reading pdf email general purposes tablet wanted average get 2 days battery backup 6 hours daily usage also didnt feel lag sort performance issues using device although prolonged use tab heavy tasking resulted heating tab still ok verdict perfect general users,2017-08-31,5.0
16,customer_review-R2XXIOZGEBMY9R,Anto,"it is not new iPad , it is a demo iPad",new ipad used one 2nd hand sell for1st use many apps working old photos contacts apps used details records available package new inside product old contacts misused one dont want excited buy ipad totally dissatisfied brought seeing old data take proper action return item,2018-07-15,1.0
17,customer_review-R33NB7HD0TDUW1,Atul,WiFI Connectivity Issues,reason keeps losing wifi connectivity reload webpage 56 times regains connectivity opens page fine issues router android phone windows tablet windows laptop range router room ipad even updating ios 114,2018-07-03,2.0
18,customer_review-R216PKT2F6VM02,Srinivasan,The best iPad and really worth for money.,good product really worth money ive bought studying purpose im really happy quality sound charging capacity draining capacity suits per specification mentioned box also got product within specified time amazon promised im happy product seller also shipped without hassles,2017-11-11,5.0
19,customer_review-R1FYAONCX2FLIH,Nag,"Great product, as usually pricey apple product",entry level ipad good watching reading browsing casual games many cool ios features flip side transfer media pain need computer itunes installed offcourse pricey couldnt find better alternative android tablets 7 8 inch size small ram sizes outdated softwares,2018-12-24,4.0
20,customer_review-R3VZCW9BAMN655,Mridula,Wonderful device @ the best price.,bought ipad great indian sale 19k cash back cost emi using apple products since long time devices collection except one though companies boast higher configurations cheaper price devices hang often till date none apple device ever hung fret thinking ram 2gb believe faster 4 gb android device ios rocks love apple,2017-09-28,5.0
21,customer_review-RDJC1XAX6A52V,VSK,Just go for it.,product delivered seller time packaging simply bubble wrap cover apple ipad box feel insufficient touchscreen electronic device rest apart apple products simply flawless go wrong lot better cheap android tabs,2018-01-07,4.0
22,customer_review-RCQMC6SJWZW91,Rajiv,Smart & Great purchase with super Offer,great buy bought 199 k indian festival sale solid build quality amazing display absolutely lags hiccups use like games browsing etc sound also crisp overall best quality product used hdfc card got buy pay later offer,2017-10-31,5.0
23,customer_review-R3KCY7Z735FN03,Harampoliceofficial,"Awesome, a budget apple product",awesome budget apple product careful first time u r using apple products android u face lots od problems irritations u cant use whatsapp instagram ipad check buying,2017-10-11,4.0
24,customer_review-RH89JIGBNQP3X,neela . k,Four Stars,good came time perfect condition screen n sound quality good,2017-07-31,4.0
25,customer_review-RNOMWGP5FD4V7,Sanjay Sharma,So much for innovation?,doesnt support apple pencil styluses available india shoddy cheap least job built gaming netflixing students werent kept mind rd product whole studies purpose fails without compatible stylus,2019-03-16,3.0
26,customer_review-R353AG4ZQVLEG6,Ningri,A must buy,must say best decision made buying worried buying electronics online wrong packed care best reading books dont read textbooks anymore memory enough dont download many movies songs keep ebooks got rs 26000 8th month running since bought,2018-10-06,5.0
27,customer_review-R14WDACMQ387E4,Sandy,Best of the world product,ultimate product apple review required best battery life extraordinary processing power enhanced 2gb ram helpful,2017-06-30,5.0
28,customer_review-R302BDHIHAC0QA,VARSHA,I am very happy and satisfied with the product,happy satisfied product amazing experience use macbook second apple priduct purchase every tab one one side ipad still go ipad,2018-04-21,5.0
29,customer_review-R3PU1EPJO61FQP,Karthikeya,Best quality.,durable tried water dust mud 2 meters drop battery bad iphones superior gave blow anger got little bend fully functional curved ipad pubg never lags gets heated okay brilliant,2019-08-24,5.0
30,customer_review-R2Z86718E8IXJD,Amazon Customer,better than iphones,fast useful reading note making purpose,2017-07-13,5.0
31,customer_review-R1JP3K3QHK3MFH,Ayush,Five Stars,want use tablet definitely go ipads good every aspect compared android tabletsthis ipad a9 processor whose performance equivalent sd821 good full hd ips displaybattery backup also goodalmost 2 days moderate user metal bodymoreover apple support next 34 years providing ios updates unlike dont see android tablets,2018-03-08,5.0
32,customer_review-R28JRFB65CURTO,Rakesh,Five Stars,kids using great ipad worth spending money,2018-04-09,5.0
33,customer_review-R2Z1D4K4GGMNKV,Kalyan,iPad buttery smooth,used number android tablets switching ipad experience phenomenal onethe ipad buttery smooth unlike many android tablets constant landmarks lagginessyou quite secured constant ios updates make sure ipad always securei hadnt received even single software update android tabletoverall u give apple pencilu surely go ipadperfect bang buck rs22000,2018-02-17,5.0
